# Whack-O-Meter CSV Manager v1
# Original samples: 50000
# Samples/sec: 50000
# Prefix trimmed: 0.00000 - 0.61340 sec
# Suffix trimmed: 0.93676 - 0.99998 sec
# Event start: 0.61340 sec
# Event end: 0.93676 sec
# Baseline (N): -0.3
# Nickname: 6mm eva 2mm kydex · 12.0kN peak · slow decay
Loadstar Sensors LV-1000HS-10K - Log File
Sensor:,Whackometer 2-0
Samples/Sec:,50000
Test started at (approx):,5/1/2024 6:29 PM
Peak(N):,11960.0
Low(N):,-2652.0
Time (sec),Reading (N) (Whackometer 2-0)
0.61340,-0.3
0.61342,-0.3
0.61344,-0.3
0.61346,-0.3
0.61348,27.3
0.61350,27.3
0.61352,-0.3
0.61354,27.3
0.61356,27.3
0.61358,27.3
0.61360,27.3
0.61362,27.3
0.61364,27.3
0.61366,-0.3
0.61368,27.3
0.61370,27.3
0.61372,27.3
0.61374,27.3
0.61376,27.3
0.61378,27.3
0.61380,27.3
0.61382,27.3
0.61384,27.3
0.61386,-0.3
0.61388,-0.3
0.61390,27.3
0.61392,27.3
0.61394,27.3
0.61396,27.3
0.61398,-0.3
0.61400,-0.3
0.61402,27.3
0.61404,27.3
0.61406,27.3
0.61408,-0.3
0.61410,27.3
0.61412,-0.3
0.61414,27.3
0.61416,27.3
0.61418,-0.3
0.61420,-0.3
0.61422,27.3
0.61424,27.3
0.61426,27.3
0.61428,27.3
0.61430,27.3
0.61432,27.3
0.61434,27.3
0.61436,27.3
0.61438,-0.3
0.61440,27.3
0.61442,27.3
0.61444,27.3
0.61446,-0.3
0.61448,-0.3
0.61450,27.3
0.61452,27.3
0.61454,-0.3
0.61456,27.3
0.61458,27.3
0.61460,-0.3
0.61462,-0.3
0.61464,-0.3
0.61466,-0.3
0.61468,27.3
0.61470,27.3
0.61472,27.3
0.61474,27.3
0.61476,27.3
0.61478,27.3
0.61480,27.3
0.61482,27.3
0.61484,27.3
0.61486,-0.3
0.61488,-0.3
0.61490,27.3
0.61492,-0.3
0.61494,-0.3
0.61496,27.3
0.61498,-0.3
0.61500,27.3
0.61502,27.3
0.61504,27.3
0.61506,-0.3
0.61508,27.3
0.61510,-0.3
0.61512,-0.3
0.61514,-0.3
0.61516,-0.3
0.61518,-0.3
0.61520,-0.3
0.61522,27.3
0.61524,27.3
0.61526,-0.3
0.61528,-0.3
0.61530,-0.3
0.61532,-0.3
0.61534,27.3
0.61536,-0.3
0.61538,-0.3
0.61540,-0.3
0.61542,27.3
0.61544,27.3
0.61546,-0.3
0.61548,-0.3
0.61550,-0.3
0.61552,-0.3
0.61554,27.3
0.61556,27.3
0.61558,-0.3
0.61560,-0.3
0.61562,-0.3
0.61564,27.3
0.61566,-0.3
0.61568,-0.3
0.61570,-27.9
0.61572,27.3
0.61574,27.3
0.61576,-0.3
0.61578,27.3
0.61580,27.3
0.61582,27.3
0.61584,27.3
0.61586,-0.3
0.61588,27.3
0.61590,27.3
0.61592,27.3
0.61594,27.3
0.61596,27.3
0.61598,27.3
0.61600,-0.3
0.61602,27.3
0.61604,27.3
0.61606,-0.3
0.61608,-0.3
0.61610,-0.3
0.61612,27.3
0.61614,27.3
0.61616,-0.3
0.61618,-0.3
0.61620,-0.3
0.61622,-0.3
0.61624,27.3
0.61626,27.3
0.61628,-0.3
0.61630,27.3
0.61632,27.3
0.61634,27.3
0.61636,-0.3
0.61638,-0.3
0.61640,-0.3
0.61642,27.3
0.61644,27.3
0.61646,-0.3
0.61648,-0.3
0.61650,-0.3
0.61652,-0.3
0.61654,27.3
0.61656,-0.3
0.61658,-0.3
0.61660,-0.3
0.61662,-0.3
0.61664,-0.3
0.61666,-0.3
0.61668,-0.3
0.61670,-0.3
0.61672,-0.3
0.61674,-0.3
0.61676,27.3
0.61678,27.3
0.61680,27.3
0.61682,27.3
0.61684,-0.3
0.61686,27.3
0.61688,-0.3
0.61690,27.3
0.61692,27.3
0.61694,27.3
0.61696,-0.3
0.61698,-0.3
0.61700,-0.3
0.61702,27.3
0.61704,-0.3
0.61706,-0.3
0.61708,27.3
0.61710,27.3
0.61712,27.3
0.61714,27.3
0.61716,27.3
0.61718,-0.3
0.61720,-0.3
0.61722,27.3
0.61724,27.3
0.61726,-0.3
0.61728,-0.3
0.61730,27.3
0.61732,27.3
0.61734,-0.3
0.61736,-0.3
0.61738,-0.3
0.61740,-0.3
0.61742,-0.3
0.61744,-0.3
0.61746,-0.3
0.61748,-0.3
0.61750,-0.3
0.61752,-0.3
0.61754,27.3
0.61756,27.3
0.61758,-0.3
0.61760,-0.3
0.61762,-0.3
0.61764,-0.3
0.61766,27.3
0.61768,-0.3
0.61770,-0.3
0.61772,-0.3
0.61774,-0.3
0.61776,27.3
0.61778,-0.3
0.61780,-0.3
0.61782,27.3
0.61784,27.3
0.61786,27.3
0.61788,-0.3
0.61790,27.3
0.61792,27.3
0.61794,27.3
0.61796,27.3
0.61798,27.3
0.61800,27.3
0.61802,27.3
0.61804,27.3
0.61806,-0.3
0.61808,27.3
0.61810,27.3
0.61812,27.3
0.61814,-0.3
0.61816,27.3
0.61818,-0.3
0.61820,27.3
0.61822,-0.3
0.61824,27.3
0.61826,27.3
0.61828,-0.3
0.61830,-0.3
0.61832,27.3
0.61834,-0.3
0.61836,27.3
0.61838,-0.3
0.61840,-0.3
0.61842,27.3
0.61844,27.3
0.61846,27.3
0.61848,-0.3
0.61850,-0.3
0.61852,27.3
0.61854,27.3
0.61856,27.3
0.61858,27.3
0.61860,-0.3
0.61862,-0.3
0.61864,-0.3
0.61866,27.3
0.61868,-0.3
0.61870,-0.3
0.61872,-0.3
0.61874,27.3
0.61876,27.3
0.61878,27.3
0.61880,27.3
0.61882,27.3
0.61884,27.3
0.61886,27.3
0.61888,27.3
0.61890,27.3
0.61892,27.3
0.61894,27.3
0.61896,27.3
0.61898,27.3
0.61900,27.3
0.61902,27.3
0.61904,27.3
0.61906,-0.3
0.61908,27.3
0.61910,27.3
0.61912,27.3
0.61914,27.3
0.61916,27.3
0.61918,27.3
0.61920,27.3
0.61922,27.3
0.61924,27.3
0.61926,27.3
0.61928,-0.3
0.61930,27.3
0.61932,27.3
0.61934,-0.3
0.61936,27.3
0.61938,-0.3
0.61940,-0.3
0.61942,-0.3
0.61944,27.3
0.61946,27.3
0.61948,-0.3
0.61950,-0.3
0.61952,-0.3
0.61954,-0.3
0.61956,27.3
0.61958,331.2
0.61960,1021.7
0.61962,1878.0
0.61964,2761.9
0.61966,3645.8
0.61968,4308.7
0.61970,4640.2
0.61972,5303.1
0.61974,5855.6
0.61976,5772.7
0.61978,5772.7
0.61980,5551.7
0.61982,5109.8
0.61984,4336.4
0.61986,3894.4
0.61988,4225.9
0.61990,4778.3
0.61992,5662.2
0.61994,6656.6
0.61996,7512.9
0.61998,8175.8
0.62000,9170.2
