# Whack-O-Meter CSV Manager v1
# Original samples: 50000
# Samples/sec: 50000
# Prefix trimmed: 0.00000 - 0.60588 sec
# Suffix trimmed: 0.88290 - 0.99998 sec
# Event start: 0.60588 sec
# Event end: 0.88290 sec
# Baseline (N): 35.6
# Nickname: 6mm eva 2mm kydex · 11.1kN peak · slow decay
Loadstar Sensors LV-1000HS-10K - Log File
Sensor:,Whackometer 2-0
Samples/Sec:,50000
Test started at (approx):,5/1/2024 6:31 PM
Peak(N):,11112.0
Low(N):,-4356.3
Time (sec),Reading (N) (Whackometer 2-0)
0.60588,35.6
0.60590,35.6
0.60592,35.6
0.60594,35.6
0.60596,35.6
0.60598,35.6
0.60600,35.6
0.60602,35.6
0.60604,35.6
0.60606,35.6
0.60608,35.6
0.60610,35.6
0.60612,35.6
0.60614,35.6
0.60616,35.6
0.60618,35.6
0.60620,35.6
0.60622,35.6
0.60624,35.6
0.60626,35.6
0.60628,35.6
0.60630,35.6
0.60632,8.0
0.60634,35.6
0.60636,35.6
0.60638,35.6
0.60640,35.6
0.60642,35.6
0.60644,35.6
0.60646,35.6
0.60648,35.6
0.60650,35.6
0.60652,35.6
0.60654,35.6
0.60656,35.6
0.60658,35.6
0.60660,35.6
0.60662,35.6
0.60664,35.6
0.60666,35.6
0.60668,35.6
0.60670,35.6
0.60672,35.6
0.60674,35.6
0.60676,35.6
0.60678,35.6
0.60680,35.6
0.60682,35.6
0.60684,35.6
0.60686,35.6
0.60688,35.6
0.60690,35.6
0.60692,35.6
0.60694,35.6
0.60696,35.6
0.60698,35.6
0.60700,35.6
0.60702,35.6
0.60704,35.6
0.60706,35.6
0.60708,35.6
0.60710,35.6
0.60712,35.6
0.60714,35.6
0.60716,35.6
0.60718,35.6
0.60720,35.6
0.60722,35.6
0.60724,35.6
0.60726,35.6
0.60728,35.6
0.60730,35.6
0.60732,35.6
0.60734,35.6
0.60736,35.6
0.60738,35.6
0.60740,35.6
0.60742,35.6
0.60744,35.6
0.60746,35.6
0.60748,35.6
0.60750,35.6
0.60752,35.6
0.60754,35.6
0.60756,35.6
0.60758,35.6
0.60760,35.6
0.60762,35.6
0.60764,35.6
0.60766,35.6
0.60768,35.6
0.60770,35.6
0.60772,35.6
0.60774,35.6
0.60776,35.6
0.60778,35.6
0.60780,35.6
0.60782,35.6
0.60784,35.6
0.60786,35.6
0.60788,35.6
0.60790,35.6
0.60792,35.6
0.60794,35.6
0.60796,35.6
0.60798,35.6
0.60800,35.6
0.60802,35.6
0.60804,35.6
0.60806,35.6
0.60808,35.6
0.60810,35.6
0.60812,35.6
0.60814,35.6
0.60816,35.6
0.60818,35.6
0.60820,35.6
0.60822,35.6
0.60824,35.6
0.60826,35.6
0.60828,35.6
0.60830,35.6
0.60832,35.6
0.60834,35.6
0.60836,35.6
0.60838,35.6
0.60840,35.6
0.60842,35.6
0.60844,35.6
0.60846,35.6
0.60848,35.6
0.60850,35.6
0.60852,35.6
0.60854,35.6
0.60856,35.6
0.60858,35.6
0.60860,35.6
0.60862,35.6
0.60864,35.6
0.60866,35.6
0.60868,35.6
0.60870,35.6
0.60872,35.6
0.60874,35.6
0.60876,35.6
0.60878,35.6
0.60880,35.6
0.60882,35.6
0.60884,35.6
0.60886,35.6
0.60888,35.6
0.60890,35.6
0.60892,35.6
0.60894,35.6
0.60896,35.6
0.60898,35.6
0.60900,35.6
0.60902,35.6
0.60904,35.6
0.60906,35.6
0.60908,35.6
0.60910,35.6
0.60912,35.6
0.60914,35.6
0.60916,35.6
0.60918,35.6
0.60920,35.6
0.60922,35.6
0.60924,35.6
0.60926,35.6
0.60928,35.6
0.60930,35.6
0.60932,35.6
0.60934,35.6
0.60936,35.6
0.60938,35.6
0.60940,35.6
0.60942,35.6
0.60944,35.6
0.60946,35.6
0.60948,35.6
0.60950,35.6
0.60952,35.6
0.60954,35.6
0.60956,35.6
0.60958,35.6
0.60960,35.6
0.60962,35.6
0.60964,35.6
0.60966,35.6
0.60968,35.6
0.60970,35.6
0.60972,35.6
0.60974,35.6
0.60976,35.6
0.60978,35.6
0.60980,35.6
0.60982,35.6
0.60984,35.6
0.60986,35.6
0.60988,35.6
0.60990,35.6
0.60992,35.6
0.60994,35.6
0.60996,35.6
