Loadstar Sensors LV-1000HS-10K - Log File
Sensor:,Whackometer 2-0
Samples/Sec:,50000
Test started at (approx):,5/1/2024 6:32 PM
Peak(N):,9879.3
Low(N):,-3489.8
Time (sec),Reading (N) (Whackometer 2-0)
0.00000,18.2
0.00002,18.2
0.00004,18.2
0.00006,45.9
0.00008,18.2
0.00010,18.2
0.00012,18.2
0.00014,18.2
0.00016,18.2
0.00018,18.2
0.00020,18.2
0.00022,18.2
0.00024,18.2
0.00026,18.2
0.00028,18.2
0.00030,18.2
0.00032,18.2
0.00034,18.2
0.00036,18.2
0.00038,18.2
0.00040,18.2
0.00042,18.2
0.00044,18.2
0.00046,18.2
0.00048,18.2
0.00050,18.2
0.00052,18.2
0.00054,18.2
0.00056,18.2
0.00058,45.9
0.00060,18.2
0.00062,18.2
0.00064,18.2
0.00066,18.2
0.00068,18.2
0.00070,45.9
0.00072,18.2
0.00074,18.2
0.00076,18.2
0.00078,18.2
0.00080,18.2
0.00082,18.2
0.00084,18.2
0.00086,18.2
0.00088,45.9
0.00090,18.2
0.00092,18.2
0.00094,18.2
0.00096,45.9
0.00098,45.9
0.00100,18.2
0.00102,18.2
0.00104,18.2
0.00106,45.9
0.00108,45.9
0.00110,18.2
0.00112,18.2
0.00114,18.2
0.00116,18.2
0.00118,18.2
0.00120,45.9
0.00122,18.2
0.00124,18.2
0.00126,18.2
0.00128,18.2
0.00130,18.2
0.00132,18.2
0.00134,18.2
0.00136,18.2
0.00138,18.2
0.00140,18.2
0.00142,18.2
0.00144,18.2
0.00146,18.2
0.00148,45.9
0.00150,45.9
0.00152,18.2
0.00154,18.2
0.00156,18.2
0.00158,18.2
0.00160,18.2
0.00162,18.2
0.00164,18.2
0.00166,18.2
0.00168,18.2
0.00170,18.2
0.00172,18.2
0.00174,18.2
0.00176,18.2
0.00178,18.2
0.00180,18.2
0.00182,18.2
0.00184,18.2
0.00186,18.2
0.00188,18.2
0.00190,18.2
0.00192,18.2
0.00194,18.2
0.00196,18.2
0.00198,18.2
0.00200,18.2
0.00202,18.2
0.00204,18.2
0.00206,18.2
0.00208,18.2
0.00210,18.2
0.00212,18.2
0.00214,18.2
0.00216,18.2
0.00218,45.9
0.00220,18.2
0.00222,18.2
0.00224,18.2
0.00226,18.2
0.00228,45.9
0.00230,18.2
0.00232,18.2
0.00234,18.2
0.00236,18.2
0.00238,18.2
0.00240,18.2
0.00242,18.2
0.00244,18.2
0.00246,18.2
0.00248,18.2
0.00250,45.9
0.00252,18.2
0.00254,18.2
0.00256,18.2
0.00258,18.2
0.00260,45.9
0.00262,45.9
0.00264,18.2
0.00266,45.9
0.00268,45.9
0.00270,18.2
0.00272,45.9
0.00274,18.2
0.00276,18.2
0.00278,18.2
0.00280,18.2
0.00282,18.2
0.00284,18.2
0.00286,18.2
0.00288,18.2
0.00290,18.2
0.00292,18.2
0.00294,18.2
0.00296,18.2
0.00298,45.9
0.00300,18.2
0.00302,18.2
0.00304,18.2
0.00306,18.2
0.00308,18.2
0.00310,18.2
0.00312,18.2
0.00314,18.2
0.00316,18.2
0.00318,18.2
0.00320,18.2
0.00322,18.2
0.00324,18.2
0.00326,18.2
0.00328,18.2
0.00330,18.2
0.00332,18.2
0.00334,18.2
0.00336,18.2
