# Whack-O-Meter CSV Manager v1
# Original samples: 50000
# Samples/sec: 50000
# Prefix trimmed: 0.00000 - 0.59200 sec
# Suffix trimmed: 0.86220 - 0.99998 sec
# Event start: 0.59200 sec
# Event end: 0.86220 sec
# Baseline (N): 5.5
# Nickname: 6mm eva 2mm kydex · 11.1kN peak · slow decay · run 2
Loadstar Sensors LV-1000HS-10K - Log File
Sensor:,Whackometer 2-0
Samples/Sec:,50000
Test started at (approx):,5/1/2024 6:34 PM
Peak(N):,11054.3
Low(N):,-2204.2
Time (sec),Reading (N) (Whackometer 2-0)
0.59200,5.5
0.59202,5.5
0.59204,5.5
0.59206,5.5
0.59208,5.5
0.59210,5.5
0.59212,5.5
0.59214,5.5
0.59216,5.5
0.59218,5.5
0.59220,5.5
0.59222,5.5
0.59224,33.1
0.59226,5.5
0.59228,5.5
0.59230,5.5
0.59232,5.5
0.59234,5.5
0.59236,5.5
0.59238,5.5
0.59240,5.5
0.59242,5.5
0.59244,5.5
0.59246,5.5
0.59248,5.5
0.59250,5.5
0.59252,5.5
0.59254,5.5
0.59256,5.5
0.59258,5.5
0.59260,5.5
0.59262,5.5
0.59264,5.5
0.59266,5.5
0.59268,5.5
0.59270,5.5
0.59272,5.5
0.59274,5.5
0.59276,5.5
0.59278,5.5
0.59280,5.5
0.59282,5.5
0.59284,5.5
0.59286,33.1
0.59288,33.1
0.59290,5.5
0.59292,5.5
0.59294,5.5
0.59296,5.5
0.59298,33.1
0.59300,33.1
0.59302,5.5
0.59304,5.5
0.59306,5.5
0.59308,33.1
0.59310,5.5
0.59312,5.5
0.59314,33.1
0.59316,5.5
0.59318,5.5
0.59320,5.5
0.59322,5.5
0.59324,5.5
0.59326,5.5
0.59328,5.5
0.59330,5.5
0.59332,5.5
0.59334,5.5
0.59336,5.5
0.59338,5.5
0.59340,5.5
0.59342,5.5
0.59344,5.5
0.59346,5.5
0.59348,5.5
0.59350,5.5
0.59352,5.5
0.59354,5.5
0.59356,5.5
0.59358,33.1
0.59360,5.5
0.59362,5.5
0.59364,5.5
0.59366,5.5
0.59368,33.1
0.59370,5.5
0.59372,5.5
0.59374,5.5
0.59376,5.5
0.59378,5.5
0.59380,5.5
0.59382,5.5
0.59384,5.5
0.59386,5.5
0.59388,5.5
0.59390,5.5
0.59392,5.5
0.59394,5.5
0.59396,5.5
0.59398,5.5
0.59400,5.5
0.59402,5.5
0.59404,33.1
0.59406,33.1
0.59408,33.1
0.59410,5.5
0.59412,5.5
0.59414,5.5
0.59416,5.5
0.59418,5.5
0.59420,5.5
0.59422,5.5
0.59424,5.5
0.59426,33.1
0.59428,33.1
0.59430,5.5
0.59432,5.5
0.59434,5.5
0.59436,33.1
0.59438,33.1
0.59440,5.5
0.59442,5.5
0.59444,5.5
0.59446,5.5
0.59448,5.5
0.59450,5.5
0.59452,5.5
0.59454,5.5
0.59456,5.5
0.59458,5.5
0.59460,5.5
0.59462,5.5
0.59464,33.1
0.59466,5.5
0.59468,5.5
0.59470,5.5
0.59472,5.5
0.59474,33.1
0.59476,5.5
0.59478,5.5
0.59480,5.5
0.59482,5.5
0.59484,5.5
0.59486,5.5
0.59488,5.5
0.59490,5.5
0.59492,5.5
0.59494,5.5
0.59496,5.5
0.59498,5.5
0.59500,5.5
0.59502,5.5
0.59504,33.1
0.59506,33.1
0.59508,5.5
0.59510,5.5
0.59512,5.5
0.59514,33.1
0.59516,33.1
0.59518,5.5
0.59520,5.5
0.59522,5.5
0.59524,5.5
