# Whack-O-Meter CSV Manager v1
# Original samples: 50000
# Samples/sec: 50000
# Prefix trimmed: 0.00000 - 0.70736 sec
# Suffix trimmed: 0.77342 - 0.99998 sec
# Event start: 0.70736 sec
# Event end: 0.77342 sec
# Baseline (N): 50.8
# Nickname: 6mm ensilite foam 2mmkydex · 7.1kN peak · slow decay
Loadstar Sensors LV-1000HS-10K - Log File
Sensor:,Whackometer 2-0
Samples/Sec:,50000
Test started at (approx):,5/1/2024 8:13 PM
Peak(N):,7122.0
Low(N):,-1717.0
Time (sec),Reading (N) (Whackometer 2-0)
0.70736,50.8
0.70738,50.8
0.70740,50.8
0.70742,50.8
0.70744,50.8
0.70746,50.8
0.70748,50.8
0.70750,50.8
0.70752,50.8
0.70754,50.8
0.70756,50.8
0.70758,50.8
0.70760,50.8
0.70762,50.8
0.70764,50.8
0.70766,-32.0
0.70768,23.2
0.70770,50.8
0.70772,50.8
0.70774,50.8
0.70776,50.8
0.70778,50.8
0.70780,50.8
0.70782,50.8
0.70784,50.8
0.70786,50.8
0.70788,50.8
0.70790,50.8
0.70792,50.8
0.70794,50.8
0.70796,50.8
0.70798,50.8
0.70800,50.8
0.70802,78.4
0.70804,78.4
0.70806,50.8
0.70808,78.4
0.70810,78.4
0.70812,78.4
0.70814,161.3
0.70816,78.4
0.70818,161.3
0.70820,161.3
0.70822,161.3
0.70824,161.3
0.70826,161.3
0.70828,161.3
0.70830,188.9
0.70832,188.9
0.70834,188.9
0.70836,188.9
0.70838,188.9
0.70840,216.6
0.70842,271.8
0.70844,271.8
0.70846,299.4
0.70848,299.4
0.70850,299.4
0.70852,299.4
0.70854,382.3
0.70856,382.3
0.70858,382.3
0.70860,382.3
0.70862,409.9
0.70864,409.9
0.70866,409.9
0.70868,409.9
0.70870,492.8
0.70872,492.8
0.70874,520.4
0.70876,520.4
0.70878,520.4
0.70880,603.3
0.70882,603.3
0.70884,630.9
0.70886,630.9
0.70888,713.8
0.70890,713.8
0.70892,741.4
0.70894,741.4
0.70896,851.9
0.70898,934.7
0.70900,1072.8
0.70902,1293.8
0.70904,1514.8
0.70906,1846.2
0.70908,2260.6
0.70910,2702.5
0.70912,3172.1
0.70914,3696.9
0.70916,4138.9
0.70918,4498.0
0.70920,4829.4
0.70922,5022.8
0.70924,5050.4
0.70926,5022.8
0.70928,4912.3
0.70930,4801.8
0.70932,4608.4
0.70934,4470.3
0.70936,4359.8
0.70938,4387.5
0.70940,4498.0
0.70942,4718.9
0.70944,5022.8
0.70946,5354.2
0.70948,5796.2
0.70950,6210.5
0.70952,6569.6
0.70954,6818.2
0.70956,7011.5
0.70958,7122.0
0.70960,7039.2
0.70962,6818.2
0.70964,6486.7
0.70966,6127.6
0.70968,5685.7
0.70970,5243.7
0.70972,4829.4
0.70974,4498.0
0.70976,4249.4
0.70978,4138.9
0.70980,4138.9
0.70982,4138.9
0.70984,4166.5
0.70986,4166.5
0.70988,4221.7
0.70990,4249.4
0.70992,4249.4
0.70994,4138.9
0.70996,3945.5
0.70998,3807.4
0.71000,3503.6
0.71002,3255.0
0.71004,2923.5
0.71006,2619.7
0.71008,2398.7
0.71010,2260.6
0.71012,2177.7
0.71014,2260.6
0.71016,2371.1
0.71018,2481.6
0.71020,2730.1
0.71022,2923.5
0.71024,3089.2
0.71026,3255.0
0.71028,3365.5
0.71030,3365.5
0.71032,3282.6
0.71034,3172.1
0.71036,3034.0
0.71038,2813.0
0.71040,2509.2
0.71042,2288.2
0.71044,2067.2
0.71046,1929.1
0.71048,1818.6
0.71050,1735.8
0.71052,1708.1
0.71054,1735.8
0.71056,1735.8
0.71058,1818.6
0.71060,1791.0
0.71062,1735.8
0.71064,1708.1
0.71066,1514.8
0.71068,1293.8
0.71070,1072.8
0.71072,824.2
0.71074,492.8
0.71076,188.9
0.71078,-59.7
0.71080,-280.6
0.71082,-501.6
0.71084,-695.0
0.71086,-805.5
0.71088,-915.9
0.71090,-943.6
0.71092,-943.6
0.71094,-943.6
0.71096,-943.6
0.71098,-943.6
0.71100,-971.2
0.71102,-1026.4
0.71104,-1136.9
0.71106,-1164.5
0.71108,-1357.9
0.71110,-1468.4
0.71112,-1578.9
0.71114,-1689.4
0.71116,-1717.0
0.71118,-1717.0
0.71120,-1689.4
0.71122,-1689.4
0.71124,-1578.9
0.71126,-1385.5
0.71128,-1275.0
0.71130,-1054.1
0.71132,-915.9
0.71134,-695.0
0.71136,-474.0
0.71138,-335.9
0.71140,-170.2
0.71142,-59.7
0.71144,-32.0
0.71146,50.8
0.71148,161.3
0.71150,188.9
0.71152,271.8
0.71154,299.4
0.71156,409.9
0.71158,520.4
0.71160,603.3
0.71162,741.4
0.71164,851.9
0.71166,962.3
0.71168,1155.7
0.71170,1266.2
0.71172,1293.8
0.71174,1404.3
0.71176,1487.2
0.71178,1459.5
0.71180,1404.3
0.71182,1376.7
0.71184,1266.2
0.71186,1183.3
0.71188,1072.8
0.71190,962.3
0.71192,851.9
0.71194,713.8
0.71196,603.3
0.71198,520.4
0.71200,409.9
0.71202,382.3
0.71204,299.4
0.71206,271.8
0.71208,188.9
0.71210,161.3
0.71212,78.4
0.71214,-4.4
0.71216,-59.7
0.71218,-170.2
0.71220,-280.6
0.71222,-474.0
0.71224,-584.5
0.71226,-722.6
0.71228,-833.1
0.71230,-943.6
0.71232,-1054.1
0.71234,-1136.9
0.71236,-1164.5
0.71238,-1164.5
0.71240,-1136.9
