# Whack-O-Meter CSV Manager v1
# Original samples: 50000
# Samples/sec: 50000
# Prefix trimmed: 0.00000 - 0.66762 sec
# Suffix trimmed: 0.78732 - 0.99998 sec
# Event start: 0.66762 sec
# Event end: 0.78732 sec
# Baseline (N): 14.4
# Nickname: 6mm shoktec hi impact foam 2mm kydex · 8.3kN peak · slow decay
Loadstar Sensors LV-1000HS-10K - Log File
Sensor:,Whackometer 2-0
Samples/Sec:,50000
Test started at (approx):,5/1/2024 7:52 PM
Peak(N):,8328.6
Low(N):,-3604.1
Time (sec),Reading (N) (Whackometer 2-0)
0.66762,14.4
0.66764,14.4
0.66766,14.4
0.66768,14.4
0.66770,14.4
0.66772,14.4
0.66774,14.4
0.66776,14.4
0.66778,14.4
0.66780,14.4
0.66782,14.4
0.66784,14.4
0.66786,14.4
0.66788,42.0
0.66790,14.4
0.66792,14.4
0.66794,14.4
0.66796,14.4
0.66798,14.4
0.66800,14.4
0.66802,14.4
0.66804,14.4
0.66806,14.4
0.66808,14.4
0.66810,14.4
0.66812,14.4
0.66814,42.0
0.66816,42.0
0.66818,14.4
0.66820,14.4
0.66822,14.4
0.66824,14.4
0.66826,14.4
0.66828,42.0
0.66830,14.4
0.66832,14.4
0.66834,14.4
0.66836,14.4
0.66838,42.0
0.66840,14.4
0.66842,14.4
0.66844,14.4
0.66846,14.4
0.66848,14.4
0.66850,14.4
0.66852,14.4
0.66854,14.4
0.66856,14.4
0.66858,14.4
0.66860,14.4
0.66862,14.4
0.66864,42.0
0.66866,42.0
0.66868,42.0
0.66870,14.4
0.66872,14.4
0.66874,42.0
0.66876,14.4
0.66878,14.4
0.66880,14.4
0.66882,42.0
0.66884,14.4
0.66886,14.4
0.66888,42.0
0.66890,14.4
0.66892,42.0
0.66894,14.4
0.66896,14.4
0.66898,14.4
0.66900,42.0
0.66902,14.4
0.66904,14.4
0.66906,14.4
0.66908,42.0
0.66910,14.4
0.66912,14.4
0.66914,14.4
0.66916,42.0
0.66918,14.4
0.66920,14.4
0.66922,42.0
0.66924,42.0
0.66926,42.0
0.66928,42.0
0.66930,42.0
0.66932,42.0
0.66934,42.0
0.66936,42.0
0.66938,42.0
0.66940,42.0
0.66942,42.0
0.66944,42.0
0.66946,124.9
0.66948,124.9
0.66950,124.9
0.66952,124.9
0.66954,124.9
0.66956,124.9
0.66958,124.9
0.66960,124.9
0.66962,152.5
0.66964,152.5
0.66966,152.5
0.66968,152.5
0.66970,152.5
0.66972,235.3
0.66974,235.3
0.66976,235.3
0.66978,235.3
0.66980,263.0
0.66982,263.0
0.66984,263.0
0.66986,345.8
0.66988,345.8
0.66990,373.4
0.66992,456.3
0.66994,456.3
0.66996,566.8
0.66998,594.4
0.67000,704.9
0.67002,898.3
0.67004,1036.4
0.67006,1257.3
0.67008,1588.8
0.67010,1920.3
0.67012,2251.7
0.67014,2693.7
0.67016,3108.0
0.67018,3439.5
0.67020,3798.6
0.67022,4102.4
0.67024,4323.4
0.67026,4544.4
0.67028,4765.3
0.67030,4986.3
0.67032,5207.3
0.67034,5428.3
0.67036,5676.9
0.67038,6008.3
0.67040,6339.8
0.67042,6754.1
0.67044,7113.2
0.67046,7499.9
0.67048,7859.0
0.67050,8080.0
0.67052,8300.9
0.67054,8328.6
0.67056,8300.9
0.67058,8190.4
0.67060,7886.6
0.67062,7638.0
0.67064,7306.5
0.67066,6892.2
0.67068,6533.1
0.67070,6118.8
0.67072,5787.3
0.67074,5428.3
0.67076,5124.4
0.67078,4875.8
0.67080,4572.0
0.67082,4323.4
0.67084,4019.5
0.67086,3881.4
0.67088,3577.6
0.67090,3329.0
0.67092,3052.8
0.67094,2804.2
0.67096,2472.7
0.67098,2251.7
0.67100,2003.1
0.67102,1809.8
0.67104,1588.8
0.67106,1450.7
0.67108,1257.3
0.67110,1229.7
0.67112,1146.9
0.67114,1146.9
0.67116,1229.7
0.67118,1340.2
0.67120,1478.3
0.67122,1588.8
0.67124,1782.2
0.67126,2003.1
0.67128,2113.6
0.67130,2251.7
0.67132,2362.2
0.67134,2445.1
0.67136,2472.7
0.67138,2528.0
0.67140,2583.2
0.67142,2666.1
0.67144,2776.6
0.67146,2914.7
0.67148,3108.0
0.67150,3356.6
0.67152,3577.6
0.67154,3881.4
0.67156,4102.4
0.67158,4240.5
0.67160,4433.9
