# Whack-O-Meter CSV Manager v1
# Original samples: 50000
# Samples/sec: 50000
# Prefix trimmed: 0.00000 - 0.70860 sec
# Suffix trimmed: 0.81206 - 0.99998 sec
# Event start: 0.70860 sec
# Event end: 0.81206 sec
# Baseline (N): 11.0
# Nickname: 6mm shoktec hi impact foam 2mm kydex · 8.3kN peak · slow decay · run 2
Loadstar Sensors LV-1000HS-10K - Log File
Sensor:,Whackometer 2-0
Samples/Sec:,50000
Test started at (approx):,5/1/2024 7:54 PM
Peak(N):,8325.2
Low(N):,-2861.6
Time (sec),Reading (N) (Whackometer 2-0)
0.70860,11.0
0.70862,11.0
0.70864,11.0
0.70866,11.0
0.70868,11.0
0.70870,11.0
0.70872,11.0
0.70874,11.0
0.70876,11.0
0.70878,38.7
0.70880,11.0
0.70882,11.0
0.70884,11.0
0.70886,11.0
0.70888,11.0
0.70890,11.0
0.70892,38.7
0.70894,38.7
0.70896,38.7
0.70898,11.0
0.70900,11.0
0.70902,38.7
0.70904,11.0
0.70906,38.7
0.70908,11.0
0.70910,11.0
0.70912,11.0
0.70914,11.0
0.70916,11.0
0.70918,11.0
0.70920,11.0
0.70922,11.0
0.70924,11.0
0.70926,11.0
0.70928,11.0
0.70930,11.0
0.70932,11.0
0.70934,38.7
0.70936,11.0
0.70938,11.0
0.70940,11.0
0.70942,11.0
0.70944,38.7
0.70946,11.0
0.70948,11.0
0.70950,11.0
0.70952,11.0
0.70954,11.0
0.70956,11.0
0.70958,11.0
0.70960,11.0
0.70962,11.0
0.70964,11.0
0.70966,11.0
0.70968,11.0
0.70970,11.0
0.70972,11.0
0.70974,11.0
0.70976,11.0
0.70978,38.7
0.70980,11.0
0.70982,11.0
0.70984,38.7
0.70986,38.7
0.70988,38.7
0.70990,38.7
0.70992,38.7
0.70994,38.7
0.70996,38.7
0.70998,38.7
0.71000,38.7
0.71002,38.7
0.71004,38.7
0.71006,38.7
0.71008,38.7
0.71010,38.7
0.71012,121.5
0.71014,121.5
0.71016,121.5
0.71018,121.5
0.71020,121.5
0.71022,121.5
0.71024,121.5
0.71026,149.2
0.71028,149.2
0.71030,149.2
0.71032,149.2
0.71034,149.2
0.71036,149.2
0.71038,149.2
0.71040,149.2
0.71042,232.0
0.71044,232.0
0.71046,259.6
0.71048,259.6
0.71050,259.6
0.71052,342.5
0.71054,342.5
0.71056,370.1
0.71058,453.0
0.71060,453.0
0.71062,563.5
0.71064,674.0
0.71066,812.1
0.71068,1005.4
0.71070,1254.0
0.71072,1585.5
0.71074,1917.0
0.71076,2358.9
0.71078,2773.2
0.71080,3215.2
0.71082,3657.1
0.71084,4099.1
0.71086,4430.6
0.71088,4762.0
0.71090,4983.0
0.71092,5121.1
0.71094,5231.6
0.71096,5342.1
0.71098,5535.4
0.71100,5673.5
0.71102,5866.9
0.71104,6115.5
0.71106,6419.3
0.71108,6750.8
0.71110,7082.3
0.71112,7441.3
0.71114,7772.8
0.71116,8076.6
0.71118,8214.8
0.71120,8325.2
0.71122,8325.2
0.71124,8214.8
0.71126,7993.8
0.71128,7662.3
0.71130,7330.9
0.71132,6999.4
0.71134,6640.3
0.71136,6308.8
0.71138,5977.4
0.71140,5645.9
0.71142,5424.9
0.71144,5121.1
0.71146,4900.1
0.71148,4651.5
0.71150,4347.7
0.71152,4126.7
0.71154,3905.7
0.71156,3657.1
0.71158,3353.3
0.71160,3104.7
0.71162,2690.4
0.71164,2331.3
0.71166,1889.3
0.71168,1557.9
0.71170,1226.4
0.71172,922.6
0.71174,812.1
0.71176,812.1
0.71178,839.7
0.71180,812.1
0.71182,894.9
0.71184,1033.1
0.71186,1143.5
0.71188,1254.0
0.71190,1364.5
0.71192,1557.9
0.71194,1668.4
0.71196,1778.9
0.71198,1806.5
0.71200,1999.8
0.71202,2110.3
0.71204,2110.3
0.71206,2137.9
0.71208,2220.8
0.71210,2358.9
0.71212,2469.4
0.71214,2690.4
0.71216,2911.3
0.71218,3215.2
0.71220,3436.2
0.71222,3657.1
0.71224,3878.1
0.71226,4016.2
0.71228,4099.1
0.71230,4099.1
0.71232,4099.1
0.71234,4016.2
0.71236,3795.3
0.71238,3657.1
0.71240,3436.2
0.71242,3215.2
0.71244,2994.2
0.71246,2690.4
0.71248,2441.8
0.71250,2220.8
0.71252,1944.6
0.71254,1668.4
0.71256,1447.4
0.71258,1226.4
0.71260,1005.4
0.71262,701.6
0.71264,480.6
0.71266,259.6
0.71268,-71.8
0.71270,-430.9
0.71272,-762.4
0.71274,-1093.8
0.71276,-1397.7
0.71278,-1729.1
0.71280,-1950.1
0.71282,-2088.2
0.71284,-2281.6
0.71286,-2419.7
0.71288,-2530.2
0.71290,-2695.9
0.71292,-2834.0
0.71294,-2861.6
0.71296,-2861.6
0.71298,-2861.6
0.71300,-2834.0
0.71302,-2834.0
0.71304,-2751.1
0.71306,-2834.0
0.71308,-2834.0
0.71310,-2834.0
0.71312,-2834.0
0.71314,-2751.1
0.71316,-2640.7
0.71318,-2530.2
0.71320,-2419.7
0.71322,-2281.6
0.71324,-2060.6
0.71326,-1867.2
0.71328,-1646.3
0.71330,-1397.7
0.71332,-1176.7
0.71334,-872.9
0.71336,-541.4
0.71338,-292.8
0.71340,11.0
0.71342,259.6
0.71344,453.0
0.71346,674.0
0.71348,812.1
0.71350,1005.4
0.71352,1143.5
0.71354,1336.9
0.71356,1475.0
0.71358,1668.4
0.71360,1778.9
0.71362,1917.0
0.71364,2110.3
0.71366,2220.8
0.71368,2358.9
0.71370,2469.4
0.71372,2552.3
0.71374,2662.8
0.71376,2662.8
0.71378,2662.8
0.71380,2662.8
0.71382,2579.9
0.71384,2469.4
0.71386,2248.4
0.71388,2110.3
0.71390,1889.3
0.71392,1668.4
0.71394,1475.0
0.71396,1254.0
0.71398,1033.1
0.71400,894.9
0.71402,701.6
0.71404,535.9
0.71406,342.5
0.71408,149.2
0.71410,11.0
0.71412,-182.3
0.71414,-320.4
0.71416,-513.8
0.71418,-734.7
0.71420,-872.9
0.71422,-1066.2
0.71424,-1287.2
0.71426,-1425.3
0.71428,-1646.3
0.71430,-1756.8
0.71432,-1867.2
0.71434,-1977.7
0.71436,-2060.6
0.71438,-2088.2
0.71440,-2088.2
0.71442,-2088.2
0.71444,-2060.6
0.71446,-1977.7
0.71448,-1950.1
0.71450,-1867.2
0.71452,-1839.6
0.71454,-1729.1
0.71456,-1646.3
0.71458,-1646.3
0.71460,-1618.6
0.71462,-1535.8
0.71464,-1508.2
0.71466,-1425.3
0.71468,-1314.8
0.71470,-1287.2
0.71472,-1176.7
0.71474,-983.3
0.71476,-845.2
0.71478,-651.9
0.71480,-486.1
0.71482,-292.8
0.71484,-99.4
