Loadstar Sensors LV-1000HS-10K - Log File
Sensor:,Whackometer 2-0
Samples/Sec:,50000
Test started at (approx):,5/1/2024 7:23 PM
Peak(N):,5066.7
Low(N):,-1120.6
Time (sec),Reading (N) (Whackometer 2-0)
0.00000,-15.7
0.00002,-15.7
0.00004,11.9
0.00006,-15.7
0.00008,-15.7
0.00010,-15.7
0.00012,-15.7
0.00014,-15.7
0.00016,-15.7
0.00018,-15.7
0.00020,-15.7
0.00022,-15.7
0.00024,-15.7
0.00026,-15.7
0.00028,-15.7
0.00030,-15.7
0.00032,-15.7
0.00034,-15.7
0.00036,-15.7
0.00038,-15.7
0.00040,-15.7
0.00042,-15.7
0.00044,-15.7
0.00046,-15.7
0.00048,-15.7
0.00050,-15.7
0.00052,-15.7
0.00054,-15.7
0.00056,-15.7
0.00058,-15.7
0.00060,-15.7
0.00062,-15.7
0.00064,-15.7
0.00066,-15.7
0.00068,-15.7
0.00070,-15.7
0.00072,-15.7
0.00074,-15.7
0.00076,-15.7
0.00078,-15.7
0.00080,-15.7
0.00082,-15.7
0.00084,-15.7
0.00086,-15.7
0.00088,-15.7
0.00090,-15.7
0.00092,-15.7
0.00094,11.9
0.00096,-15.7
0.00098,-15.7
0.00100,-15.7
0.00102,-15.7
0.00104,-15.7
0.00106,-15.7
0.00108,-15.7
0.00110,-15.7
0.00112,-15.7
0.00114,-15.7
0.00116,-15.7
0.00118,-15.7
0.00120,-15.7
0.00122,-15.7
0.00124,-15.7
0.00126,-15.7
0.00128,-15.7
0.00130,-15.7
0.00132,-15.7
0.00134,-15.7
0.00136,-15.7
0.00138,-15.7
0.00140,-15.7
0.00142,11.9
0.00144,-15.7
0.00146,-15.7
0.00148,-15.7
0.00150,-15.7
0.00152,-15.7
0.00154,-15.7
0.00156,-15.7
0.00158,-15.7
0.00160,-15.7
0.00162,-15.7
0.00164,-15.7
0.00166,-15.7
0.00168,-15.7
0.00170,-15.7
0.00172,-15.7
0.00174,-15.7
0.00176,-15.7
0.00178,-15.7
0.00180,-15.7
0.00182,-15.7
0.00184,-15.7
0.00186,-15.7
0.00188,11.9
0.00190,-15.7
0.00192,-15.7
0.00194,-15.7
0.00196,-15.7
0.00198,-15.7
0.00200,-15.7
0.00202,-15.7
0.00204,-15.7
0.00206,-15.7
0.00208,-15.7
0.00210,-15.7
0.00212,-15.7
0.00214,-15.7
0.00216,-15.7
0.00218,-15.7
0.00220,-15.7
0.00222,-15.7
0.00224,-15.7
0.00226,-15.7
0.00228,-15.7
0.00230,-15.7
0.00232,67.1
0.00234,-15.7
0.00236,-15.7
0.00238,-15.7
0.00240,-15.7
0.00242,-15.7
0.00244,-15.7
0.00246,-15.7
0.00248,-15.7
0.00250,-15.7
0.00252,-15.7
0.00254,-15.7
0.00256,-15.7
0.00258,-15.7
0.00260,-15.7
0.00262,-15.7
0.00264,-15.7
0.00266,-15.7
0.00268,-15.7
0.00270,-15.7
