Loadstar Sensors LV-1000HS-10K - Log File
Sensor:,Whackometer 2-0
Samples/Sec:,50000
Test started at (approx):,5/1/2024 7:26 PM
Peak(N):,4939.4
Low(N):,-1607.0
Time (sec),Reading (N) (Whackometer 2-0)
0.00000,-32.6
0.00002,-32.6
0.00004,-32.6
0.00006,-5.0
0.00008,-32.6
0.00010,-32.6
0.00012,-32.6
0.00014,-32.6
0.00016,-32.6
0.00018,-32.6
0.00020,-32.6
0.00022,-32.6
0.00024,-32.6
0.00026,-32.6
0.00028,-32.6
0.00030,-32.6
0.00032,-32.6
0.00034,-32.6
0.00036,-32.6
0.00038,-32.6
0.00040,-32.6
0.00042,-32.6
0.00044,50.3
0.00046,-32.6
0.00048,50.3
0.00050,-32.6
0.00052,-32.6
0.00054,-5.0
0.00056,-32.6
0.00058,-32.6
0.00060,-32.6
0.00062,-32.6
0.00064,-32.6
0.00066,-32.6
0.00068,-32.6
0.00070,-32.6
0.00072,-32.6
0.00074,-32.6
0.00076,-32.6
0.00078,-32.6
0.00080,-32.6
0.00082,-32.6
0.00084,-32.6
0.00086,50.3
0.00088,-32.6
0.00090,-32.6
0.00092,-32.6
0.00094,-32.6
0.00096,-32.6
0.00098,-32.6
0.00100,-32.6
0.00102,-32.6
0.00104,-5.0
0.00106,-32.6
0.00108,-32.6
0.00110,-32.6
0.00112,-32.6
0.00114,-32.6
0.00116,-32.6
0.00118,-32.6
0.00120,-32.6
0.00122,-32.6
0.00124,-32.6
0.00126,-32.6
0.00128,-32.6
0.00130,-32.6
0.00132,-32.6
0.00134,-32.6
0.00136,-32.6
0.00138,-32.6
0.00140,-32.6
0.00142,50.3
0.00144,50.3
0.00146,-32.6
0.00148,-32.6
0.00150,50.3
0.00152,50.3
0.00154,22.6
0.00156,-32.6
0.00158,-32.6
0.00160,-32.6
0.00162,-32.6
0.00164,50.3
0.00166,-32.6
0.00168,-32.6
0.00170,-32.6
0.00172,-32.6
0.00174,50.3
0.00176,-32.6
0.00178,-32.6
0.00180,-32.6
0.00182,-32.6
0.00184,-32.6
0.00186,50.3
0.00188,-32.6
0.00190,50.3
0.00192,-32.6
0.00194,-32.6
0.00196,-32.6
0.00198,50.3
0.00200,-32.6
0.00202,-32.6
0.00204,-5.0
0.00206,-32.6
0.00208,-32.6
0.00210,50.3
0.00212,-32.6
0.00214,-32.6
0.00216,-32.6
0.00218,-32.6
0.00220,50.3
0.00222,-32.6
0.00224,-32.6
0.00226,-32.6
0.00228,-32.6
0.00230,-32.6
0.00232,-32.6
0.00234,-32.6
0.00236,-32.6
0.00238,50.3
0.00240,-32.6
0.00242,-32.6
0.00244,-32.6
0.00246,-32.6
0.00248,50.3
0.00250,50.3
0.00252,-32.6
0.00254,-5.0
0.00256,-32.6
0.00258,50.3
0.00260,-32.6
0.00262,50.3
0.00264,-32.6
0.00266,50.3
0.00268,50.3
0.00270,-32.6
0.00272,50.3
0.00274,-32.6
0.00276,-32.6
0.00278,-32.6
0.00280,-32.6
0.00282,-32.6
0.00284,50.3
0.00286,50.3
0.00288,-32.6
0.00290,50.3
0.00292,50.3
0.00294,50.3
0.00296,-32.6
0.00298,50.3
0.00300,-32.6
0.00302,22.6
0.00304,50.3
0.00306,50.3
0.00308,50.3
0.00310,50.3
0.00312,50.3
0.00314,-32.6
0.00316,-32.6
0.00318,-32.6
0.00320,50.3
0.00322,-32.6
0.00324,50.3
0.00326,50.3
0.00328,-32.6
0.00330,-32.6
0.00332,-32.6
0.00334,-32.6
0.00336,50.3
0.00338,-32.6
0.00340,50.3
0.00342,-32.6
0.00344,50.3
0.00346,-32.6
0.00348,50.3
0.00350,22.6
0.00352,50.3
0.00354,50.3
0.00356,50.3
0.00358,50.3
0.00360,-32.6
0.00362,-32.6
0.00364,-32.6
0.00366,50.3
0.00368,-32.6
0.00370,50.3
0.00372,-32.6
0.00374,-32.6
0.00376,-32.6
0.00378,-32.6
0.00380,-32.6
0.00382,-32.6
0.00384,-32.6
0.00386,-32.6
0.00388,-32.6
0.00390,-32.6
0.00392,-32.6
0.00394,-32.6
0.00396,-32.6
0.00398,-5.0
0.00400,-32.6
0.00402,-32.6
0.00404,50.3
0.00406,50.3
0.00408,50.3
0.00410,-32.6
0.00412,-32.6
0.00414,-32.6
0.00416,-32.6
0.00418,-32.6
0.00420,50.3
0.00422,-32.6
0.00424,-32.6
0.00426,-32.6
0.00428,-32.6
0.00430,-32.6
0.00432,-32.6
0.00434,-32.6
0.00436,-32.6
0.00438,-32.6
0.00440,-32.6
0.00442,-32.6
0.00444,-5.0
0.00446,50.3
0.00448,-32.6
0.00450,-32.6
0.00452,50.3
0.00454,-32.6
0.00456,-32.6
0.00458,-32.6
0.00460,50.3
0.00462,-32.6
0.00464,-32.6
0.00466,-32.6
0.00468,-32.6
0.00470,-32.6
0.00472,50.3
0.00474,50.3
0.00476,-32.6
0.00478,-32.6
0.00480,-32.6
0.00482,-32.6
0.00484,-32.6
0.00486,-32.6
0.00488,-32.6
0.00490,-5.0
0.00492,50.3
0.00494,-32.6
0.00496,50.3
0.00498,-32.6
0.00500,50.3
0.00502,-32.6
0.00504,50.3
0.00506,50.3
0.00508,50.3
0.00510,50.3
0.00512,50.3
0.00514,50.3
0.00516,50.3
0.00518,-32.6
0.00520,-32.6
0.00522,-32.6
0.00524,50.3
0.00526,-32.6
0.00528,-32.6
0.00530,-32.6
0.00532,50.3
0.00534,50.3
0.00536,50.3
0.00538,22.6
0.00540,50.3
0.00542,50.3
0.00544,-32.6
0.00546,-32.6
0.00548,50.3
0.00550,50.3
0.00552,-32.6
0.00554,-32.6
0.00556,-32.6
0.00558,50.3
0.00560,-32.6
0.00562,-32.6
0.00564,-32.6
0.00566,-32.6
0.00568,-32.6
0.00570,50.3
0.00572,-32.6
0.00574,50.3
0.00576,-32.6
0.00578,-32.6
0.00580,-32.6
0.00582,-32.6
0.00584,22.6
0.00586,50.3
0.00588,-32.6
0.00590,50.3
0.00592,-32.6
0.00594,50.3
0.00596,50.3
0.00598,50.3
0.00600,-32.6
0.00602,-32.6
0.00604,-32.6
0.00606,-32.6
0.00608,50.3
0.00610,50.3
0.00612,50.3
0.00614,-32.6
0.00616,50.3
0.00618,-32.6
0.00620,-32.6
0.00622,-32.6
0.00624,50.3
0.00626,-32.6
0.00628,-5.0
0.00630,50.3
0.00632,-32.6
0.00634,50.3
0.00636,-32.6
0.00638,50.3
0.00640,50.3
0.00642,50.3
0.00644,50.3
0.00646,50.3
0.00648,50.3
0.00650,50.3
0.00652,-32.6
0.00654,50.3
0.00656,50.3
0.00658,50.3
0.00660,-32.6
0.00662,50.3
0.00664,-32.6
0.00666,50.3
0.00668,-32.6
0.00670,-32.6
0.00672,-32.6
0.00674,-32.6
0.00676,-5.0
0.00678,50.3
0.00680,50.3
0.00682,50.3
0.00684,50.3
0.00686,50.3
0.00688,50.3
0.00690,50.3
0.00692,50.3
0.00694,50.3
0.00696,50.3
0.00698,-32.6
0.00700,50.3
0.00702,50.3
0.00704,50.3
0.00706,50.3
0.00708,50.3
0.00710,50.3
0.00712,50.3
0.00714,-32.6
0.00716,-32.6
0.00718,-32.6
0.00720,50.3
0.00722,-32.6
0.00724,-32.6
0.00726,-5.0
0.00728,-32.6
0.00730,50.3
0.00732,50.3
0.00734,50.3
0.00736,50.3
0.00738,50.3
0.00740,50.3
0.00742,-32.6
0.00744,50.3
0.00746,50.3
0.00748,-32.6
0.00750,-32.6
0.00752,-32.6
0.00754,-32.6
0.00756,-32.6
0.00758,-32.6
0.00760,-32.6
0.00762,-32.6
0.00764,-32.6
0.00766,-32.6
0.00768,-32.6
0.00770,-5.0
0.00772,50.3
0.00774,-32.6
0.00776,50.3
0.00778,-32.6
0.00780,50.3
0.00782,-32.6
0.00784,-32.6
0.00786,-32.6
0.00788,50.3
0.00790,-32.6
0.00792,50.3
0.00794,50.3
0.00796,-32.6
0.00798,-32.6
0.00800,50.3
0.00802,-32.6
0.00804,-32.6
0.00806,-32.6
0.00808,-32.6
0.00810,-32.6
0.00812,-32.6
0.00814,-5.0
0.00816,50.3
0.00818,50.3
0.00820,50.3
0.00822,50.3
0.00824,50.3
0.00826,-32.6
0.00828,-32.6
0.00830,-32.6
0.00832,50.3
0.00834,-32.6
0.00836,50.3
0.00838,50.3
0.00840,50.3
0.00842,50.3
0.00844,50.3
0.00846,50.3
0.00848,50.3
0.00850,50.3
0.00852,50.3
0.00854,50.3
0.00856,50.3
0.00858,50.3
0.00860,-32.6
0.00862,-32.6
0.00864,-32.6
0.00866,-32.6
0.00868,50.3
0.00870,50.3
0.00872,-32.6
0.00874,50.3
0.00876,22.6
0.00878,50.3
0.00880,50.3
0.00882,-32.6
0.00884,-32.6
0.00886,50.3
0.00888,50.3
0.00890,50.3
0.00892,50.3
0.00894,50.3
0.00896,50.3
0.00898,50.3
0.00900,50.3
0.00902,50.3
0.00904,50.3
0.00906,50.3
0.00908,50.3
0.00910,-32.6
0.00912,-32.6
0.00914,-32.6
0.00916,-32.6
0.00918,-32.6
0.00920,50.3
0.00922,-32.6
0.00924,-32.6
0.00926,-32.6
0.00928,-32.6
0.00930,-32.6
0.00932,-32.6
0.00934,-5.0
0.00936,50.3
0.00938,50.3
0.00940,50.3
0.00942,-32.6
0.00944,50.3
0.00946,50.3
0.00948,50.3
0.00950,-32.6
0.00952,-32.6
0.00954,-32.6
0.00956,50.3
0.00958,-32.6
0.00960,-32.6
0.00962,-32.6
0.00964,-32.6
0.00966,-32.6
0.00968,-32.6
0.00970,50.3
0.00972,-32.6
0.00974,-32.6
0.00976,-32.6
0.00978,-5.0
0.00980,50.3
0.00982,50.3
0.00984,50.3
0.00986,50.3
0.00988,-32.6
0.00990,50.3
0.00992,50.3
0.00994,50.3
0.00996,50.3
0.00998,50.3
0.01000,-32.6
0.01002,50.3
0.01004,50.3
0.01006,50.3
0.01008,50.3
0.01010,-32.6
0.01012,-32.6
0.01014,50.3
0.01016,-32.6
0.01018,-32.6
0.01020,50.3
0.01022,22.6
0.01024,50.3
0.01026,-32.6
0.01028,50.3
0.01030,-32.6
0.01032,50.3
0.01034,50.3
0.01036,50.3
0.01038,-32.6
0.01040,-32.6
0.01042,50.3
0.01044,50.3
0.01046,50.3
0.01048,50.3
0.01050,50.3
0.01052,50.3
0.01054,50.3
0.01056,50.3
0.01058,50.3
0.01060,50.3
0.01062,-32.6
0.01064,50.3
0.01066,50.3
0.01068,-5.0
0.01070,50.3
0.01072,50.3
0.01074,50.3
0.01076,50.3
0.01078,50.3
0.01080,50.3
0.01082,50.3
0.01084,50.3
0.01086,-32.6
0.01088,50.3
0.01090,50.3
0.01092,50.3
0.01094,50.3
0.01096,-32.6
0.01098,-32.6
0.01100,-32.6
0.01102,50.3
0.01104,-32.6
0.01106,-32.6
0.01108,-32.6
0.01110,50.3
0.01112,-32.6
0.01114,50.3
0.01116,22.6
0.01118,50.3
0.01120,50.3
0.01122,50.3
0.01124,50.3
0.01126,50.3
0.01128,50.3
0.01130,50.3
0.01132,50.3
0.01134,-32.6
0.01136,50.3
0.01138,50.3
0.01140,50.3
0.01142,50.3
0.01144,50.3
0.01146,-32.6
0.01148,-32.6
0.01150,-32.6
0.01152,-32.6
0.01154,-32.6
0.01156,-32.6
0.01158,-32.6
0.01160,-5.0
0.01162,50.3
0.01164,50.3
0.01166,50.3
0.01168,50.3
0.01170,50.3
0.01172,50.3
0.01174,50.3
0.01176,-32.6
0.01178,-32.6
0.01180,-32.6
0.01182,50.3
0.01184,50.3
0.01186,50.3
0.01188,-32.6
0.01190,50.3
0.01192,50.3
0.01194,50.3
0.01196,-32.6
0.01198,-32.6
0.01200,-32.6
0.01202,-32.6
0.01204,-32.6
0.01206,-32.6
0.01208,-5.0
0.01210,50.3
