# Whack-O-Meter CSV Manager v1
# Original samples: 50000
# Samples/sec: 50000
# Prefix trimmed: 0.00000 - 0.58946 sec
# Suffix trimmed: 0.69578 - 0.99998 sec
# Event start: 0.58946 sec
# Event end: 0.69578 sec
# Baseline (N): 47.0
# Nickname: 6mm shoktec hi impact gell 2mm kydex · 5.3kN peak · slow decay
Loadstar Sensors LV-1000HS-10K - Log File
Sensor:,Whackometer 2-0
Samples/Sec:,50000
Test started at (approx):,5/1/2024 7:30 PM
Peak(N):,5267.5
Low(N):,-1941.8
Time (sec),Reading (N) (Whackometer 2-0)
0.58946,47.0
0.58948,47.0
0.58950,47.0
0.58952,47.0
0.58954,47.0
0.58956,47.0
0.58958,47.0
0.58960,19.3
0.58962,-35.9
0.58964,-35.9
0.58966,47.0
0.58968,47.0
0.58970,47.0
0.58972,47.0
0.58974,47.0
0.58976,47.0
0.58978,47.0
0.58980,47.0
0.58982,47.0
0.58984,47.0
0.58986,47.0
0.58988,47.0
0.58990,-35.9
0.58992,47.0
0.58994,47.0
0.58996,47.0
0.58998,47.0
0.59000,19.3
0.59002,-35.9
0.59004,-35.9
0.59006,47.0
0.59008,-35.9
0.59010,-35.9
0.59012,-35.9
0.59014,47.0
0.59016,47.0
0.59018,47.0
0.59020,47.0
0.59022,47.0
0.59024,47.0
0.59026,47.0
0.59028,47.0
0.59030,47.0
0.59032,47.0
0.59034,47.0
0.59036,47.0
0.59038,47.0
0.59040,47.0
0.59042,-35.9
0.59044,-35.9
0.59046,-35.9
0.59048,-35.9
0.59050,47.0
0.59052,47.0
0.59054,47.0
0.59056,47.0
0.59058,47.0
0.59060,47.0
0.59062,-35.9
0.59064,47.0
0.59066,47.0
0.59068,47.0
0.59070,47.0
0.59072,-35.9
0.59074,47.0
0.59076,-35.9
0.59078,47.0
0.59080,19.3
0.59082,47.0
0.59084,-35.9
0.59086,47.0
0.59088,47.0
0.59090,47.0
0.59092,47.0
0.59094,47.0
0.59096,47.0
0.59098,47.0
0.59100,-35.9
0.59102,-35.9
0.59104,47.0
0.59106,47.0
0.59108,47.0
0.59110,47.0
0.59112,47.0
0.59114,47.0
0.59116,47.0
0.59118,47.0
0.59120,47.0
0.59122,47.0
0.59124,47.0
0.59126,74.6
0.59128,74.6
0.59130,157.4
0.59132,157.4
0.59134,157.4
0.59136,185.1
0.59138,185.1
0.59140,185.1
0.59142,267.9
0.59144,267.9
0.59146,295.6
0.59148,295.6
0.59150,378.4
0.59152,378.4
0.59154,406.0
0.59156,488.9
0.59158,516.5
0.59160,599.4
0.59162,627.0
0.59164,709.9
0.59166,737.5
0.59168,820.4
0.59170,930.9
0.59172,958.5
0.59174,1041.3
0.59176,1151.8
0.59178,1262.3
0.59180,1289.9
0.59182,1400.4
0.59184,1510.9
0.59186,1621.4
0.59188,1731.9
0.59190,1842.4
0.59192,1952.9
0.59194,2063.4
0.59196,2256.7
0.59198,2367.2
0.59200,2505.3
0.59202,2671.0
0.59204,2836.8
0.59206,3030.1
0.59208,3168.2
0.59210,3278.7
0.59212,3472.1
0.59214,3610.2
0.59216,3803.5
0.59218,3941.6
0.59220,4052.1
0.59222,4245.5
0.59224,4356.0
0.59226,4494.1
0.59228,4604.6
0.59230,4715.1
0.59232,4825.5
0.59234,4936.0
0.59236,5018.9
0.59238,5046.5
0.59240,5157.0
0.59242,5239.9
0.59244,5239.9
0.59246,5267.5
0.59248,5267.5
0.59250,5267.5
0.59252,5267.5
0.59254,5239.9
0.59256,5239.9
0.59258,5157.0
0.59260,5129.4
0.59262,5046.5
0.59264,5018.9
0.59266,4936.0
0.59268,4936.0
0.59270,4825.5
0.59272,4825.5
0.59274,4797.9
0.59276,4715.1
0.59278,4687.4
0.59280,4687.4
0.59282,4604.6
0.59284,4604.6
0.59286,4577.0
0.59288,4577.0
0.59290,4494.1
0.59292,4494.1
0.59294,4494.1
0.59296,4494.1
0.59298,4494.1
0.59300,4494.1
0.59302,4494.1
0.59304,4466.5
0.59306,4466.5
0.59308,4466.5
0.59310,4466.5
0.59312,4383.6
0.59314,4383.6
0.59316,4356.0
0.59318,4273.1
0.59320,4162.6
0.59322,4135.0
0.59324,4024.5
0.59326,3914.0
0.59328,3720.7
0.59330,3610.2
0.59332,3472.1
0.59334,3278.7
0.59336,3140.6
0.59338,2919.6
0.59340,2726.3
0.59342,2505.3
0.59344,2284.3
0.59346,2063.4
0.59348,1814.8
0.59350,1593.8
0.59352,1372.8
0.59354,1069.0
0.59356,848.0
0.59358,599.4
0.59360,378.4
0.59362,74.6
0.59364,-146.4
0.59366,-339.7
0.59368,-588.3
0.59370,-726.5
0.59372,-947.4
0.59374,-1140.8
0.59376,-1278.9
0.59378,-1389.4
0.59380,-1582.7
0.59382,-1693.2
0.59384,-1803.7
0.59386,-1831.3
0.59388,-1914.2
0.59390,-1914.2
0.59392,-1941.8
0.59394,-1941.8
0.59396,-1941.8
0.59398,-1914.2
0.59400,-1831.3
0.59402,-1803.7
0.59404,-1720.8
0.59406,-1610.4
0.59408,-1472.2
0.59410,-1361.8
0.59412,-1168.4
0.59414,-1030.3
0.59416,-836.9
0.59418,-698.8
0.59420,-505.5
0.59422,-367.4
0.59424,-146.4
0.59426,-35.9
0.59428,185.1
0.59430,378.4
0.59432,488.9
0.59434,627.0
0.59436,820.4
0.59438,930.9
0.59440,1069.0
0.59442,1179.5
0.59444,1289.9
0.59446,1372.8
0.59448,1483.3
0.59450,1510.9
0.59452,1510.9
0.59454,1510.9
0.59456,1510.9
0.59458,1483.3
0.59460,1400.4
0.59462,1372.8
0.59464,1289.9
0.59466,1179.5
0.59468,1069.0
0.59470,930.9
0.59472,820.4
0.59474,709.9
0.59476,516.5
0.59478,378.4
0.59480,267.9
0.59482,74.6
0.59484,-63.5
0.59486,-256.9
0.59488,-395.0
0.59490,-588.3
0.59492,-754.1
0.59494,-919.8
0.59496,-1057.9
0.59498,-1168.4
0.59500,-1278.9
0.59502,-1389.4
0.59504,-1499.9
0.59506,-1582.7
0.59508,-1610.4
0.59510,-1610.4
0.59512,-1610.4
0.59514,-1610.4
0.59516,-1582.7
0.59518,-1582.7
0.59520,-1499.9
0.59522,-1389.4
0.59524,-1361.8
0.59526,-1278.9
0.59528,-1168.4
0.59530,-1057.9
0.59532,-947.4
