# Whack-O-Meter CSV Manager v1
# Original samples: 50000
# Samples/sec: 50000
# Prefix trimmed: 0.00000 - 0.71986 sec
# Suffix trimmed: 0.83918 - 0.99998 sec
# Event start: 0.71986 sec
# Event end: 0.83918 sec
# Baseline (N): 42.8
# Nickname: 6mm shoktec hi impact gell 2mm kydex · 5.3kN peak · slow decay · run 2
Loadstar Sensors LV-1000HS-10K - Log File
Sensor:,Whackometer 2-0
Samples/Sec:,50000
Test started at (approx):,5/1/2024 7:32 PM
Peak(N):,5346.2
Low(N):,-2277.4
Time (sec),Reading (N) (Whackometer 2-0)
0.71986,42.8
0.71988,42.8
0.71990,42.8
0.71992,42.8
0.71994,42.8
0.71996,42.8
0.71998,42.8
0.72000,42.8
0.72002,42.8
0.72004,42.8
0.72006,42.8
0.72008,42.8
0.72010,42.8
0.72012,42.8
0.72014,42.8
0.72016,42.8
0.72018,42.8
0.72020,42.8
0.72022,-40.1
0.72024,42.8
0.72026,15.2
0.72028,42.8
0.72030,42.8
0.72032,42.8
0.72034,-40.1
0.72036,42.8
0.72038,42.8
0.72040,42.8
0.72042,42.8
0.72044,42.8
0.72046,-40.1
0.72048,42.8
0.72050,42.8
0.72052,42.8
0.72054,42.8
0.72056,42.8
0.72058,42.8
0.72060,42.8
0.72062,-40.1
0.72064,42.8
0.72066,-40.1
0.72068,-12.4
0.72070,42.8
0.72072,-40.1
0.72074,42.8
0.72076,42.8
0.72078,-40.1
0.72080,42.8
0.72082,42.8
0.72084,42.8
0.72086,-40.1
0.72088,42.8
0.72090,-40.1
0.72092,42.8
0.72094,42.8
0.72096,42.8
0.72098,-40.1
0.72100,42.8
0.72102,42.8
0.72104,-40.1
0.72106,-40.1
0.72108,42.8
0.72110,-12.4
0.72112,-40.1
0.72114,42.8
0.72116,42.8
0.72118,42.8
0.72120,42.8
0.72122,42.8
0.72124,42.8
0.72126,-40.1
0.72128,42.8
0.72130,-40.1
0.72132,-40.1
0.72134,42.8
0.72136,-40.1
0.72138,42.8
0.72140,42.8
0.72142,-40.1
0.72144,42.8
0.72146,-40.1
0.72148,-40.1
0.72150,42.8
0.72152,15.2
0.72154,42.8
0.72156,-40.1
0.72158,42.8
0.72160,-40.1
0.72162,42.8
0.72164,42.8
0.72166,42.8
0.72168,42.8
0.72170,42.8
0.72172,42.8
0.72174,-40.1
0.72176,-40.1
0.72178,42.8
0.72180,-40.1
0.72182,42.8
0.72184,42.8
0.72186,42.8
0.72188,42.8
0.72190,70.4
0.72192,70.4
0.72194,70.4
0.72196,153.3
0.72198,153.3
0.72200,153.3
0.72202,153.3
0.72204,180.9
0.72206,180.9
0.72208,263.8
0.72210,263.8
0.72212,291.4
0.72214,374.3
0.72216,374.3
0.72218,401.9
0.72220,401.9
0.72222,484.8
0.72224,512.4
0.72226,595.3
0.72228,622.9
0.72230,705.7
0.72232,816.2
0.72234,843.8
0.72236,843.8
0.72238,954.3
0.72240,1037.2
0.72242,1064.8
0.72244,1175.3
0.72246,1285.8
0.72248,1396.3
0.72250,1479.2
0.72252,1617.3
0.72254,1727.8
0.72256,1921.1
0.72258,2031.6
0.72260,2169.7
0.72262,2363.1
0.72264,2501.2
0.72266,2694.5
0.72268,2832.6
0.72270,3026.0
0.72272,3164.1
0.72274,3357.4
0.72276,3495.6
0.72278,3688.9
0.72280,3909.9
0.72282,4020.4
0.72284,4158.5
0.72286,4351.8
0.72288,4489.9
0.72290,4600.4
0.72292,4710.9
0.72294,4821.4
0.72296,4931.9
0.72298,5042.4
0.72300,5125.2
0.72302,5152.9
0.72304,5235.7
0.72306,5263.4
0.72308,5263.4
0.72310,5346.2
0.72312,5346.2
0.72314,5263.4
0.72316,5263.4
0.72318,5263.4
0.72320,5235.7
0.72322,5235.7
0.72324,5125.2
0.72326,5042.4
0.72328,5014.8
0.72330,4931.9
0.72332,4904.3
0.72334,4821.4
0.72336,4793.8
0.72338,4710.9
0.72340,4600.4
0.72342,4572.8
0.72344,4489.9
0.72346,4462.3
0.72348,4462.3
0.72350,4379.5
0.72352,4351.8
0.72354,4351.8
0.72356,4269.0
0.72358,4269.0
0.72360,4269.0
0.72362,4269.0
0.72364,4241.3
0.72366,4241.3
0.72368,4241.3
0.72370,4241.3
0.72372,4241.3
0.72374,4241.3
0.72376,4158.5
0.72378,4158.5
0.72380,4158.5
0.72382,4130.9
0.72384,4048.0
0.72386,4020.4
0.72388,3937.5
0.72390,3827.0
0.72392,3799.4
0.72394,3688.9
0.72396,3578.4
0.72398,3385.1
0.72400,3247.0
0.72402,3136.5
0.72404,2943.1
0.72406,2805.0
0.72408,2584.0
0.72410,2390.7
0.72412,2169.7
0.72414,1948.7
0.72416,1727.8
0.72418,1506.8
0.72420,1258.2
0.72422,1037.2
0.72424,816.2
0.72426,512.4
0.72428,291.4
0.72430,70.4
0.72432,-178.2
0.72434,-399.1
0.72436,-620.1
0.72438,-841.1
0.72440,-1034.4
0.72442,-1172.6
0.72444,-1393.5
0.72446,-1504.0
0.72448,-1697.4
0.72450,-1807.9
0.72452,-1946.0
0.72454,-2028.8
0.72456,-2139.3
0.72458,-2166.9
0.72460,-2249.8
0.72462,-2277.4
0.72464,-2277.4
0.72466,-2249.8
0.72468,-2166.9
0.72470,-2139.3
0.72472,-2028.8
0.72474,-1918.3
0.72476,-1807.9
0.72478,-1614.5
0.72480,-1504.0
0.72482,-1283.0
0.72484,-1144.9
0.72486,-951.6
0.72488,-730.6
0.72490,-592.5
0.72492,-371.5
0.72494,-150.5
0.72496,42.8
0.72498,180.9
0.72500,401.9
0.72502,622.9
0.72504,843.8
0.72506,1037.2
0.72508,1175.3
0.72510,1368.7
0.72512,1479.2
0.72514,1617.3
0.72516,1700.1
0.72518,1810.6
0.72520,1810.6
0.72522,1838.2
0.72524,1838.2
0.72526,1810.6
0.72528,1727.8
0.72530,1700.1
0.72532,1617.3
0.72534,1506.8
0.72536,1479.2
0.72538,1285.8
0.72540,1175.3
0.72542,1037.2
0.72544,843.8
0.72546,733.4
0.72548,595.3
0.72550,374.3
0.72552,180.9
0.72554,-40.1
0.72556,-261.0
0.72558,-399.1
0.72560,-620.1
0.72562,-813.5
0.72564,-979.2
0.72566,-1144.9
0.72568,-1255.4
0.72570,-1393.5
0.72572,-1476.4
0.72574,-1586.9
0.72576,-1614.5
0.72578,-1697.4
0.72580,-1697.4
0.72582,-1697.4
0.72584,-1697.4
0.72586,-1614.5
0.72588,-1586.9
0.72590,-1586.9
0.72592,-1476.4
0.72594,-1365.9
0.72596,-1255.4
0.72598,-1144.9
0.72600,-951.6
0.72602,-813.5
0.72604,-592.5
0.72606,-399.1
0.72608,-178.2
0.72610,-40.1
0.72612,180.9
0.72614,401.9
0.72616,622.9
0.72618,843.8
0.72620,1037.2
0.72622,1175.3
0.72624,1368.7
0.72626,1479.2
0.72628,1589.6
0.72630,1700.1
0.72632,1810.6
0.72634,1921.1
0.72636,1948.7
0.72638,2031.6
0.72640,2059.2
0.72642,2059.2
0.72644,2059.2
0.72646,2059.2
0.72648,2031.6
0.72650,1921.1
0.72652,1838.2
0.72654,1727.8
0.72656,1700.1
0.72658,1506.8
0.72660,1396.3
0.72662,1258.2
0.72664,1064.8
0.72666,843.8
0.72668,733.4
0.72670,512.4
0.72672,374.3
0.72674,153.3
0.72676,42.8
0.72678,-150.5
0.72680,-288.6
0.72682,-482.0
0.72684,-620.1
0.72686,-785.8
0.72688,-924.0
0.72690,-1034.4
0.72692,-1144.9
0.72694,-1172.6
0.72696,-1283.0
0.72698,-1365.9
0.72700,-1393.5
0.72702,-1393.5
0.72704,-1476.4
0.72706,-1476.4
0.72708,-1476.4
0.72710,-1393.5
0.72712,-1393.5
0.72714,-1365.9
0.72716,-1255.4
0.72718,-1172.6
0.72720,-1144.9
0.72722,-1034.4
0.72724,-924.0
0.72726,-813.5
0.72728,-703.0
0.72730,-592.5
0.72732,-482.0
0.72734,-371.5
0.72736,-178.2
0.72738,-67.7
0.72740,42.8
0.72742,153.3
0.72744,263.8
0.72746,401.9
0.72748,484.8
0.72750,595.3
0.72752,622.9
0.72754,733.4
0.72756,816.2
0.72758,843.8
0.72760,926.7
0.72762,954.3
0.72764,1037.2
0.72766,1037.2
0.72768,1064.8
0.72770,1064.8
0.72772,1064.8
0.72774,1064.8
0.72776,1037.2
0.72778,954.3
0.72780,926.7
0.72782,843.8
0.72784,816.2
0.72786,733.4
0.72788,622.9
0.72790,512.4
0.72792,484.8
0.72794,374.3
0.72796,291.4
0.72798,180.9
0.72800,70.4
0.72802,-40.1
0.72804,-67.7
0.72806,-150.5
0.72808,-261.0
0.72810,-371.5
0.72812,-399.1
0.72814,-509.6
0.72816,-509.6
0.72818,-620.1
0.72820,-703.0
0.72822,-730.6
0.72824,-813.5
0.72826,-813.5
0.72828,-841.1
0.72830,-924.0
0.72832,-924.0
0.72834,-924.0
0.72836,-924.0
0.72838,-924.0
0.72840,-924.0
0.72842,-924.0
0.72844,-924.0
0.72846,-841.1
0.72848,-841.1
0.72850,-813.5
0.72852,-813.5
0.72854,-730.6
0.72856,-703.0
0.72858,-675.4
0.72860,-592.5
0.72862,-509.6
0.72864,-482.0
0.72866,-399.1
0.72868,-371.5
0.72870,-261.0
0.72872,-178.2
0.72874,-67.7
0.72876,-40.1
0.72878,42.8
0.72880,70.4
0.72882,153.3
0.72884,180.9
0.72886,291.4
0.72888,374.3
0.72890,401.9
0.72892,484.8
0.72894,484.8
0.72896,512.4
0.72898,595.3
0.72900,622.9
0.72902,705.7
0.72904,705.7
0.72906,733.4
0.72908,733.4
0.72910,733.4
0.72912,733.4
0.72914,733.4
0.72916,733.4
0.72918,733.4
0.72920,733.4
0.72922,705.7
0.72924,622.9
0.72926,622.9
0.72928,595.3
0.72930,512.4
0.72932,484.8
0.72934,401.9
0.72936,374.3
0.72938,291.4
0.72940,263.8
0.72942,180.9
0.72944,153.3
0.72946,70.4
0.72948,42.8
0.72950,-40.1
0.72952,-67.7
0.72954,-150.5
0.72956,-178.2
0.72958,-261.0
0.72960,-288.6
0.72962,-371.5
0.72964,-399.1
0.72966,-482.0
0.72968,-509.6
0.72970,-509.6
0.72972,-592.5
0.72974,-592.5
0.72976,-620.1
0.72978,-620.1
0.72980,-620.1
0.72982,-703.0
0.72984,-675.4
0.72986,-703.0
0.72988,-703.0
0.72990,-703.0
0.72992,-703.0
0.72994,-620.1
0.72996,-620.1
0.72998,-620.1
0.73000,-620.1
0.73002,-620.1
0.73004,-592.5
0.73006,-509.6
0.73008,-509.6
0.73010,-482.0
0.73012,-482.0
0.73014,-399.1
0.73016,-371.5
0.73018,-288.6
0.73020,-261.0
0.73022,-261.0
0.73024,-150.5
0.73026,-95.3
0.73028,-40.1
0.73030,42.8
0.73032,70.4
0.73034,153.3
0.73036,180.9
0.73038,263.8
0.73040,374.3
0.73042,374.3
0.73044,401.9
0.73046,484.8
0.73048,512.4
0.73050,595.3
0.73052,595.3
0.73054,622.9
0.73056,622.9
0.73058,705.7
0.73060,705.7
0.73062,705.7
0.73064,705.7
0.73066,705.7
0.73068,705.7
0.73070,650.5
0.73072,622.9
0.73074,595.3
0.73076,595.3
0.73078,512.4
0.73080,484.8
0.73082,401.9
0.73084,374.3
0.73086,291.4
0.73088,291.4
0.73090,180.9
0.73092,153.3
0.73094,70.4
0.73096,42.8
0.73098,-40.1
0.73100,-67.7
0.73102,-150.5
0.73104,-178.2
0.73106,-261.0
0.73108,-288.6
0.73110,-316.3
0.73112,-371.5
0.73114,-399.1
0.73116,-482.0
0.73118,-482.0
0.73120,-509.6
0.73122,-592.5
0.73124,-592.5
0.73126,-592.5
0.73128,-620.1
0.73130,-620.1
0.73132,-620.1
0.73134,-620.1
0.73136,-592.5
0.73138,-620.1
0.73140,-620.1
0.73142,-592.5
0.73144,-592.5
0.73146,-592.5
0.73148,-537.2
0.73150,-509.6
0.73152,-482.0
0.73154,-482.0
0.73156,-399.1
0.73158,-371.5
0.73160,-371.5
0.73162,-288.6
0.73164,-261.0
0.73166,-178.2
0.73168,-178.2
0.73170,-67.7
0.73172,-67.7
0.73174,-40.1
0.73176,42.8
0.73178,70.4
0.73180,153.3
0.73182,180.9
0.73184,263.8
0.73186,263.8
0.73188,291.4
0.73190,291.4
0.73192,374.3
0.73194,374.3
0.73196,401.9
0.73198,484.8
0.73200,484.8
0.73202,512.4
0.73204,512.4
0.73206,512.4
0.73208,512.4
0.73210,512.4
0.73212,512.4
0.73214,512.4
0.73216,512.4
0.73218,484.8
0.73220,401.9
0.73222,401.9
0.73224,374.3
0.73226,374.3
0.73228,291.4
0.73230,263.8
0.73232,180.9
0.73234,153.3
0.73236,153.3
0.73238,70.4
0.73240,42.8
0.73242,-40.1
0.73244,-40.1
0.73246,-150.5
0.73248,-150.5
0.73250,-178.2
0.73252,-261.0
0.73254,-261.0
0.73256,-288.6
0.73258,-371.5
0.73260,-371.5
0.73262,-399.1
0.73264,-482.0
0.73266,-482.0
0.73268,-482.0
0.73270,-509.6
0.73272,-482.0
0.73274,-509.6
0.73276,-509.6
0.73278,-482.0
0.73280,-482.0
0.73282,-482.0
0.73284,-482.0
0.73286,-482.0
0.73288,-399.1
0.73290,-399.1
0.73292,-371.5
0.73294,-288.6
0.73296,-288.6
0.73298,-261.0
0.73300,-261.0
0.73302,-178.2
0.73304,-150.5
0.73306,-150.5
0.73308,-67.7
0.73310,-40.1
0.73312,42.8
0.73314,70.4
0.73316,70.4
0.73318,153.3
0.73320,180.9
0.73322,180.9
0.73324,263.8
0.73326,263.8
0.73328,291.4
0.73330,291.4
0.73332,374.3
0.73334,374.3
0.73336,374.3
0.73338,374.3
0.73340,374.3
0.73342,374.3
0.73344,374.3
0.73346,374.3
0.73348,374.3
0.73350,291.4
0.73352,291.4
0.73354,291.4
0.73356,263.8
0.73358,180.9
0.73360,180.9
0.73362,153.3
0.73364,153.3
0.73366,70.4
0.73368,70.4
0.73370,42.8
0.73372,-40.1
0.73374,-40.1
0.73376,-40.1
0.73378,-67.7
0.73380,-150.5
0.73382,-150.5
0.73384,-178.2
0.73386,-178.2
0.73388,-261.0
0.73390,-261.0
0.73392,-288.6
0.73394,-288.6
0.73396,-288.6
0.73398,-371.5
0.73400,-371.5
0.73402,-371.5
0.73404,-371.5
0.73406,-371.5
0.73408,-371.5
0.73410,-371.5
0.73412,-371.5
0.73414,-371.5
0.73416,-371.5
0.73418,-288.6
0.73420,-288.6
0.73422,-288.6
0.73424,-261.0
0.73426,-261.0
0.73428,-261.0
0.73430,-178.2
0.73432,-178.2
0.73434,-150.5
0.73436,-150.5
0.73438,-67.7
0.73440,-40.1
0.73442,-40.1
0.73444,-40.1
0.73446,42.8
0.73448,42.8
0.73450,42.8
0.73452,70.4
0.73454,70.4
0.73456,70.4
0.73458,153.3
0.73460,153.3
0.73462,153.3
0.73464,153.3
0.73466,180.9
0.73468,180.9
0.73470,180.9
0.73472,180.9
0.73474,263.8
0.73476,263.8
0.73478,180.9
0.73480,180.9
0.73482,180.9
0.73484,180.9
0.73486,180.9
0.73488,180.9
0.73490,153.3
0.73492,153.3
0.73494,153.3
0.73496,153.3
0.73498,70.4
0.73500,70.4
0.73502,70.4
0.73504,70.4
0.73506,42.8
0.73508,42.8
0.73510,-40.1
0.73512,-40.1
0.73514,-40.1
0.73516,-67.7
0.73518,-67.7
0.73520,-150.5
0.73522,-150.5
0.73524,-150.5
0.73526,-150.5
0.73528,-178.2
0.73530,-178.2
0.73532,-178.2
0.73534,-178.2
0.73536,-178.2
0.73538,-261.0
0.73540,-261.0
0.73542,-261.0
0.73544,-261.0
0.73546,-261.0
0.73548,-261.0
0.73550,-261.0
0.73552,-261.0
0.73554,-261.0
0.73556,-261.0
0.73558,-261.0
0.73560,-261.0
0.73562,-261.0
0.73564,-205.8
0.73566,-178.2
0.73568,-150.5
0.73570,-150.5
0.73572,-150.5
0.73574,-150.5
0.73576,-67.7
0.73578,-67.7
0.73580,-67.7
0.73582,-40.1
0.73584,-40.1
0.73586,-40.1
0.73588,-40.1
0.73590,-40.1
0.73592,-40.1
0.73594,42.8
0.73596,42.8
0.73598,42.8
0.73600,70.4
0.73602,70.4
0.73604,70.4
0.73606,98.1
0.73608,70.4
0.73610,153.3
0.73612,153.3
0.73614,153.3
0.73616,153.3
0.73618,153.3
0.73620,153.3
0.73622,153.3
0.73624,153.3
0.73626,153.3
0.73628,153.3
0.73630,153.3
0.73632,70.4
0.73634,70.4
0.73636,70.4
0.73638,70.4
0.73640,70.4
0.73642,42.8
0.73644,42.8
0.73646,42.8
