# Whack-O-Meter CSV Manager v1
# Original samples: 50000
# Samples/sec: 50000
# Prefix trimmed: 0.00000 - 0.72548 sec
# Suffix trimmed: 0.82748 - 0.99998 sec
# Event start: 0.72548 sec
# Event end: 0.82748 sec
# Baseline (N): 19.9
# Nickname: 6mm shoktec hi impact gell · 6.5kN peak · slow decay · run 2
Loadstar Sensors LV-1000HS-10K - Log File
Sensor:,Whackometer 2-0
Samples/Sec:,50000
Test started at (approx):,5/1/2024 7:38 PM
Peak(N):,6538.7
Low(N):,-2769.9
Time (sec),Reading (N) (Whackometer 2-0)
0.72548,19.9
0.72550,19.9
0.72552,19.9
0.72554,19.9
0.72556,19.9
0.72558,19.9
0.72560,19.9
0.72562,19.9
0.72564,19.9
0.72566,19.9
0.72568,19.9
0.72570,19.9
0.72572,19.9
0.72574,-63.0
0.72576,19.9
0.72578,19.9
0.72580,19.9
0.72582,19.9
0.72584,19.9
0.72586,19.9
0.72588,19.9
0.72590,19.9
0.72592,19.9
0.72594,19.9
0.72596,19.9
0.72598,19.9
0.72600,19.9
0.72602,19.9
0.72604,19.9
0.72606,19.9
0.72608,19.9
0.72610,19.9
0.72612,19.9
0.72614,19.9
0.72616,19.9
0.72618,19.9
0.72620,19.9
0.72622,19.9
0.72624,19.9
0.72626,19.9
0.72628,19.9
0.72630,19.9
0.72632,19.9
0.72634,19.9
0.72636,19.9
0.72638,19.9
0.72640,19.9
0.72642,19.9
0.72644,19.9
0.72646,19.9
0.72648,19.9
0.72650,19.9
0.72652,19.9
0.72654,19.9
0.72656,19.9
0.72658,19.9
0.72660,19.9
0.72662,19.9
0.72664,19.9
0.72666,19.9
0.72668,19.9
0.72670,19.9
0.72672,19.9
0.72674,19.9
0.72676,19.9
0.72678,19.9
0.72680,19.9
0.72682,19.9
0.72684,19.9
0.72686,19.9
0.72688,19.9
0.72690,19.9
0.72692,19.9
0.72694,19.9
0.72696,19.9
0.72698,19.9
0.72700,19.9
0.72702,19.9
0.72704,19.9
0.72706,19.9
0.72708,47.5
