# Whack-O-Meter CSV Manager v1
# Original samples: 50000
# Samples/sec: 50000
# Prefix trimmed: 0.00000 - 0.71560 sec
# Suffix trimmed: 0.80874 - 0.99998 sec
# Event start: 0.71560 sec
# Event end: 0.80874 sec
# Baseline (N): 16.8
# Nickname: 6mm shoktec hi impact gell · 6.2kN peak · slow decay
Loadstar Sensors LV-1000HS-10K - Log File
Sensor:,Whackometer 2-0
Samples/Sec:,50000
Test started at (approx):,5/1/2024 7:39 PM
Peak(N):,6204.2
Low(N):,-2054.8
Time (sec),Reading (N) (Whackometer 2-0)
0.71560,16.8
0.71562,16.8
0.71564,16.8
0.71566,16.8
0.71568,16.8
0.71570,16.8
0.71572,16.8
0.71574,16.8
0.71576,16.8
0.71578,16.8
0.71580,16.8
0.71582,16.8
0.71584,16.8
0.71586,16.8
0.71588,16.8
0.71590,16.8
0.71592,16.8
0.71594,16.8
0.71596,16.8
0.71598,16.8
0.71600,16.8
0.71602,16.8
0.71604,16.8
0.71606,16.8
0.71608,16.8
0.71610,16.8
0.71612,16.8
0.71614,16.8
0.71616,16.8
0.71618,16.8
0.71620,16.8
0.71622,16.8
0.71624,16.8
0.71626,-10.8
0.71628,16.8
0.71630,16.8
0.71632,16.8
0.71634,16.8
0.71636,16.8
0.71638,16.8
0.71640,16.8
0.71642,16.8
0.71644,16.8
0.71646,16.8
0.71648,16.8
0.71650,16.8
0.71652,16.8
0.71654,16.8
0.71656,16.8
0.71658,16.8
0.71660,16.8
0.71662,16.8
0.71664,16.8
0.71666,16.8
0.71668,16.8
0.71670,16.8
0.71672,16.8
0.71674,16.8
0.71676,16.8
0.71678,16.8
0.71680,16.8
0.71682,16.8
0.71684,16.8
0.71686,16.8
0.71688,16.8
0.71690,16.8
0.71692,16.8
0.71694,16.8
0.71696,44.5
0.71698,44.5
0.71700,44.5
0.71702,44.5
0.71704,44.5
0.71706,44.5
0.71708,44.5
0.71710,44.5
0.71712,127.3
0.71714,127.3
0.71716,127.3
0.71718,127.3
0.71720,127.3
0.71722,155.0
0.71724,155.0
0.71726,155.0
0.71728,237.8
0.71730,237.8
0.71732,237.8
0.71734,265.4
0.71736,265.4
0.71738,348.3
0.71740,375.9
0.71742,375.9
0.71744,375.9
0.71746,458.8
0.71748,486.4
0.71750,569.3
0.71752,569.3
0.71754,679.8
0.71756,707.4
0.71758,817.9
0.71760,900.8
0.71762,1011.2
0.71764,1149.3
0.71766,1259.8
0.71768,1508.4
0.71770,1784.7
0.71772,2005.6
0.71774,2337.1
0.71776,2585.7
0.71778,2917.2
0.71780,3221.0
0.71782,3552.5
0.71784,3911.5
0.71786,4215.4
0.71788,4464.0
0.71790,4657.3
0.71792,4767.8
0.71794,4878.3
0.71796,4988.8
0.71798,4988.8
0.71800,5016.4
0.71802,5016.4
0.71804,5016.4
0.71806,5016.4
0.71808,5099.3
0.71810,5209.8
0.71812,5320.3
0.71814,5541.2
0.71816,5762.2
0.71818,5983.2
0.71820,6121.3
0.71822,6204.2
0.71824,6204.2
0.71826,6204.2
0.71828,6093.7
0.71830,5900.3
0.71832,5679.3
0.71834,5430.7
0.71836,5099.3
0.71838,4685.0
0.71840,4325.9
0.71842,3994.4
0.71844,3690.6
0.71846,3469.6
0.71848,3359.1
0.71850,3331.5
0.71852,3248.6
0.71854,3138.1
0.71856,3110.5
0.71858,3027.6
0.71860,3027.6
0.71862,2917.2
0.71864,2779.0
0.71866,2668.6
0.71868,2558.1
0.71870,2337.1
0.71872,2143.7
0.71874,2005.6
0.71876,1895.1
0.71878,1784.7
0.71880,1701.8
0.71882,1701.8
0.71884,1784.7
0.71886,1812.3
0.71888,1922.8
0.71890,2116.1
0.71892,2254.2
0.71894,2447.6
0.71896,2585.7
0.71898,2696.2
0.71900,2806.7
0.71902,2806.7
0.71904,2806.7
0.71906,2806.7
0.71908,2779.0
0.71910,2751.4
0.71912,2668.6
0.71914,2668.6
0.71916,2585.7
0.71918,2585.7
0.71920,2558.1
0.71922,2585.7
0.71924,2668.6
0.71926,2668.6
0.71928,2696.2
0.71930,2779.0
0.71932,2668.6
0.71934,2585.7
0.71936,2475.2
0.71938,2364.7
0.71940,2143.7
0.71942,1922.8
0.71944,1701.8
0.71946,1480.8
0.71948,1232.2
0.71950,1011.2
0.71952,817.9
0.71954,679.8
0.71956,486.4
0.71958,375.9
0.71960,293.1
0.71962,155.0
0.71964,44.5
0.71966,-66.0
0.71968,-176.5
0.71970,-287.0
0.71972,-397.5
0.71974,-535.6
0.71976,-728.9
0.71978,-949.9
0.71980,-1088.0
0.71982,-1281.4
0.71984,-1419.5
0.71986,-1612.8
0.71988,-1723.3
0.71990,-1751.0
0.71992,-1833.8
0.71994,-1944.3
0.71996,-1971.9
0.71998,-2054.8
0.72000,-1971.9
0.72002,-1971.9
0.72004,-1971.9
0.72006,-1944.3
0.72008,-1861.4
0.72010,-1889.1
0.72012,-1944.3
0.72014,-1944.3
0.72016,-1944.3
0.72018,-1861.4
0.72020,-1833.8
0.72022,-1723.3
0.72024,-1640.5
0.72026,-1530.0
0.72028,-1419.5
0.72030,-1309.0
0.72032,-1198.5
0.72034,-1088.0
0.72036,-977.5
0.72038,-839.4
0.72040,-646.1
0.72042,-535.6
0.72044,-397.5
0.72046,-287.0
0.72048,-176.5
0.72050,-66.0
0.72052,44.5
0.72054,155.0
0.72056,265.4
0.72058,348.3
0.72060,458.8
0.72062,569.3
0.72064,596.9
0.72066,707.4
0.72068,817.9
0.72070,928.4
0.72072,1038.9
0.72074,1149.3
0.72076,1259.8
0.72078,1342.7
0.72080,1453.2
0.72082,1480.8
0.72084,1563.7
0.72086,1591.3
0.72088,1591.3
0.72090,1591.3
0.72092,1591.3
0.72094,1563.7
0.72096,1480.8
0.72098,1453.2
0.72100,1453.2
0.72102,1370.3
0.72104,1259.8
0.72106,1232.2
0.72108,1121.7
0.72110,1038.9
0.72112,928.4
0.72114,817.9
0.72116,790.3
0.72118,707.4
0.72120,707.4
0.72122,679.8
0.72124,569.3
0.72126,486.4
0.72128,375.9
0.72130,237.8
0.72132,127.3
0.72134,-66.0
0.72136,-204.1
0.72138,-314.6
0.72140,-397.5
0.72142,-425.1
0.72144,-508.0
0.72146,-535.6
0.72148,-618.5
0.72150,-646.1
0.72152,-756.6
0.72154,-839.4
0.72156,-949.9
0.72158,-977.5
0.72160,-1060.4
0.72162,-1088.0
0.72164,-1115.6
0.72166,-1170.9
0.72168,-1281.4
0.72170,-1309.0
0.72172,-1391.9
0.72174,-1419.5
0.72176,-1419.5
0.72178,-1419.5
0.72180,-1391.9
0.72182,-1391.9
0.72184,-1309.0
0.72186,-1281.4
0.72188,-1198.5
0.72190,-1170.9
0.72192,-1088.0
0.72194,-1060.4
0.72196,-949.9
0.72198,-867.1
0.72200,-756.6
0.72202,-756.6
0.72204,-728.9
0.72206,-618.5
0.72208,-618.5
0.72210,-535.6
0.72212,-508.0
0.72214,-425.1
0.72216,-397.5
0.72218,-287.0
0.72220,-176.5
0.72222,-121.3
0.72224,-66.0
0.72226,16.8
0.72228,44.5
0.72230,127.3
0.72232,155.0
0.72234,237.8
0.72236,265.4
0.72238,348.3
0.72240,348.3
0.72242,375.9
0.72244,375.9
0.72246,458.8
0.72248,486.4
0.72250,569.3
0.72252,569.3
0.72254,596.9
0.72256,679.8
0.72258,707.4
0.72260,790.3
0.72262,790.3
0.72264,817.9
0.72266,817.9
0.72268,900.8
0.72270,900.8
0.72272,900.8
0.72274,900.8
0.72276,900.8
0.72278,817.9
0.72280,817.9
0.72282,817.9
0.72284,762.6
0.72286,790.3
0.72288,707.4
0.72290,679.8
0.72292,596.9
0.72294,596.9
0.72296,569.3
0.72298,569.3
0.72300,486.4
0.72302,486.4
0.72304,458.8
0.72306,458.8
0.72308,375.9
0.72310,348.3
0.72312,265.4
0.72314,155.0
0.72316,127.3
0.72318,44.5
0.72320,16.8
0.72322,-66.0
0.72324,-93.6
0.72326,-93.6
0.72328,-176.5
0.72330,-204.1
0.72332,-287.0
0.72334,-342.2
0.72336,-397.5
0.72338,-397.5
0.72340,-508.0
0.72342,-508.0
0.72344,-535.6
0.72346,-535.6
0.72348,-618.5
0.72350,-646.1
0.72352,-728.9
0.72354,-756.6
0.72356,-756.6
0.72358,-839.4
0.72360,-867.1
0.72362,-949.9
0.72364,-949.9
0.72366,-949.9
0.72368,-949.9
0.72370,-949.9
0.72372,-867.1
0.72374,-867.1
0.72376,-839.4
0.72378,-839.4
0.72380,-756.6
