Loadstar Sensors LV-1000HS-10K - Log File
Sensor:,Whackometer 2-0
Samples/Sec:,50000
Test started at (approx):,5/1/2024 7:40 PM
Peak(N):,41.7
Low(N):,-68.8
Time (sec),Reading (N) (Whackometer 2-0)
0.00000,14.1
0.00002,14.1
0.00004,14.1
0.00006,14.1
0.00008,14.1
0.00010,14.1
0.00012,14.1
0.00014,14.1
0.00016,14.1
0.00018,14.1
0.00020,14.1
0.00022,14.1
0.00024,14.1
0.00026,14.1
0.00028,14.1
0.00030,14.1
0.00032,14.1
0.00034,14.1
0.00036,14.1
0.00038,14.1
0.00040,14.1
0.00042,14.1
0.00044,14.1
0.00046,14.1
0.00048,14.1
0.00050,14.1
0.00052,14.1
0.00054,14.1
0.00056,14.1
0.00058,14.1
0.00060,14.1
0.00062,14.1
0.00064,14.1
0.00066,14.1
0.00068,14.1
0.00070,14.1
0.00072,14.1
0.00074,14.1
0.00076,14.1
0.00078,41.7
0.00080,14.1
0.00082,14.1
0.00084,14.1
0.00086,14.1
0.00088,14.1
0.00090,14.1
0.00092,14.1
0.00094,14.1
0.00096,14.1
0.00098,14.1
0.00100,14.1
0.00102,14.1
0.00104,14.1
0.00106,14.1
0.00108,14.1
0.00110,14.1
0.00112,14.1
0.00114,14.1
0.00116,14.1
0.00118,14.1
0.00120,14.1
0.00122,14.1
0.00124,14.1
0.00126,14.1
0.00128,14.1
0.00130,14.1
0.00132,14.1
0.00134,14.1
0.00136,14.1
0.00138,14.1
0.00140,14.1
0.00142,14.1
0.00144,14.1
0.00146,14.1
0.00148,14.1
0.00150,14.1
0.00152,14.1
0.00154,14.1
0.00156,14.1
0.00158,14.1
0.00160,14.1
0.00162,14.1
0.00164,14.1
0.00166,14.1
0.00168,14.1
0.00170,14.1
0.00172,14.1
0.00174,14.1
0.00176,14.1
0.00178,14.1
0.00180,14.1
0.00182,14.1
0.00184,14.1
0.00186,14.1
0.00188,-13.5
0.00190,14.1
0.00192,14.1
0.00194,14.1
0.00196,14.1
0.00198,14.1
0.00200,14.1
0.00202,14.1
0.00204,14.1
0.00206,14.1
0.00208,14.1
0.00210,14.1
0.00212,14.1
0.00214,14.1
0.00216,-68.8
0.00218,14.1
0.00220,14.1
0.00222,14.1
0.00224,14.1
0.00226,14.1
0.00228,14.1
0.00230,14.1
0.00232,14.1
0.00234,14.1
0.00236,14.1
0.00238,14.1
0.00240,14.1
0.00242,14.1
0.00244,14.1
0.00246,14.1
0.00248,14.1
0.00250,14.1
0.00252,14.1
0.00254,14.1
0.00256,14.1
0.00258,14.1
0.00260,14.1
0.00262,14.1
0.00264,14.1
0.00266,14.1
0.00268,14.1
0.00270,14.1
0.00272,14.1
0.00274,14.1
0.00276,14.1
0.00278,14.1
0.00280,14.1
0.00282,14.1
0.00284,14.1
0.00286,14.1
0.00288,14.1
0.00290,14.1
0.00292,14.1
0.00294,14.1
0.00296,14.1
0.00298,14.1
0.00300,14.1
0.00302,14.1
0.00304,14.1
0.00306,14.1
0.00308,14.1
0.00310,14.1
0.00312,14.1
0.00314,14.1
0.00316,14.1
0.00318,14.1
0.00320,14.1
0.00322,14.1
0.00324,14.1
0.00326,14.1
0.00328,14.1
0.00330,14.1
0.00332,14.1
0.00334,14.1
0.00336,14.1
0.00338,14.1
0.00340,41.7
0.00342,14.1
0.00344,14.1
0.00346,14.1
0.00348,14.1
0.00350,14.1
0.00352,14.1
0.00354,14.1
0.00356,14.1
0.00358,14.1
0.00360,14.1
0.00362,14.1
0.00364,14.1
0.00366,14.1
0.00368,14.1
0.00370,14.1
0.00372,14.1
0.00374,14.1
0.00376,14.1
0.00378,14.1
0.00380,14.1
0.00382,14.1
0.00384,14.1
0.00386,14.1
0.00388,14.1
0.00390,14.1
0.00392,14.1
0.00394,14.1
0.00396,14.1
0.00398,14.1
0.00400,14.1
0.00402,14.1
0.00404,14.1
0.00406,14.1
0.00408,14.1
0.00410,14.1
0.00412,14.1
0.00414,14.1
0.00416,14.1
0.00418,14.1
0.00420,14.1
0.00422,14.1
0.00424,14.1
0.00426,14.1
0.00428,14.1
0.00430,14.1
0.00432,14.1
0.00434,14.1
0.00436,14.1
0.00438,14.1
0.00440,14.1
0.00442,14.1
0.00444,14.1
0.00446,14.1
0.00448,14.1
0.00450,14.1
0.00452,14.1
0.00454,14.1
0.00456,14.1
0.00458,14.1
0.00460,14.1
0.00462,14.1
0.00464,14.1
0.00466,14.1
0.00468,14.1
0.00470,14.1
0.00472,14.1
0.00474,14.1
0.00476,14.1
0.00478,14.1
0.00480,14.1
0.00482,14.1
0.00484,14.1
0.00486,14.1
0.00488,14.1
0.00490,14.1
0.00492,14.1
0.00494,-13.5
0.00496,14.1
0.00498,14.1
0.00500,14.1
0.00502,14.1
0.00504,14.1
0.00506,14.1
0.00508,14.1
0.00510,14.1
0.00512,14.1
0.00514,14.1
0.00516,14.1
0.00518,14.1
0.00520,14.1
0.00522,14.1
0.00524,14.1
0.00526,14.1
0.00528,14.1
0.00530,14.1
0.00532,14.1
0.00534,14.1
0.00536,14.1
0.00538,14.1
0.00540,14.1
0.00542,14.1
0.00544,-13.5
0.00546,14.1
0.00548,14.1
0.00550,14.1
0.00552,14.1
0.00554,14.1
0.00556,14.1
0.00558,14.1
0.00560,14.1
0.00562,14.1
0.00564,14.1
0.00566,14.1
0.00568,14.1
0.00570,14.1
0.00572,14.1
0.00574,14.1
0.00576,14.1
0.00578,14.1
0.00580,14.1
0.00582,14.1
0.00584,14.1
0.00586,14.1
0.00588,14.1
0.00590,14.1
0.00592,14.1
0.00594,14.1
0.00596,14.1
0.00598,14.1
0.00600,14.1
0.00602,14.1
0.00604,14.1
0.00606,14.1
0.00608,14.1
0.00610,14.1
0.00612,14.1
0.00614,14.1
0.00616,14.1
0.00618,14.1
0.00620,14.1
0.00622,14.1
0.00624,14.1
0.00626,14.1
0.00628,14.1
0.00630,14.1
0.00632,14.1
0.00634,14.1
0.00636,14.1
0.00638,14.1
0.00640,14.1
0.00642,14.1
0.00644,14.1
0.00646,14.1
0.00648,-13.5
0.00650,14.1
0.00652,14.1
0.00654,14.1
0.00656,14.1
0.00658,14.1
0.00660,14.1
0.00662,14.1
0.00664,14.1
0.00666,14.1
0.00668,14.1
0.00670,14.1
0.00672,14.1
0.00674,14.1
0.00676,14.1
0.00678,14.1
0.00680,14.1
0.00682,14.1
0.00684,14.1
0.00686,14.1
0.00688,14.1
0.00690,14.1
0.00692,14.1
0.00694,14.1
0.00696,-13.5
0.00698,14.1
0.00700,14.1
0.00702,14.1
0.00704,14.1
0.00706,14.1
0.00708,14.1
0.00710,14.1
0.00712,14.1
0.00714,14.1
0.00716,14.1
0.00718,14.1
0.00720,14.1
0.00722,14.1
0.00724,14.1
0.00726,14.1
0.00728,14.1
0.00730,14.1
0.00732,14.1
0.00734,14.1
0.00736,14.1
0.00738,14.1
0.00740,14.1
0.00742,14.1
0.00744,14.1
0.00746,14.1
0.00748,14.1
0.00750,14.1
0.00752,14.1
0.00754,14.1
0.00756,14.1
0.00758,14.1
0.00760,14.1
0.00762,14.1
0.00764,14.1
0.00766,14.1
0.00768,14.1
0.00770,14.1
0.00772,14.1
0.00774,14.1
0.00776,14.1
0.00778,14.1
0.00780,14.1
0.00782,14.1
0.00784,14.1
0.00786,14.1
0.00788,14.1
0.00790,14.1
0.00792,14.1
0.00794,14.1
0.00796,14.1
0.00798,14.1
0.00800,14.1
0.00802,14.1
0.00804,14.1
0.00806,14.1
0.00808,14.1
0.00810,14.1
0.00812,14.1
0.00814,14.1
0.00816,14.1
0.00818,14.1
0.00820,14.1
0.00822,14.1
0.00824,14.1
0.00826,14.1
0.00828,14.1
0.00830,14.1
0.00832,14.1
0.00834,14.1
0.00836,14.1
0.00838,14.1
0.00840,14.1
