# Whack-O-Meter CSV Manager v1
# Original samples: 50000
# Samples/sec: 50000
# Prefix trimmed: 0.00000 - 0.71258 sec
# Suffix trimmed: 0.82234 - 0.99998 sec
# Event start: 0.71258 sec
# Event end: 0.82234 sec
# Baseline (N): 2.8
# Nickname: 6mmeva · 11.1kN peak · slow decay · run 2
Loadstar Sensors LV-1000HS-10K - Log File
Sensor:,Whackometer 2-0
Samples/Sec:,50000
Test started at (approx):,5/1/2024 7:15 PM
Peak(N):,11051.5
Low(N):,-3173.8
Time (sec),Reading (N) (Whackometer 2-0)
0.71258,2.8
0.71260,2.8
0.71262,2.8
0.71264,2.8
0.71266,30.4
0.71268,2.8
0.71270,2.8
0.71272,30.4
0.71274,2.8
0.71276,30.4
0.71278,2.8
0.71280,2.8
0.71282,2.8
0.71284,2.8
0.71286,2.8
0.71288,2.8
0.71290,2.8
0.71292,2.8
0.71294,30.4
0.71296,30.4
0.71298,2.8
0.71300,30.4
0.71302,2.8
0.71304,30.4
0.71306,30.4
0.71308,30.4
0.71310,2.8
0.71312,30.4
0.71314,2.8
0.71316,30.4
0.71318,2.8
0.71320,30.4
0.71322,2.8
0.71324,2.8
0.71326,30.4
0.71328,30.4
0.71330,2.8
0.71332,30.4
0.71334,2.8
0.71336,2.8
0.71338,2.8
0.71340,2.8
0.71342,2.8
0.71344,2.8
0.71346,2.8
0.71348,2.8
0.71350,2.8
0.71352,2.8
0.71354,2.8
0.71356,2.8
0.71358,30.4
0.71360,30.4
0.71362,2.8
0.71364,30.4
0.71366,30.4
0.71368,30.4
0.71370,2.8
0.71372,2.8
0.71374,2.8
0.71376,2.8
0.71378,30.4
0.71380,2.8
0.71382,2.8
0.71384,2.8
0.71386,30.4
0.71388,30.4
0.71390,30.4
0.71392,30.4
0.71394,2.8
0.71396,2.8
0.71398,2.8
0.71400,2.8
0.71402,2.8
0.71404,2.8
0.71406,30.4
0.71408,2.8
0.71410,30.4
0.71412,30.4
0.71414,30.4
0.71416,30.4
0.71418,30.4
0.71420,30.4
0.71422,30.4
0.71424,30.4
0.71426,30.4
0.71428,30.4
0.71430,30.4
0.71432,30.4
0.71434,30.4
0.71436,113.2
0.71438,113.2
0.71440,30.4
0.71442,113.2
0.71444,113.2
0.71446,113.2
0.71448,113.2
0.71450,113.2
0.71452,113.2
0.71454,113.2
0.71456,140.9
0.71458,140.9
0.71460,168.5
0.71462,140.9
0.71464,251.4
0.71466,555.2
0.71468,1024.8
0.71470,1770.6
0.71472,2654.5
0.71474,3538.4
0.71476,4090.8
0.71478,4422.3
0.71480,4864.2
0.71482,5112.8
0.71484,5002.3
0.71486,4781.4
0.71488,4449.9
0.71490,4007.9
0.71492,3455.5
0.71494,3013.6
0.71496,2792.6
0.71498,3234.5
0.71500,3897.5
0.71502,4670.9
0.71504,5996.7
0.71506,7405.4
0.71508,8510.3
0.71510,9504.7
0.71512,10526.7
0.71514,11051.5
0.71516,10858.2
0.71518,10526.7
0.71520,9946.7
0.71522,8952.3
0.71524,7709.3
0.71526,6632.0
0.71528,5527.1
0.71530,4532.8
0.71532,3566.0
0.71534,2903.1
0.71536,2544.0
0.71538,2792.6
0.71540,3317.4
0.71542,3566.0
0.71544,3648.9
0.71546,4201.3
0.71548,4560.4
0.71550,4532.8
0.71552,4201.3
0.71554,3648.9
0.71556,3013.6
0.71558,2323.0
0.71560,1135.3
0.71562,140.9
0.71564,-80.1
0.71566,-190.6
0.71568,-743.0
0.71570,-660.2
0.71572,-107.7
0.71574,140.9
0.71576,334.2
0.71578,472.3
0.71580,914.3
0.71582,1245.7
0.71584,1660.1
0.71586,1881.1
0.71588,2240.1
0.71590,2433.5
0.71592,2433.5
0.71594,2212.5
0.71596,1908.7
0.71598,1660.1
0.71600,1466.7
0.71602,1328.6
0.71604,997.2
0.71606,582.8
0.71608,665.7
0.71610,914.3
0.71612,1135.3
0.71614,1466.7
0.71616,1908.7
0.71618,2682.1
0.71620,3455.5
0.71622,3787.0
0.71624,4090.8
0.71626,4449.9
0.71628,4781.4
0.71630,4560.4
0.71632,4007.9
0.71634,3538.4
0.71636,2903.1
0.71638,2323.0
0.71640,1577.2
0.71642,1024.8
0.71644,582.8
0.71646,665.7
0.71648,803.8
0.71650,914.3
0.71652,1080.0
0.71654,1245.7
0.71656,1328.6
0.71658,1466.7
0.71660,1660.1
0.71662,1356.2
0.71664,1107.6
0.71666,886.7
0.71668,361.8
0.71670,-218.2
0.71672,-770.7
0.71674,-1102.1
0.71676,-1516.4
0.71678,-1958.4
0.71680,-2289.9
0.71682,-2510.8
0.71684,-2621.3
0.71686,-2538.5
0.71688,-2428.0
0.71690,-2289.9
0.71692,-2207.0
0.71694,-2289.9
0.71696,-2289.9
0.71698,-2096.5
0.71700,-2068.9
0.71702,-2207.0
0.71704,-2207.0
0.71706,-2317.5
0.71708,-2538.5
0.71710,-2759.4
0.71712,-2980.4
0.71714,-3035.6
0.71716,-3173.8
0.71718,-3090.9
0.71720,-2952.8
0.71722,-2648.9
0.71724,-2510.8
0.71726,-2317.5
0.71728,-1875.5
0.71730,-1295.5
0.71732,-853.5
0.71734,-522.1
0.71736,-107.7
0.71738,444.7
0.71740,803.8
0.71742,803.8
0.71744,886.7
0.71746,997.2
0.71748,1024.8
0.71750,1024.8
0.71752,886.7
0.71754,914.3
0.71756,1135.3
0.71758,1328.6
0.71760,1466.7
0.71762,1770.6
0.71764,2212.5
0.71766,2654.5
0.71768,2985.9
0.71770,3206.9
0.71772,3455.5
0.71774,3566.0
0.71776,3345.0
0.71778,3124.0
0.71780,2903.1
0.71782,2544.0
0.71784,2019.2
0.71786,1577.2
0.71788,1245.7
0.71790,997.2
0.71792,776.2
0.71794,472.3
0.71796,361.8
0.71798,251.4
0.71800,113.2
0.71802,2.8
0.71804,-80.1
0.71806,-107.7
0.71808,-301.1
0.71810,-439.2
0.71812,-632.5
