Loadstar Sensors LV-1000HS-10K - Log File
Sensor:,Whackometer 2-0
Samples/Sec:,50000
Test started at (approx):,5/1/2024 7:16 PM
Peak(N):,10488.6
Low(N):,-3653.8
Time (sec),Reading (N) (Whackometer 2-0)
0.00000,-7.7
0.00002,-7.7
0.00004,19.9
0.00006,-7.7
0.00008,-7.7
0.00010,19.9
0.00012,-7.7
0.00014,-7.7
0.00016,19.9
0.00018,19.9
0.00020,19.9
0.00022,19.9
0.00024,-7.7
0.00026,-7.7
0.00028,-7.7
0.00030,19.9
0.00032,19.9
0.00034,19.9
0.00036,19.9
0.00038,19.9
0.00040,-7.7
0.00042,-7.7
0.00044,-7.7
0.00046,-7.7
0.00048,19.9
0.00050,-7.7
0.00052,-7.7
0.00054,-7.7
0.00056,-7.7
0.00058,-7.7
0.00060,19.9
0.00062,-7.7
0.00064,-7.7
0.00066,-7.7
0.00068,19.9
0.00070,-7.7
0.00072,-7.7
0.00074,-7.7
0.00076,-7.7
0.00078,-7.7
0.00080,19.9
0.00082,-7.7
0.00084,19.9
0.00086,19.9
0.00088,19.9
0.00090,-7.7
0.00092,-7.7
0.00094,19.9
0.00096,-7.7
0.00098,19.9
0.00100,-7.7
0.00102,-7.7
0.00104,19.9
0.00106,-7.7
0.00108,-7.7
0.00110,-7.7
0.00112,-7.7
0.00114,-7.7
0.00116,-7.7
0.00118,19.9
0.00120,19.9
0.00122,-7.7
0.00124,-7.7
0.00126,-7.7
0.00128,19.9
0.00130,-7.7
0.00132,19.9
0.00134,19.9
0.00136,-7.7
0.00138,19.9
0.00140,19.9
0.00142,-7.7
0.00144,19.9
0.00146,-7.7
0.00148,19.9
0.00150,-7.7
0.00152,-7.7
0.00154,-7.7
0.00156,19.9
0.00158,19.9
0.00160,-7.7
0.00162,-7.7
0.00164,-7.7
0.00166,-7.7
0.00168,-7.7
0.00170,19.9
0.00172,19.9
0.00174,-7.7
0.00176,-7.7
0.00178,-7.7
0.00180,-7.7
0.00182,19.9
0.00184,19.9
0.00186,19.9
0.00188,19.9
0.00190,19.9
0.00192,19.9
0.00194,19.9
0.00196,19.9
0.00198,19.9
0.00200,19.9
0.00202,-7.7
0.00204,19.9
0.00206,19.9
0.00208,-7.7
0.00210,-7.7
0.00212,-7.7
0.00214,-7.7
0.00216,-7.7
0.00218,19.9
0.00220,19.9
0.00222,-7.7
0.00224,-7.7
0.00226,-7.7
0.00228,19.9
0.00230,19.9
0.00232,-7.7
0.00234,-7.7
0.00236,19.9
0.00238,19.9
0.00240,-7.7
0.00242,19.9
0.00244,19.9
0.00246,-7.7
0.00248,19.9
0.00250,19.9
0.00252,-7.7
0.00254,-7.7
0.00256,19.9
0.00258,19.9
0.00260,19.9
0.00262,19.9
0.00264,19.9
0.00266,19.9
0.00268,19.9
0.00270,19.9
0.00272,-7.7
0.00274,19.9
0.00276,19.9
0.00278,-7.7
0.00280,19.9
0.00282,-7.7
0.00284,-7.7
0.00286,19.9
0.00288,19.9
0.00290,19.9
0.00292,-7.7
0.00294,19.9
0.00296,19.9
0.00298,19.9
0.00300,-7.7
0.00302,-7.7
0.00304,-7.7
0.00306,-7.7
0.00308,19.9
0.00310,-7.7
0.00312,-7.7
0.00314,-7.7
0.00316,-7.7
0.00318,19.9
0.00320,-7.7
0.00322,-7.7
0.00324,19.9
0.00326,19.9
0.00328,-7.7
0.00330,-7.7
