# Whack-O-Meter CSV Manager v1
# Original samples: 50000
# Samples/sec: 50000
# Prefix trimmed: 0.00000 - 0.69446 sec
# Suffix trimmed: 0.78396 - 0.99998 sec
# Event start: 0.69446 sec
# Event end: 0.78396 sec
# Baseline (N): 21.8
# Nickname: 6mmeva · 11.0kN peak · slow decay
Loadstar Sensors LV-1000HS-10K - Log File
Sensor:,Whackometer 2-0
Samples/Sec:,50000
Test started at (approx):,5/1/2024 7:20 PM
Peak(N):,10960.1
Low(N):,-2077.4
Time (sec),Reading (N) (Whackometer 2-0)
0.69446,-5.8
0.69448,21.8
0.69450,-5.8
0.69452,21.8
0.69454,21.8
0.69456,21.8
0.69458,21.8
0.69460,21.8
0.69462,21.8
0.69464,21.8
0.69466,21.8
0.69468,-5.8
0.69470,21.8
0.69472,21.8
0.69474,21.8
0.69476,21.8
0.69478,21.8
0.69480,21.8
0.69482,21.8
0.69484,-5.8
0.69486,21.8
0.69488,21.8
0.69490,21.8
0.69492,21.8
0.69494,-5.8
0.69496,-5.8
0.69498,21.8
0.69500,21.8
0.69502,21.8
0.69504,21.8
0.69506,21.8
0.69508,21.8
0.69510,21.8
0.69512,21.8
0.69514,21.8
0.69516,21.8
0.69518,21.8
0.69520,21.8
0.69522,21.8
0.69524,-5.8
0.69526,-5.8
0.69528,-5.8
0.69530,21.8
0.69532,-5.8
0.69534,21.8
0.69536,21.8
0.69538,21.8
0.69540,21.8
0.69542,21.8
0.69544,21.8
0.69546,21.8
0.69548,21.8
0.69550,21.8
0.69552,21.8
0.69554,21.8
0.69556,21.8
0.69558,21.8
0.69560,21.8
0.69562,21.8
0.69564,21.8
0.69566,21.8
0.69568,21.8
0.69570,21.8
0.69572,21.8
0.69574,21.8
0.69576,21.8
0.69578,21.8
0.69580,21.8
0.69582,21.8
0.69584,21.8
0.69586,21.8
0.69588,21.8
0.69590,21.8
0.69592,21.8
0.69594,21.8
0.69596,21.8
0.69598,21.8
0.69600,21.8
0.69602,21.8
0.69604,21.8
0.69606,21.8
0.69608,21.8
0.69610,21.8
0.69612,21.8
0.69614,104.7
0.69616,353.3
0.69618,988.6
0.69620,1789.6
0.69622,2563.0
0.69624,3308.8
0.69626,3861.3
0.69628,4220.4
0.69630,4524.2
0.69632,4662.3
0.69634,4772.8
0.69636,4634.7
0.69638,4330.8
0.69640,4109.9
0.69642,3999.4
0.69644,3999.4
0.69646,4468.9
0.69648,5518.6
0.69650,6623.5
0.69652,7535.0
0.69654,8391.3
0.69656,9192.3
0.69658,9965.7
0.69660,10407.7
0.69662,10711.5
0.69664,10960.1
0.69666,10932.5
0.69668,10380.0
0.69670,9413.3
0.69672,8418.9
0.69674,7396.9
0.69676,6513.0
0.69678,5767.2
0.69680,5656.7
0.69682,5518.6
0.69684,5297.6
0.69686,5214.7
0.69688,5297.6
0.69690,5214.7
0.69692,5104.3
0.69694,5297.6
0.69696,5435.7
0.69698,5214.7
0.69700,4772.8
0.69702,4303.2
0.69704,3557.4
0.69706,2949.7
0.69708,2535.4
0.69710,2424.9
0.69712,2314.4
0.69714,2342.1
0.69716,2231.6
0.69718,2010.6
0.69720,1651.5
0.69722,1320.1
0.69724,1099.1
0.69726,1320.1
0.69728,1762.0
0.69730,2342.1
0.69732,2645.9
0.69734,2535.4
0.69736,2231.6
0.69738,1789.6
0.69740,1320.1
0.69742,905.7
0.69744,574.3
0.69746,574.3
0.69748,767.6
0.69750,795.2
0.69752,684.7
0.69754,574.3
0.69756,463.8
0.69758,353.3
0.69760,463.8
0.69762,905.7
0.69764,1237.2
0.69766,1320.1
0.69768,1320.1
0.69770,1430.5
0.69772,1458.2
0.69774,1430.5
0.69776,1237.2
0.69778,1126.7
0.69780,1126.7
0.69782,1016.2
0.69784,878.1
0.69786,795.2
0.69788,574.3
0.69790,436.2
0.69792,215.2
0.69794,21.8
0.69796,-337.3
0.69798,-641.1
0.69800,-668.7
0.69802,-420.1
0.69804,-5.8
0.69806,242.8
0.69808,325.7
0.69810,463.8
0.69812,546.6
0.69814,325.7
0.69816,21.8
0.69818,21.8
0.69820,21.8
0.69822,-309.6
0.69824,-530.6
0.69826,-447.8
0.69828,-558.2
0.69830,-972.6
0.69832,-1083.1
0.69834,-1000.2
0.69836,-1414.5
0.69838,-1635.5
0.69840,-1193.5
0.69842,-447.8
0.69844,-226.8
0.69846,-309.6
0.69848,-309.6
0.69850,-116.3
0.69852,-420.1
0.69854,-751.6
0.69856,-641.1
0.69858,-779.2
0.69860,-972.6
0.69862,-1331.7
0.69864,-1856.5
0.69866,-1856.5
0.69868,-1773.6
0.69870,-2077.4
0.69872,-1635.5
0.69874,-1110.7
0.69876,-972.6
0.69878,-972.6
0.69880,-364.9
0.69882,104.7
0.69884,-199.2
0.69886,-199.2
0.69888,21.8
