# Whack-O-Meter CSV Manager v1
# Original samples: 50000
# Samples/sec: 50000
# Prefix trimmed: 0.00000 - 0.53792 sec
# Suffix trimmed: 0.89364 - 0.99998 sec
# Event start: 0.53792 sec
# Event end: 0.89364 sec
# Baseline (N): -3.0
# Nickname: 6mmeva 2mmabs · 8.5kN peak · slow decay
Loadstar Sensors LV-1000HS-10K - Log File
Sensor:,Whackometer 2-0
Samples/Sec:,50000
Test started at (approx):,5/1/2024 6:37 PM
Peak(N):,8532.1
Low(N):,-2516.6
Time (sec),Reading (N) (Whackometer 2-0)
0.53792,24.6
0.53794,24.6
0.53796,-3.0
0.53798,-3.0
0.53800,24.6
0.53802,24.6
0.53804,24.6
0.53806,-3.0
0.53808,24.6
0.53810,24.6
0.53812,24.6
0.53814,24.6
0.53816,-3.0
0.53818,24.6
0.53820,-3.0
0.53822,24.6
0.53824,-3.0
0.53826,24.6
0.53828,-3.0
0.53830,-3.0
0.53832,24.6
0.53834,-3.0
0.53836,24.6
0.53838,24.6
0.53840,-3.0
0.53842,24.6
0.53844,24.6
0.53846,24.6
0.53848,24.6
0.53850,24.6
0.53852,24.6
0.53854,-3.0
0.53856,24.6
0.53858,24.6
0.53860,24.6
0.53862,-3.0
0.53864,-3.0
0.53866,-3.0
0.53868,24.6
0.53870,24.6
0.53872,24.6
0.53874,-3.0
0.53876,-3.0
0.53878,24.6
0.53880,24.6
0.53882,24.6
0.53884,24.6
0.53886,-3.0
0.53888,24.6
0.53890,24.6
0.53892,24.6
0.53894,-3.0
0.53896,-3.0
0.53898,-3.0
0.53900,24.6
0.53902,24.6
0.53904,-3.0
0.53906,-3.0
0.53908,24.6
0.53910,24.6
0.53912,-3.0
0.53914,24.6
0.53916,24.6
0.53918,24.6
0.53920,24.6
0.53922,24.6
0.53924,24.6
0.53926,24.6
0.53928,24.6
0.53930,24.6
0.53932,24.6
0.53934,24.6
0.53936,-3.0
0.53938,24.6
0.53940,24.6
0.53942,24.6
0.53944,-3.0
0.53946,-3.0
0.53948,24.6
0.53950,24.6
0.53952,24.6
0.53954,24.6
0.53956,24.6
0.53958,24.6
0.53960,24.6
0.53962,24.6
0.53964,24.6
0.53966,24.6
0.53968,24.6
0.53970,24.6
0.53972,24.6
0.53974,-3.0
0.53976,-3.0
0.53978,24.6
0.53980,24.6
0.53982,-3.0
0.53984,-3.0
0.53986,24.6
0.53988,24.6
0.53990,24.6
0.53992,24.6
0.53994,-3.0
0.53996,24.6
0.53998,24.6
0.54000,24.6
0.54002,24.6
0.54004,24.6
0.54006,24.6
0.54008,24.6
0.54010,24.6
0.54012,24.6
0.54014,24.6
0.54016,24.6
0.54018,24.6
0.54020,24.6
0.54022,24.6
0.54024,24.6
0.54026,24.6
0.54028,24.6
0.54030,24.6
0.54032,24.6
0.54034,-3.0
0.54036,-3.0
0.54038,24.6
0.54040,24.6
0.54042,24.6
0.54044,-3.0
0.54046,24.6
0.54048,24.6
0.54050,24.6
0.54052,24.6
0.54054,24.6
0.54056,24.6
0.54058,24.6
0.54060,24.6
0.54062,-3.0
0.54064,24.6
0.54066,24.6
0.54068,24.6
0.54070,24.6
0.54072,-3.0
0.54074,-3.0
0.54076,-3.0
0.54078,24.6
0.54080,-3.0
0.54082,-3.0
0.54084,-3.0
0.54086,24.6
0.54088,24.6
0.54090,24.6
0.54092,24.6
0.54094,24.6
0.54096,-3.0
0.54098,24.6
0.54100,24.6
0.54102,24.6
0.54104,24.6
0.54106,-3.0
0.54108,24.6
0.54110,-3.0
0.54112,24.6
0.54114,24.6
0.54116,24.6
0.54118,24.6
0.54120,24.6
0.54122,24.6
0.54124,24.6
0.54126,-3.0
0.54128,24.6
0.54130,24.6
0.54132,24.6
0.54134,-3.0
0.54136,24.6
0.54138,-3.0
0.54140,24.6
0.54142,24.6
0.54144,-3.0
0.54146,24.6
0.54148,24.6
0.54150,24.6
0.54152,-3.0
0.54154,24.6
0.54156,24.6
0.54158,24.6
0.54160,24.6
0.54162,24.6
0.54164,-3.0
0.54166,24.6
0.54168,24.6
0.54170,24.6
0.54172,-3.0
0.54174,-3.0
0.54176,-3.0
0.54178,24.6
0.54180,24.6
0.54182,24.6
0.54184,24.6
0.54186,-3.0
0.54188,24.6
0.54190,24.6
0.54192,24.6
0.54194,24.6
0.54196,-3.0
0.54198,-3.0
0.54200,24.6
0.54202,24.6
0.54204,24.6
0.54206,24.6
0.54208,24.6
0.54210,24.6
0.54212,-3.0
0.54214,24.6
0.54216,24.6
0.54218,24.6
0.54220,24.6
0.54222,-3.0
0.54224,24.6
0.54226,24.6
0.54228,24.6
0.54230,24.6
0.54232,-3.0
0.54234,24.6
0.54236,-3.0
0.54238,24.6
0.54240,24.6
0.54242,24.6
0.54244,24.6
0.54246,24.6
0.54248,24.6
0.54250,24.6
0.54252,24.6
0.54254,24.6
0.54256,24.6
0.54258,24.6
0.54260,24.6
0.54262,24.6
0.54264,-3.0
0.54266,-3.0
0.54268,24.6
0.54270,24.6
0.54272,24.6
0.54274,-3.0
0.54276,-3.0
0.54278,-3.0
0.54280,24.6
0.54282,-3.0
0.54284,24.6
0.54286,24.6
0.54288,24.6
0.54290,24.6
0.54292,24.6
0.54294,24.6
0.54296,-3.0
0.54298,24.6
0.54300,24.6
0.54302,-3.0
0.54304,-3.0
0.54306,24.6
0.54308,24.6
0.54310,-3.0
0.54312,24.6
0.54314,24.6
0.54316,24.6
0.54318,24.6
0.54320,24.6
0.54322,24.6
0.54324,24.6
0.54326,24.6
0.54328,24.6
0.54330,24.6
0.54332,24.6
0.54334,24.6
0.54336,24.6
0.54338,24.6
0.54340,24.6
0.54342,24.6
0.54344,-3.0
0.54346,-3.0
0.54348,24.6
0.54350,24.6
0.54352,-3.0
0.54354,24.6
0.54356,24.6
0.54358,-3.0
0.54360,24.6
0.54362,-3.0
0.54364,24.6
0.54366,24.6
0.54368,24.6
0.54370,24.6
0.54372,24.6
0.54374,24.6
0.54376,24.6
0.54378,24.6
0.54380,24.6
0.54382,24.6
0.54384,-3.0
0.54386,24.6
0.54388,24.6
0.54390,24.6
0.54392,-3.0
0.54394,24.6
0.54396,24.6
0.54398,24.6
0.54400,24.6
0.54402,24.6
0.54404,24.6
0.54406,24.6
0.54408,24.6
0.54410,24.6
0.54412,24.6
0.54414,24.6
0.54416,24.6
0.54418,24.6
0.54420,24.6
0.54422,24.6
0.54424,24.6
0.54426,24.6
0.54428,24.6
0.54430,24.6
0.54432,24.6
0.54434,24.6
0.54436,24.6
0.54438,24.6
0.54440,107.4
0.54442,24.6
0.54444,107.4
0.54446,107.4
0.54448,107.4
0.54450,107.4
0.54452,107.4
0.54454,107.4
0.54456,135.1
0.54458,135.1
0.54460,135.1
0.54462,135.1
0.54464,135.1
0.54466,217.9
0.54468,245.6
0.54470,328.4
0.54472,328.4
0.54474,356.0
0.54476,466.5
0.54478,687.5
0.54480,991.4
0.54482,1239.9
0.54484,1654.3
0.54486,2013.4
0.54488,2427.7
0.54490,2897.3
0.54492,3422.1
0.54494,3864.0
0.54496,4306.0
0.54498,4637.4
0.54500,4858.4
0.54502,4968.9
0.54504,5107.0
0.54506,5217.5
0.54508,5410.9
0.54510,5549.0
0.54512,5659.5
0.54514,5852.8
0.54516,6101.4
0.54518,6432.9
0.54520,6847.2
0.54522,7289.1
0.54524,7731.1
0.54526,8090.2
0.54528,8394.0
0.54530,8532.1
0.54532,8532.1
0.54534,8311.2
0.54536,8062.6
0.54538,7758.7
0.54540,7399.6
0.54542,6957.7
0.54544,6432.9
0.54546,5990.9
0.54548,5631.8
0.54550,5162.3
0.54552,4775.6
0.54554,4554.6
0.54556,4416.5
0.54558,4223.1
0.54560,4112.6
0.54562,4002.1
0.54564,3864.0
0.54566,3753.5
0.54568,3532.6
0.54570,3311.6
0.54572,3090.6
0.54574,2869.6
0.54576,2565.8
0.54578,2317.2
0.54580,2013.4
0.54582,1764.8
0.54584,1460.9
0.54586,1239.9
0.54588,1101.8
0.54590,1101.8
0.54592,1212.3
0.54594,1433.3
0.54596,1571.4
0.54598,1792.4
0.54600,2013.4
0.54602,2123.8
0.54604,2206.7
0.54606,2317.2
0.54608,2344.8
0.54610,2427.7
0.54612,2317.2
0.54614,2206.7
0.54616,2013.4
0.54618,1875.3
0.54620,1681.9
0.54622,1571.4
0.54624,1654.3
0.54626,1681.9
0.54628,1792.4
0.54630,1985.7
0.54632,2123.8
0.54634,2234.3
0.54636,2344.8
0.54638,2427.7
0.54640,2344.8
0.54642,2234.3
0.54644,2013.4
0.54646,1792.4
0.54648,1543.8
0.54650,1239.9
0.54652,1019.0
0.54654,770.4
0.54656,549.4
0.54658,328.4
0.54660,24.6
0.54662,-196.4
0.54664,-334.5
0.54666,-527.9
0.54668,-638.3
0.54670,-638.3
0.54672,-666.0
0.54674,-748.8
0.54676,-776.5
0.54678,-969.8
0.54680,-1080.3
0.54682,-1301.3
0.54684,-1549.9
0.54686,-1853.7
0.54688,-1991.8
0.54690,-2129.9
0.54692,-2295.7
0.54694,-2406.1
0.54696,-2406.1
0.54698,-2433.8
0.54700,-2516.6
0.54702,-2433.8
0.54704,-2406.1
0.54706,-2295.7
0.54708,-2074.7
0.54710,-1881.3
0.54712,-1743.2
0.54714,-1549.9
0.54716,-1411.8
0.54718,-1301.3
0.54720,-1301.3
0.54722,-1301.3
0.54724,-1190.8
0.54726,-1080.3
0.54728,-969.8
0.54730,-859.3
0.54732,-748.8
0.54734,-527.9
0.54736,-334.5
0.54738,-113.5
0.54740,107.4
0.54742,356.0
0.54744,687.5
0.54746,908.5
0.54748,1212.3
0.54750,1460.9
0.54752,1654.3
0.54754,1764.8
0.54756,1764.8
0.54758,1792.4
0.54760,1792.4
0.54762,1764.8
0.54764,1764.8
0.54766,1681.9
0.54768,1571.4
0.54770,1543.8
0.54772,1433.3
0.54774,1350.4
0.54776,1350.4
0.54778,1350.4
0.54780,1350.4
0.54782,1350.4
0.54784,1350.4
0.54786,1239.9
0.54788,1212.3
0.54790,1019.0
0.54792,798.0
0.54794,577.0
0.54796,356.0
0.54798,24.6
0.54800,-224.0
0.54802,-527.9
0.54804,-776.5
0.54806,-997.4
0.54808,-1190.8
0.54810,-1328.9
0.54812,-1439.4
0.54814,-1549.9
0.54816,-1522.2
0.54818,-1522.2
0.54820,-1522.2
0.54822,-1439.4
0.54824,-1439.4
0.54826,-1439.4
0.54828,-1522.2
0.54830,-1549.9
0.54832,-1632.7
0.54834,-1660.4
0.54836,-1743.2
0.54838,-1853.7
0.54840,-1853.7
0.54842,-1881.3
0.54844,-1853.7
0.54846,-1743.2
0.54848,-1632.7
0.54850,-1439.4
0.54852,-1218.4
0.54854,-969.8
