# Whack-O-Meter CSV Manager v1
# Original samples: 50000
# Samples/sec: 50000
# Prefix trimmed: 0.00000 - 0.68548 sec
# Suffix trimmed: 0.75592 - 0.99998 sec
# Event start: 0.68548 sec
# Event end: 0.75592 sec
# Baseline (N): -24.9
# Nickname: 7mm poronxrd hexgrid 2mmkydex · 4.1kN peak · slow decay
Loadstar Sensors LV-1000HS-10K - Log File
Sensor:,Whackometer 2-0
Samples/Sec:,50000
Test started at (approx):,5/1/2024 8:05 PM
Peak(N):,4146.0
Low(N):,-715.4
Time (sec),Reading (N) (Whackometer 2-0)
0.68548,-24.9
0.68550,-24.9
0.68552,-24.9
0.68554,-24.9
0.68556,58.0
0.68558,30.4
0.68560,-24.9
0.68562,-24.9
0.68564,-24.9
0.68566,-24.9
0.68568,-24.9
0.68570,-24.9
0.68572,-24.9
0.68574,58.0
0.68576,-24.9
0.68578,-24.9
0.68580,-24.9
0.68582,-24.9
0.68584,-24.9
0.68586,-24.9
0.68588,-24.9
0.68590,-24.9
0.68592,-24.9
0.68594,-24.9
0.68596,-24.9
0.68598,-24.9
0.68600,30.4
0.68602,-24.9
0.68604,-24.9
0.68606,-24.9
0.68608,-24.9
0.68610,-24.9
0.68612,-24.9
0.68614,-24.9
0.68616,-24.9
0.68618,58.0
0.68620,-24.9
0.68622,-24.9
0.68624,58.0
0.68626,-24.9
0.68628,58.0
0.68630,58.0
0.68632,58.0
0.68634,58.0
0.68636,-24.9
0.68638,58.0
0.68640,58.0
0.68642,58.0
0.68644,2.8
0.68646,58.0
0.68648,58.0
0.68650,58.0
0.68652,-24.9
0.68654,-24.9
0.68656,58.0
0.68658,-24.9
0.68660,-24.9
0.68662,-24.9
0.68664,-24.9
0.68666,-24.9
0.68668,58.0
0.68670,58.0
0.68672,58.0
0.68674,58.0
0.68676,85.6
0.68678,85.6
0.68680,168.5
0.68682,196.1
0.68684,196.1
0.68686,251.4
0.68688,279.0
0.68690,306.6
0.68692,389.5
0.68694,389.5
0.68696,417.1
0.68698,500.0
0.68700,500.0
0.68702,527.6
0.68704,610.4
0.68706,638.1
0.68708,748.6
0.68710,831.4
0.68712,859.0
0.68714,941.9
0.68716,1052.4
0.68718,1080.0
0.68720,1190.5
0.68722,1273.4
0.68724,1383.9
0.68726,1494.3
0.68728,1522.0
0.68730,1660.1
0.68732,1742.9
0.68734,1825.8
0.68736,1936.3
0.68738,2046.8
0.68740,2074.4
0.68742,2184.9
0.68744,2295.4
0.68746,2405.9
0.68748,2516.4
0.68750,2626.8
0.68752,2709.7
0.68754,2820.2
0.68756,2930.7
0.68758,3041.2
0.68760,3068.8
0.68762,3179.3
0.68764,3262.1
0.68766,3372.6
0.68768,3400.3
0.68770,3483.1
0.68772,3510.7
0.68774,3593.6
0.68776,3621.2
0.68778,3704.1
0.68780,3731.7
0.68782,3814.6
0.68784,3842.2
0.68786,3925.1
0.68788,3925.1
0.68790,3952.7
0.68792,3952.7
0.68794,4035.6
0.68796,4035.6
0.68798,4035.6
0.68800,4063.2
0.68802,4063.2
0.68804,4035.6
0.68806,4063.2
0.68808,4063.2
0.68810,4063.2
0.68812,4035.6
0.68814,4063.2
0.68816,4063.2
0.68818,4063.2
0.68820,4063.2
0.68822,4063.2
0.68824,4146.0
0.68826,4146.0
0.68828,4063.2
0.68830,4146.0
0.68832,4063.2
0.68834,4063.2
0.68836,4063.2
0.68838,4063.2
0.68840,4035.6
0.68842,4035.6
0.68844,4035.6
0.68846,3952.7
0.68848,3952.7
0.68850,3925.1
0.68852,3925.1
0.68854,3842.2
0.68856,3814.6
0.68858,3759.3
0.68860,3704.1
0.68862,3621.2
0.68864,3510.7
0.68866,3483.1
0.68868,3372.6
0.68870,3289.8
0.68872,3179.3
0.68874,3068.8
0.68876,2958.3
0.68878,2820.2
0.68880,2709.7
0.68882,2516.4
0.68884,2405.9
0.68886,2267.8
0.68888,2157.3
0.68890,1963.9
0.68892,1853.4
0.68894,1715.3
0.68896,1522.0
0.68898,1383.9
0.68900,1245.7
0.68902,1080.0
0.68904,941.9
0.68906,748.6
0.68908,638.1
0.68910,500.0
0.68912,389.5
0.68914,196.1
0.68916,85.6
0.68918,-24.9
0.68920,-135.3
0.68922,-245.8
0.68924,-273.5
0.68926,-383.9
0.68928,-466.8
0.68930,-494.4
0.68932,-577.3
0.68934,-604.9
0.68936,-604.9
0.68938,-687.8
0.68940,-687.8
0.68942,-715.4
0.68944,-715.4
0.68946,-687.8
0.68948,-687.8
0.68950,-687.8
0.68952,-687.8
0.68954,-604.9
0.68956,-577.3
0.68958,-577.3
0.68960,-494.4
0.68962,-466.8
0.68964,-383.9
0.68966,-356.3
0.68968,-273.5
0.68970,-245.8
0.68972,-163.0
0.68974,-135.3
0.68976,-52.5
0.68978,-24.9
0.68980,58.0
0.68982,85.6
0.68984,113.2
0.68986,168.5
0.68988,196.1
0.68990,196.1
0.68992,279.0
0.68994,306.6
0.68996,306.6
0.68998,306.6
0.69000,389.5
0.69002,389.5
0.69004,389.5
0.69006,389.5
0.69008,389.5
0.69010,389.5
0.69012,306.6
0.69014,306.6
0.69016,306.6
0.69018,279.0
0.69020,196.1
0.69022,168.5
0.69024,168.5
0.69026,85.6
0.69028,58.0
0.69030,2.8
0.69032,-24.9
0.69034,-52.5
0.69036,-135.3
0.69038,-163.0
0.69040,-163.0
0.69042,-245.8
0.69044,-273.5
0.69046,-356.3
0.69048,-356.3
0.69050,-383.9
0.69052,-466.8
0.69054,-466.8
0.69056,-494.4
0.69058,-494.4
0.69060,-577.3
0.69062,-577.3
0.69064,-577.3
0.69066,-577.3
0.69068,-577.3
0.69070,-577.3
0.69072,-577.3
0.69074,-522.1
0.69076,-494.4
0.69078,-494.4
0.69080,-466.8
0.69082,-466.8
0.69084,-383.9
0.69086,-383.9
0.69088,-356.3
0.69090,-273.5
0.69092,-245.8
0.69094,-245.8
0.69096,-135.3
0.69098,-135.3
0.69100,-52.5
0.69102,-24.9
0.69104,-24.9
0.69106,58.0
0.69108,85.6
0.69110,168.5
0.69112,196.1
0.69114,196.1
0.69116,251.4
0.69118,279.0
0.69120,306.6
0.69122,306.6
0.69124,306.6
0.69126,389.5
0.69128,306.6
0.69130,389.5
0.69132,389.5
0.69134,389.5
0.69136,306.6
0.69138,306.6
0.69140,306.6
0.69142,306.6
0.69144,279.0
0.69146,279.0
