# Whack-O-Meter CSV Manager v1
# Original samples: 50000
# Samples/sec: 50000
# Prefix trimmed: 0.00000 - 0.70362 sec
# Suffix trimmed: 0.80000 - 0.99998 sec
# Event start: 0.70362 sec
# Event end: 0.80000 sec
# Baseline (N): -28.7
# Nickname: 7mm poronxrd hexgrid 2mmkydex · 4.3kN peak · slow decay · run 3
Loadstar Sensors LV-1000HS-10K - Log File
Sensor:,Whackometer 2-0
Samples/Sec:,50000
Test started at (approx):,5/1/2024 8:09 PM
Peak(N):,4280.3
Low(N):,-1078.4
Time (sec),Reading (N) (Whackometer 2-0)
0.70362,54.1
0.70364,54.1
0.70366,54.1
0.70368,-28.7
0.70370,54.1
0.70372,54.1
0.70374,54.1
0.70376,54.1
0.70378,26.5
0.70380,54.1
0.70382,54.1
0.70384,54.1
0.70386,-28.7
0.70388,54.1
0.70390,54.1
0.70392,54.1
0.70394,54.1
0.70396,54.1
0.70398,54.1
0.70400,-28.7
0.70402,54.1
0.70404,-28.7
0.70406,54.1
0.70408,54.1
0.70410,54.1
0.70412,54.1
0.70414,54.1
0.70416,54.1
0.70418,54.1
0.70420,26.5
0.70422,-28.7
0.70424,-28.7
0.70426,-28.7
0.70428,54.1
0.70430,54.1
0.70432,54.1
0.70434,54.1
0.70436,54.1
0.70438,54.1
0.70440,54.1
0.70442,54.1
0.70444,54.1
0.70446,54.1
0.70448,54.1
0.70450,54.1
0.70452,54.1
0.70454,26.5
0.70456,-28.7
0.70458,54.1
0.70460,54.1
0.70462,-28.7
0.70464,54.1
0.70466,54.1
0.70468,-28.7
0.70470,54.1
0.70472,54.1
0.70474,54.1
0.70476,54.1
0.70478,-28.7
0.70480,54.1
0.70482,54.1
0.70484,54.1
0.70486,-28.7
0.70488,-28.7
0.70490,54.1
0.70492,54.1
0.70494,26.5
0.70496,-28.7
0.70498,-28.7
0.70500,54.1
0.70502,-28.7
0.70504,54.1
0.70506,-28.7
0.70508,54.1
0.70510,-28.7
0.70512,54.1
0.70514,-28.7
0.70516,-28.7
0.70518,-28.7
0.70520,-28.7
0.70522,54.1
0.70524,54.1
0.70526,-28.7
0.70528,54.1
0.70530,54.1
0.70532,54.1
0.70534,54.1
0.70536,54.1
0.70538,54.1
0.70540,81.8
0.70542,81.8
0.70544,164.6
0.70546,192.2
0.70548,192.2
0.70550,275.1
0.70552,275.1
0.70554,302.7
0.70556,385.6
0.70558,385.6
0.70560,413.2
0.70562,413.2
0.70564,496.1
0.70566,496.1
0.70568,523.7
0.70570,606.6
0.70572,634.2
0.70574,717.1
0.70576,744.7
0.70578,827.6
0.70580,855.2
0.70582,938.0
0.70584,1048.5
0.70586,1159.0
0.70588,1186.6
0.70590,1297.1
0.70592,1380.0
0.70594,1490.5
0.70596,1518.1
