# Whack-O-Meter CSV Manager v1
# Original samples: 50000
# Samples/sec: 50000
# Prefix trimmed: 0.00000 - 0.71302 sec
# Suffix trimmed: 0.82730 - 0.99998 sec
# Event start: 0.71302 sec
# Event end: 0.82730 sec
# Baseline (N): 42.5
# Nickname: 7mm poronxrd hexgrid 2mmkydex · 4.6kN peak · slow decay
Loadstar Sensors LV-1000HS-10K - Log File
Sensor:,Whackometer 2-0
Samples/Sec:,50000
Test started at (approx):,5/1/2024 8:09 PM
Peak(N):,4572.5
Low(N):,-841.4
Time (sec),Reading (N) (Whackometer 2-0)
0.71302,42.5
0.71304,42.5
0.71306,42.5
0.71308,42.5
0.71310,42.5
0.71312,42.5
0.71314,42.5
0.71316,42.5
0.71318,42.5
0.71320,42.5
0.71322,42.5
0.71324,42.5
0.71326,42.5
0.71328,42.5
0.71330,-40.3
0.71332,42.5
0.71334,14.9
0.71336,42.5
0.71338,-40.3
0.71340,42.5
0.71342,42.5
0.71344,42.5
0.71346,42.5
0.71348,-40.3
0.71350,-40.3
0.71352,42.5
0.71354,42.5
0.71356,42.5
0.71358,42.5
0.71360,42.5
0.71362,42.5
0.71364,42.5
0.71366,42.5
0.71368,42.5
0.71370,42.5
0.71372,-40.3
0.71374,14.9
0.71376,42.5
0.71378,42.5
0.71380,42.5
0.71382,42.5
0.71384,42.5
0.71386,42.5
0.71388,42.5
0.71390,42.5
0.71392,42.5
0.71394,42.5
0.71396,42.5
0.71398,42.5
0.71400,-40.3
0.71402,-40.3
0.71404,42.5
0.71406,-40.3
0.71408,-40.3
0.71410,-40.3
0.71412,-40.3
0.71414,14.9
0.71416,-40.3
0.71418,42.5
0.71420,42.5
0.71422,42.5
0.71424,42.5
0.71426,-40.3
0.71428,42.5
0.71430,42.5
0.71432,42.5
0.71434,42.5
0.71436,-40.3
0.71438,42.5
0.71440,-40.3
0.71442,42.5
0.71444,42.5
0.71446,42.5
0.71448,42.5
0.71450,-40.3
0.71452,42.5
0.71454,42.5
0.71456,14.9
0.71458,42.5
0.71460,42.5
0.71462,42.5
0.71464,42.5
0.71466,42.5
0.71468,42.5
0.71470,42.5
0.71472,42.5
0.71474,42.5
0.71476,42.5
0.71478,42.5
0.71480,42.5
0.71482,42.5
0.71484,42.5
0.71486,42.5
0.71488,42.5
0.71490,42.5
0.71492,-40.3
0.71494,42.5
0.71496,14.9
0.71498,42.5
0.71500,42.5
0.71502,42.5
0.71504,42.5
0.71506,70.2
0.71508,70.2
0.71510,153.0
0.71512,153.0
0.71514,180.6
0.71516,263.5
0.71518,263.5
0.71520,291.1
0.71522,374.0
0.71524,401.6
0.71526,484.5
0.71528,484.5
0.71530,595.0
0.71532,622.6
0.71534,705.5
0.71536,733.1
0.71538,816.0
0.71540,926.4
