# Whack-O-Meter CSV Manager v2
# Original samples: 50000
# Samples/sec: 50000
# Prefix trimmed: 0.00000 - 0.00000 sec
# Suffix trimmed: 0.99998 - 0.99998 sec
# Event start: 0.00000 sec
# Event end: 0.99998 sec
# Baseline (N): 0.3
# Weapon type: Steel Test Ball Drop
# Category: Regenyei_Standard_Federschwert
# Nickname: 24 04 19 00001 0 · 83N peak · slow decay
Loadstar Sensors LV-1000HS-10K - Log File
Sensor:,Whackometer 2-0
Samples/Sec:,50000
Test started at (approx):,4/19/2024 3:48 PM
Peak(N):,83.1
Low(N):,-110.2
Time (sec),Reading (N) (Whackometer 2-0)
0.00000,-27.3
0.00002,-27.3
0.00004,0.3
0.00006,0.3
0.00008,0.3
0.00010,0.3
0.00012,0.3
0.00014,0.3
0.00016,0.3
0.00018,0.3
0.00020,0.3
0.00022,0.3
0.00024,0.3
0.00026,0.3
0.00028,0.3
0.00030,0.3
0.00032,0.3
0.00034,0.3
0.00036,0.3
0.00038,0.3
0.00040,0.3
0.00042,0.3
0.00044,0.3
0.00046,0.3
0.00048,0.3
0.00050,0.3
0.00052,-27.3
0.00054,-27.3
0.00056,-27.3
0.00058,0.3
0.00060,0.3
0.00062,0.3
0.00064,0.3
0.00066,0.3
0.00068,0.3
0.00070,0.3
0.00072,0.3
0.00074,0.3
0.00076,0.3
0.00078,0.3
0.00080,0.3
0.00082,0.3
0.00084,0.3
0.00086,-27.3
0.00088,0.3
0.00090,-27.3
0.00092,0.3
0.00094,0.3
0.00096,0.3
0.00098,0.3
0.00100,0.3
0.00102,-27.3
0.00104,0.3
0.00106,0.3
0.00108,0.3
0.00110,0.3
0.00112,-27.3
0.00114,0.3
0.00116,0.3
0.00118,0.3
0.00120,0.3
0.00122,0.3
0.00124,0.3
0.00126,0.3
0.00128,0.3
0.00130,0.3
0.00132,0.3
0.00134,0.3
0.00136,0.3
0.00138,0.3
0.00140,0.3
0.00142,0.3
0.00144,0.3
0.00146,-27.3
0.00148,0.3
0.00150,0.3
0.00152,0.3
0.00154,0.3
0.00156,0.3
0.00158,0.3
0.00160,0.3
0.00162,0.3
0.00164,0.3
0.00166,0.3
0.00168,0.3
0.00170,0.3
0.00172,0.3
0.00174,0.3
0.00176,0.3
0.00178,0.3
0.00180,0.3
0.00182,0.3
0.00184,0.3
0.00186,0.3
0.00188,0.3
0.00190,-27.3
0.00192,0.3
0.00194,0.3
0.00196,0.3
0.00198,0.3
0.00200,0.3
0.00202,0.3
0.00204,0.3
0.00206,0.3
0.00208,27.9
0.00210,0.3
0.00212,0.3
0.00214,0.3
0.00216,0.3
0.00218,0.3
0.00220,0.3
0.00222,0.3
0.00224,0.3
0.00226,0.3
0.00228,0.3
0.00230,0.3
0.00232,0.3
0.00234,0.3
0.00236,0.3
0.00238,0.3
0.00240,0.3
0.00242,0.3
0.00244,0.3
0.00246,0.3
0.00248,0.3
0.00250,0.3
0.00252,0.3
0.00254,0.3
0.00256,0.3
0.00258,0.3
0.00260,0.3
0.00262,0.3
0.00264,0.3
0.00266,0.3
0.00268,0.3
0.00270,0.3
0.00272,0.3
0.00274,0.3
0.00276,0.3
0.00278,0.3
0.00280,0.3
0.00282,0.3
0.00284,0.3
0.00286,0.3
0.00288,0.3
0.00290,0.3
0.00292,0.3
0.00294,0.3
0.00296,0.3
0.00298,0.3
0.00300,0.3
0.00302,0.3
0.00304,0.3
0.00306,0.3
0.00308,0.3
0.00310,0.3
0.00312,0.3
0.00314,0.3
0.00316,0.3
0.00318,0.3
0.00320,0.3
0.00322,0.3
0.00324,0.3
0.00326,0.3
0.00328,0.3
0.00330,-27.3
0.00332,0.3
0.00334,0.3
0.00336,0.3
0.00338,0.3
0.00340,0.3
0.00342,0.3
0.00344,0.3
0.00346,0.3
0.00348,0.3
0.00350,-27.3
0.00352,0.3
0.00354,0.3
0.00356,0.3
0.00358,0.3
0.00360,0.3
0.00362,0.3
0.00364,0.3
0.00366,0.3
0.00368,0.3
0.00370,0.3
0.00372,0.3
0.00374,0.3
0.00376,0.3
0.00378,0.3
0.00380,0.3
0.00382,0.3
0.00384,0.3
0.00386,0.3
0.00388,0.3
0.00390,0.3
0.00392,-27.3
0.00394,0.3
0.00396,0.3
0.00398,0.3
0.00400,0.3
0.00402,0.3
0.00404,0.3
0.00406,0.3
0.00408,0.3
0.00410,0.3
0.00412,0.3
0.00414,0.3
0.00416,0.3
0.00418,0.3
0.00420,0.3
0.00422,0.3
0.00424,0.3
0.00426,0.3
0.00428,0.3
0.00430,0.3
0.00432,0.3
0.00434,0.3
0.00436,0.3
0.00438,0.3
0.00440,0.3
0.00442,0.3
0.00444,0.3
0.00446,0.3
0.00448,0.3
0.00450,0.3
0.00452,0.3
0.00454,0.3
0.00456,0.3
0.00458,0.3
0.00460,0.3
0.00462,0.3
0.00464,0.3
0.00466,0.3
0.00468,0.3
0.00470,0.3
0.00472,0.3
0.00474,0.3
0.00476,0.3
0.00478,0.3
0.00480,-27.3
0.00482,0.3
0.00484,0.3
0.00486,-27.3
0.00488,0.3
0.00490,0.3
0.00492,0.3
0.00494,0.3
0.00496,0.3
0.00498,0.3
0.00500,0.3
0.00502,0.3
0.00504,0.3
0.00506,0.3
0.00508,0.3
0.00510,0.3
0.00512,0.3
0.00514,0.3
0.00516,0.3
0.00518,0.3
0.00520,0.3
0.00522,0.3
0.00524,0.3
0.00526,0.3
0.00528,0.3
0.00530,0.3
0.00532,0.3
0.00534,0.3
0.00536,0.3
0.00538,0.3
0.00540,0.3
0.00542,0.3
0.00544,0.3
0.00546,0.3
0.00548,0.3
0.00550,0.3
0.00552,0.3
0.00554,0.3
0.00556,0.3
0.00558,0.3
0.00560,0.3
0.00562,0.3
0.00564,0.3
0.00566,0.3
0.00568,0.3
0.00570,0.3
0.00572,0.3
0.00574,0.3
0.00576,0.3
0.00578,0.3
0.00580,0.3
0.00582,0.3
0.00584,0.3
0.00586,0.3
0.00588,0.3
0.00590,0.3
0.00592,0.3
0.00594,0.3
0.00596,0.3
0.00598,0.3
0.00600,0.3
0.00602,0.3
0.00604,0.3
0.00606,0.3
0.00608,0.3
0.00610,0.3
0.00612,0.3
0.00614,0.3
0.00616,0.3
0.00618,0.3
0.00620,0.3
0.00622,0.3
0.00624,0.3
0.00626,0.3
0.00628,0.3
0.00630,0.3
0.00632,0.3
0.00634,0.3
0.00636,0.3
0.00638,0.3
0.00640,0.3
0.00642,0.3
0.00644,0.3
0.00646,0.3
0.00648,0.3
0.00650,0.3
0.00652,0.3
0.00654,0.3
0.00656,0.3
0.00658,0.3
0.00660,0.3
0.00662,0.3
0.00664,0.3
0.00666,0.3
0.00668,0.3
0.00670,0.3
0.00672,0.3
0.00674,0.3
0.00676,0.3
0.00678,0.3
0.00680,-27.3
0.00682,0.3
0.00684,0.3
0.00686,0.3
0.00688,0.3
0.00690,0.3
0.00692,0.3
0.00694,0.3
0.00696,-27.3
0.00698,0.3
0.00700,0.3
0.00702,0.3
0.00704,0.3
0.00706,0.3
0.00708,0.3
0.00710,0.3
0.00712,0.3
0.00714,0.3
0.00716,0.3
0.00718,0.3
0.00720,0.3
0.00722,0.3
0.00724,0.3
0.00726,0.3
0.00728,0.3
0.00730,0.3
0.00732,0.3
0.00734,0.3
0.00736,0.3
0.00738,0.3
0.00740,0.3
0.00742,0.3
0.00744,0.3
0.00746,0.3
0.00748,0.3
0.00750,0.3
0.00752,0.3
0.00754,0.3
0.00756,0.3
0.00758,0.3
0.00760,0.3
0.00762,0.3
0.00764,0.3
0.00766,0.3
0.00768,0.3
0.00770,0.3
0.00772,0.3
0.00774,0.3
0.00776,0.3
0.00778,0.3
0.00780,0.3
0.00782,0.3
0.00784,0.3
0.00786,0.3
0.00788,0.3
0.00790,0.3
0.00792,0.3
0.00794,0.3
0.00796,0.3
0.00798,0.3
0.00800,0.3
0.00802,0.3
0.00804,0.3
0.00806,27.9
0.00808,0.3
0.00810,0.3
0.00812,0.3
0.00814,0.3
0.00816,0.3
0.00818,0.3
0.00820,0.3
0.00822,0.3
0.00824,0.3
0.00826,0.3
0.00828,0.3
0.00830,0.3
0.00832,0.3
0.00834,0.3
0.00836,0.3
0.00838,27.9
0.00840,0.3
0.00842,0.3
0.00844,0.3
0.00846,0.3
0.00848,0.3
0.00850,0.3
0.00852,0.3
0.00854,0.3
0.00856,0.3
0.00858,0.3
0.00860,0.3
0.00862,0.3
0.00864,0.3
0.00866,0.3
0.00868,27.9
0.00870,0.3
0.00872,0.3
0.00874,0.3
0.00876,0.3
0.00878,0.3
0.00880,0.3
0.00882,0.3
0.00884,0.3
0.00886,0.3
0.00888,0.3
0.00890,0.3
0.00892,0.3
0.00894,0.3
0.00896,0.3
0.00898,0.3
0.00900,0.3
0.00902,0.3
0.00904,0.3
0.00906,0.3
0.00908,0.3
0.00910,0.3
0.00912,0.3
0.00914,0.3
0.00916,0.3
0.00918,0.3
0.00920,0.3
0.00922,0.3
0.00924,0.3
0.00926,0.3
0.00928,0.3
0.00930,0.3
0.00932,0.3
0.00934,0.3
0.00936,0.3
0.00938,0.3
0.00940,0.3
0.00942,0.3
0.00944,0.3
0.00946,0.3
0.00948,0.3
0.00950,0.3
0.00952,0.3
0.00954,0.3
0.00956,0.3
0.00958,0.3
0.00960,0.3
0.00962,0.3
0.00964,0.3
0.00966,0.3
0.00968,0.3
