Loadstar Sensors LV-1000HS-10K - Log File
Sensor:,Whackometer 2-0
Samples/Sec:,50000
Test started at (approx):,4/19/2024 3:59 PM
Peak(N):,5931.3
Low(N):,-1499.0
Time (sec),Reading (N) (Whackometer 2-0)
0.00000,47.8
0.00002,20.2
0.00004,47.8
0.00006,47.8
0.00008,47.8
0.00010,47.8
0.00012,47.8
0.00014,-35.1
0.00016,-7.5
0.00018,47.8
0.00020,47.8
0.00022,47.8
0.00024,47.8
0.00026,47.8
0.00028,47.8
0.00030,20.2
0.00032,47.8
0.00034,47.8
0.00036,47.8
0.00038,47.8
0.00040,47.8
0.00042,47.8
0.00044,-7.5
0.00046,47.8
0.00048,47.8
0.00050,47.8
0.00052,47.8
0.00054,47.8
0.00056,47.8
0.00058,20.2
0.00060,47.8
0.00062,47.8
0.00064,47.8
0.00066,47.8
0.00068,47.8
0.00070,47.8
0.00072,20.2
0.00074,47.8
0.00076,47.8
0.00078,47.8
0.00080,47.8
0.00082,47.8
0.00084,47.8
0.00086,-7.5
0.00088,47.8
0.00090,47.8
0.00092,47.8
0.00094,47.8
0.00096,47.8
0.00098,47.8
0.00100,20.2
0.00102,47.8
0.00104,47.8
0.00106,47.8
0.00108,47.8
0.00110,47.8
0.00112,47.8
0.00114,20.2
0.00116,47.8
0.00118,47.8
0.00120,47.8
0.00122,47.8
0.00124,-35.1
0.00126,47.8
0.00128,20.2
0.00130,47.8
0.00132,47.8
0.00134,-35.1
0.00136,-35.1
0.00138,47.8
0.00140,-35.1
0.00142,20.2
0.00144,47.8
0.00146,47.8
0.00148,47.8
0.00150,47.8
0.00152,47.8
0.00154,-35.1
0.00156,-7.5
0.00158,47.8
0.00160,-35.1
0.00162,47.8
0.00164,-35.1
0.00166,-35.1
0.00168,-7.5
0.00170,47.8
0.00172,47.8
0.00174,-35.1
0.00176,-35.1
0.00178,-35.1
0.00180,47.8
0.00182,20.2
0.00184,-35.1
0.00186,-35.1
0.00188,-35.1
0.00190,47.8
0.00192,47.8
0.00194,-35.1
0.00196,20.2
0.00198,47.8
0.00200,-35.1
0.00202,47.8
0.00204,-35.1
0.00206,-35.1
0.00208,-35.1
0.00210,-7.5
0.00212,-35.1
0.00214,47.8
0.00216,47.8
0.00218,47.8
0.00220,47.8
0.00222,20.2
0.00224,47.8
0.00226,-35.1
0.00228,47.8
0.00230,47.8
0.00232,47.8
0.00234,-35.1
0.00236,-7.5
0.00238,47.8
0.00240,47.8
0.00242,-35.1
0.00244,47.8
0.00246,47.8
0.00248,47.8
0.00250,20.2
0.00252,47.8
0.00254,47.8
0.00256,47.8
0.00258,47.8
0.00260,47.8
0.00262,47.8
0.00264,20.2
0.00266,47.8
0.00268,47.8
0.00270,47.8
0.00272,47.8
0.00274,-35.1
0.00276,47.8
0.00278,20.2
0.00280,47.8
0.00282,-35.1
0.00284,47.8
0.00286,47.8
0.00288,47.8
0.00290,47.8
0.00292,20.2
0.00294,-35.1
0.00296,47.8
0.00298,47.8
0.00300,47.8
0.00302,47.8
0.00304,-35.1
0.00306,-7.5
0.00308,47.8
0.00310,47.8
0.00312,47.8
0.00314,-35.1
0.00316,47.8
0.00318,47.8
0.00320,20.2
0.00322,47.8
0.00324,47.8
0.00326,47.8
0.00328,47.8
0.00330,47.8
0.00332,47.8
0.00334,20.2
0.00336,47.8
0.00338,47.8
0.00340,47.8
0.00342,47.8
0.00344,47.8
0.00346,47.8
0.00348,47.8
0.00350,47.8
0.00352,47.8
0.00354,47.8
0.00356,47.8
0.00358,47.8
0.00360,47.8
0.00362,47.8
0.00364,47.8
0.00366,47.8
0.00368,47.8
0.00370,47.8
0.00372,47.8
0.00374,47.8
