# Whack-O-Meter CSV Manager v2
# Original samples: 722
# Samples/sec: 50000
# Prefix trimmed: 1.18712 - 1.18772 sec
# Suffix trimmed: 1.19132 - 1.20154 sec
# Event start: 1.18772 sec
# Event end: 1.19132 sec
# Baseline (N): 60.8
# Weapon type: Regenyei Standard Feder
# Category: Regenyei_Standard_Federschwert
# Nickname: Regenyei · 24 04 19 00001 1 · 6.4kN peak · fast decay
Loadstar Sensors LV-1000HS-10K - Log File
Sensor:,Whackometer 2-0
Samples/Sec:,50000
Test started at (approx):,4/19/2024 3:59 PM
Peak(N):,6358.6
Low(N):,-2370.0
Time (sec),Reading (N) (Whackometer 2-0)
1.18772,2850.6
1.18774,3596.4
1.18776,3927.8
1.18778,4397.4
1.18780,4949.8
1.18782,5170.8
1.18784,5391.8
1.18786,5502.3
1.18788,5474.7
1.18790,5695.6
1.18792,5723.3
1.18794,5695.6
1.18796,5391.8
1.18798,5391.8
1.18800,5253.7
1.18802,5226.1
1.18804,5253.7
1.18806,5143.2
1.18808,4949.8
1.18810,4728.9
1.18812,4480.3
1.18814,4065.9
1.18816,3789.7
1.18818,3706.9
1.18820,3624.0
1.18822,3485.9
1.18824,3375.4
1.18826,3154.4
1.18828,2712.5
1.18830,2408.6
1.18832,2298.1
1.18834,1966.7
1.18836,1745.7
1.18838,1635.2
1.18840,1607.6
1.18842,1303.8
1.18844,1082.8
1.18846,861.8
1.18848,613.2
1.18850,281.7
1.18852,-49.7
1.18854,-187.8
1.18856,-381.2
1.18858,-602.2
1.18860,-685.0
1.18862,-574.5
1.18864,-574.5
1.18866,-712.6
1.18868,-795.5
1.18870,-906.0
1.18872,-1016.5
1.18874,-1154.6
1.18876,-1237.5
1.18878,-1458.4
1.18880,-1513.7
1.18882,-1486.1
1.18884,-1458.4
1.18886,-1375.6
1.18888,-1347.9
1.18890,-1265.1
1.18892,-1292.7
1.18894,-1375.6
1.18896,-1375.6
1.18898,-1375.6
1.18900,-1375.6
1.18902,-1265.1
1.18904,-906.0
1.18906,-574.5
1.18908,-243.1
1.18910,281.7
1.18912,751.3
1.18914,1165.6
1.18916,1497.1
1.18918,1939.1
1.18920,2270.5
1.18922,2491.5
1.18924,2629.6
1.18926,2712.5
1.18928,2933.4
1.18930,2961.1
1.18932,3264.9
1.18934,3624.0
1.18936,3927.8
1.18938,4148.8
1.18940,4286.9
1.18942,4590.8
1.18944,4949.8
1.18946,5391.8
1.18948,5723.3
1.18950,5833.7
1.18952,6165.2
1.18954,6358.6
1.18956,6358.6
1.18958,6275.7
1.18960,5944.2
1.18962,5916.6
1.18964,5916.6
1.18966,5474.7
1.18968,5060.3
1.18970,4839.4
1.18972,4397.4
1.18974,4038.3
1.18976,3734.5
1.18978,3596.4
1.18980,3292.5
1.18982,3154.4
1.18984,2933.4
1.18986,2629.6
1.18988,2270.5
1.18990,1828.6
1.18992,1497.1
1.18994,1082.8
1.18996,585.6
1.18998,309.4
1.19000,60.8
1.19002,-132.6
1.19004,-243.1
1.19006,-491.7
1.19008,-712.6
1.19010,-961.2
1.19012,-1127.0
1.19014,-1375.6
1.19016,-1679.4
1.19018,-1817.5
1.19020,-1928.0
1.19022,-2066.1
1.19024,-2121.4
1.19026,-2038.5
1.19028,-2121.4
1.19030,-2149.0
1.19032,-2149.0
1.19034,-2231.9
1.19036,-2342.3
1.19038,-2370.0
1.19040,-2342.3
1.19042,-2259.5
1.19044,-2121.4
1.19046,-2038.5
1.19048,-2038.5
1.19050,-1928.0
1.19052,-1900.4
1.19054,-1900.4
1.19056,-1900.4
1.19058,-1817.5
1.19060,-1679.4
1.19062,-1486.1
1.19064,-1265.1
1.19066,-906.0
1.19068,-574.5
1.19070,-270.7
1.19072,-22.1
1.19074,419.9
1.19076,640.8
1.19078,834.2
1.19080,1055.2
1.19082,1276.1
1.19084,1303.8
1.19086,1414.2
1.19088,1690.5
1.19090,1966.7
1.19092,2381.0
1.19094,2933.4
1.19096,3292.5
1.19098,3513.5
1.19100,4010.7
1.19102,4397.4
1.19104,4839.4
1.19106,5060.3
1.19108,5391.8
1.19110,5612.8
1.19112,5806.1
1.19114,5557.5
1.19116,5281.3
1.19118,5253.7
1.19120,5170.8
1.19122,4949.8
1.19124,4922.2
1.19126,4590.8
1.19128,4259.3
1.19130,3845.0
1.19132,3706.9
