# Whack-O-Meter CSV Manager v2
# Original samples: 150000
# Samples/sec: 50000
# Prefix trimmed: 0.00000 - 1.18234 sec
# Suffix trimmed: 1.20852 - 2.99998 sec
# Event start: 1.18234 sec
# Event end: 1.20852 sec
# Baseline (N): -1.9
# Weapon type: Steel Test Ball Drop
# Category: Regenyei_Standard_Federschwert
# Nickname: 24 04 19 00001 1 5 · 5.4kN peak · slow decay
Loadstar Sensors LV-1000HS-10K - Log File
Sensor:,Whackometer 2-0
Samples/Sec:,50000
Test started at (approx):,4/19/2024 3:56 PM
Peak(N):,5412.0
Low(N):,-2128.8
Time (sec),Reading (N) (Whackometer 2-0)
1.18234,-1.9
1.18236,-1.9
1.18238,-1.9
1.18240,-1.9
1.18242,-1.9
1.18244,-1.9
1.18246,25.7
1.18248,80.9
1.18250,-1.9
1.18252,-1.9
1.18254,80.9
1.18256,80.9
1.18258,-1.9
1.18260,25.7
1.18262,80.9
1.18264,-1.9
1.18266,-1.9
1.18268,80.9
1.18270,-1.9
1.18272,-1.9
1.18274,25.7
1.18276,-1.9
1.18278,80.9
1.18280,-1.9
1.18282,-1.9
1.18284,-361.0
1.18286,-140.0
1.18288,80.9
1.18290,108.6
1.18292,219.0
1.18294,329.5
1.18296,661.0
1.18298,1102.9
1.18300,1544.9
1.18302,1848.7
1.18304,2069.7
1.18306,2207.8
1.18308,2622.1
1.18310,2843.1
1.18312,2843.1
1.18314,2843.1
1.18316,2622.1
1.18318,2345.9
1.18320,2318.3
1.18322,2318.3
1.18324,2097.3
1.18326,2511.7
1.18328,2870.7
1.18330,3119.3
1.18332,3285.1
1.18334,3754.6
1.18336,4307.1
1.18338,4638.5
1.18340,5080.5
1.18342,5412.0
1.18344,5384.3
1.18346,5412.0
1.18348,5384.3
1.18350,5384.3
1.18352,5191.0
1.18354,4942.4
1.18356,4638.5
1.18358,4334.7
1.18360,4058.5
1.18362,3506.0
1.18364,3091.7
1.18366,2981.2
1.18368,2843.1
1.18370,2760.3
1.18372,2843.1
1.18374,2870.7
1.18376,2760.3
1.18378,2732.6
1.18380,2732.6
1.18382,2511.7
1.18384,2290.7
1.18386,2069.7
1.18388,1544.9
1.18390,1213.4
1.18392,854.3
1.18394,301.9
1.18396,-333.4
1.18398,-471.5
1.18400,-499.1
1.18402,-775.3
1.18404,-692.5
1.18406,-582.0
1.18408,-803.0
1.18410,-996.3
1.18412,-913.5
1.18414,-913.5
1.18416,-1023.9
1.18418,-996.3
1.18420,-913.5
1.18422,-996.3
1.18424,-996.3
1.18426,-885.8
1.18428,-692.5
1.18430,-692.5
1.18432,-554.4
1.18434,-222.9
1.18436,-1.9
1.18438,219.0
1.18440,522.9
1.18442,909.6
1.18444,1296.3
1.18446,1517.3
1.18448,1627.8
1.18450,1738.2
1.18452,1986.8
1.18454,2207.8
1.18456,2428.8
1.18458,2760.3
1.18460,3064.1
1.18462,3423.2
1.18464,3865.1
1.18466,3975.6
1.18468,4196.6
1.18470,4528.1
1.18472,4528.1
1.18474,4749.0
1.18476,4831.9
1.18478,4610.9
1.18480,4610.9
1.18482,4610.9
1.18484,4528.1
1.18486,4169.0
1.18488,3975.6
1.18490,3975.6
1.18492,3948.0
1.18494,3616.5
1.18496,3340.3
1.18498,3312.7
1.18500,2981.2
1.18502,2649.8
1.18504,2539.3
1.18506,2290.7
1.18508,1876.4
1.18510,1600.1
1.18512,1213.4
1.18514,854.3
1.18516,412.4
1.18518,108.6
1.18520,-222.9
1.18522,-554.4
1.18524,-803.0
1.18526,-913.5
1.18528,-1106.8
1.18530,-1244.9
1.18532,-1355.4
1.18534,-1355.4
1.18536,-1355.4
1.18538,-1355.4
1.18540,-1438.3
1.18542,-1548.8
1.18544,-1548.8
1.18546,-1548.8
1.18548,-1659.2
1.18550,-1659.2
1.18552,-1465.9
1.18554,-1355.4
1.18556,-1106.8
1.18558,-803.0
1.18560,-582.0
1.18562,-250.5
1.18564,53.3
1.18566,440.0
1.18568,771.5
1.18570,992.5
1.18572,1296.3
1.18574,1406.8
1.18576,1544.9
1.18578,1765.9
1.18580,1876.4
1.18582,2069.7
1.18584,2318.3
1.18586,2511.7
1.18588,2622.1
1.18590,2732.6
1.18592,2953.6
1.18594,3174.6
1.18596,3312.7
1.18598,3423.2
1.18600,3506.0
1.18602,3533.7
1.18604,3506.0
1.18606,3423.2
1.18608,3312.7
1.18610,3064.1
1.18612,2870.7
1.18614,2539.3
