# Whack-O-Meter CSV Manager v2
# Original samples: 100000
# Samples/sec: 50000
# Prefix trimmed: 0.00000 - 1.04262 sec
# Suffix trimmed: 1.06572 - 1.99998 sec
# Event start: 1.04262 sec
# Event end: 1.06572 sec
# Baseline (N): 12.4
# Weapon type: Steel Test Ball Drop
# Category: Regenyei_Standard_Federschwert
# Nickname: 24 04 19 00001 1 5 · 5.3kN peak · slow decay
Loadstar Sensors LV-1000HS-10K - Log File
Sensor:,Whackometer 2-0
Samples/Sec:,50000
Test started at (approx):,4/19/2024 3:57 PM
Peak(N):,5260.6
Low(N):,-926.7
Time (sec),Reading (N) (Whackometer 2-0)
1.04262,67.7
1.04264,67.7
1.04266,67.7
1.04268,95.3
1.04270,67.7
1.04272,67.7
1.04274,67.7
1.04276,67.7
1.04278,67.7
1.04280,67.7
1.04282,67.7
1.04284,95.3
1.04286,67.7
1.04288,67.7
1.04290,67.7
1.04292,95.3
1.04294,67.7
1.04296,67.7
1.04298,67.7
1.04300,40.1
1.04302,67.7
1.04304,67.7
1.04306,509.6
1.04308,67.7
1.04310,-15.2
1.04312,67.7
1.04314,122.9
1.04316,288.6
1.04318,620.1
1.04320,979.2
1.04322,1504.0
1.04324,1863.1
1.04326,2056.5
1.04328,2277.4
1.04330,2415.5
1.04332,2415.5
1.04334,2387.9
1.04336,2305.0
1.04338,2084.1
1.04340,1752.6
1.04342,1697.4
1.04344,1614.5
1.04346,1614.5
1.04348,1835.5
1.04350,2305.0
1.04352,2829.9
1.04354,3299.4
1.04356,3796.6
1.04358,4404.3
1.04360,4735.8
1.04362,4956.8
1.04364,5260.6
1.04366,5177.7
1.04368,5067.2
1.04370,4873.9
1.04372,4625.3
1.04374,4376.7
1.04376,4266.2
1.04378,3603.3
1.04380,3382.3
1.04382,3271.8
1.04384,3023.2
1.04386,2829.9
1.04388,2857.5
1.04390,2857.5
1.04392,2940.4
1.04394,3050.8
1.04396,3050.8
1.04398,2857.5
1.04400,2829.9
1.04402,2608.9
1.04404,2498.4
1.04406,2387.9
1.04408,2056.5
1.04410,1642.1
1.04412,1172.6
1.04414,758.2
1.04416,399.1
1.04418,-125.7
1.04420,-346.7
1.04422,-236.2
1.04424,-236.2
1.04426,-457.1
1.04428,-374.3
1.04430,-374.3
1.04432,-567.6
1.04434,-595.3
1.04436,-484.8
1.04438,-484.8
1.04440,-540.0
1.04442,-484.8
1.04444,-374.3
1.04446,-374.3
1.04448,-484.8
1.04450,-374.3
1.04452,-401.9
1.04454,-595.3
1.04456,-705.7
1.04458,-788.6
1.04460,-816.2
1.04462,-816.2
1.04464,-705.7
1.04466,-457.1
1.04468,-125.7
1.04470,178.2
1.04472,620.1
1.04474,1089.7
1.04476,1531.6
1.04478,1863.1
1.04480,2305.0
1.04482,2526.0
1.04484,2719.4
1.04486,2829.9
1.04488,2829.9
1.04490,2608.9
1.04492,2526.0
1.04494,2415.5
1.04496,2277.4
1.04498,2084.1
1.04500,2194.6
1.04502,2277.4
1.04504,2415.5
1.04506,2636.5
1.04508,2885.1
1.04510,3161.3
1.04512,3299.4
1.04514,3409.9
1.04516,3520.4
1.04518,3520.4
1.04520,3299.4
1.04522,3133.7
1.04524,2857.5
1.04526,2415.5
1.04528,2166.9
1.04530,2056.5
1.04532,1725.0
1.04534,1283.0
1.04536,1089.7
1.04538,1089.7
1.04540,868.7
1.04542,730.6
1.04544,730.6
1.04546,758.2
1.04548,730.6
1.04550,592.5
1.04552,620.1
1.04554,426.8
1.04556,205.8
1.04558,178.2
1.04560,67.7
1.04562,-42.8
1.04564,-319.0
1.04566,-484.8
1.04568,-567.6
1.04570,-595.3
1.04572,-678.1
1.04574,-595.3
1.04576,-567.6
1.04578,-401.9
1.04580,-346.7
1.04582,-263.8
1.04584,-236.2
1.04586,-42.8
1.04588,67.7
1.04590,67.7
1.04592,205.8
1.04594,288.6
1.04596,316.3
1.04598,399.1
1.04600,509.6
1.04602,537.2
1.04604,730.6
1.04606,785.8
1.04608,979.2
1.04610,1172.6
1.04612,1310.7
1.04614,1504.0
1.04616,1614.5
1.04618,1835.5
1.04620,1863.1
1.04622,1863.1
1.04624,1946.0
1.04626,2056.5
1.04628,1946.0
1.04630,1946.0
1.04632,1946.0
1.04634,1863.1
1.04636,1835.5
1.04638,1835.5
1.04640,1863.1
1.04642,1835.5
1.04644,1725.0
1.04646,1642.1
1.04648,1697.4
1.04650,1531.6
1.04652,1421.1
1.04654,1310.7
1.04656,1283.0
1.04658,1172.6
1.04660,924.0
1.04662,758.2
1.04664,730.6
1.04666,537.2
1.04668,426.8
1.04670,316.3
1.04672,205.8
1.04674,67.7
1.04676,-42.8
1.04678,-236.2
1.04680,-346.7
1.04682,-374.3
1.04684,-457.1
1.04686,-567.6
1.04688,-595.3
1.04690,-595.3
1.04692,-678.1
1.04694,-788.6
1.04696,-816.2
1.04698,-788.6
1.04700,-816.2
1.04702,-788.6
1.04704,-899.1
1.04706,-816.2
1.04708,-816.2
1.04710,-926.7
1.04712,-899.1
1.04714,-816.2
1.04716,-788.6
1.04718,-678.1
1.04720,-595.3
1.04722,-484.8
1.04724,-457.1
1.04726,-374.3
1.04728,-236.2
1.04730,-153.3
1.04732,-98.1
1.04734,-42.8
1.04736,67.7
1.04738,178.2
1.04740,288.6
1.04742,316.3
1.04744,371.5
1.04746,509.6
1.04748,620.1
1.04750,730.6
1.04752,730.6
1.04754,758.2
1.04756,841.1
1.04758,868.7
1.04760,951.6
1.04762,979.2
1.04764,979.2
1.04766,1062.1
1.04768,1089.7
1.04770,1172.6
1.04772,1227.8
1.04774,1089.7
1.04776,1172.6
1.04778,1200.2
1.04780,1089.7
1.04782,1062.1
1.04784,979.2
1.04786,924.0
1.04788,868.7
1.04790,758.2
1.04792,647.7
1.04794,647.7
1.04796,647.7
1.04798,537.2
1.04800,509.6
1.04802,426.8
1.04804,316.3
1.04806,316.3
1.04808,205.8
1.04810,178.2
1.04812,95.3
1.04814,-15.2
1.04816,-125.7
1.04818,-125.7
1.04820,-153.3
1.04822,-236.2
1.04824,-263.8
1.04826,-346.7
1.04828,-346.7
1.04830,-346.7
1.04832,-374.3
1.04834,-457.1
1.04836,-374.3
1.04838,-374.3
1.04840,-457.1
1.04842,-401.9
1.04844,-346.7
1.04846,-346.7
1.04848,-346.7
1.04850,-236.2
1.04852,-153.3
1.04854,-125.7
1.04856,-98.1
1.04858,-42.8
1.04860,-15.2
1.04862,67.7
1.04864,67.7
1.04866,95.3
1.04868,178.2
1.04870,205.8
1.04872,288.6
1.04874,399.1
1.04876,426.8
1.04878,509.6
1.04880,537.2
1.04882,647.7
1.04884,675.4
1.04886,730.6
1.04888,758.2
1.04890,758.2
1.04892,868.7
1.04894,868.7
1.04896,951.6
1.04898,868.7
1.04900,868.7
1.04902,951.6
1.04904,951.6
1.04906,951.6
1.04908,951.6
1.04910,951.6
1.04912,924.0
1.04914,868.7
1.04916,841.1
1.04918,758.2
1.04920,758.2
1.04922,730.6
1.04924,675.4
1.04926,647.7
1.04928,647.7
1.04930,620.1
1.04932,509.6
1.04934,426.8
1.04936,399.1
1.04938,316.3
1.04940,288.6
1.04942,205.8
1.04944,95.3
1.04946,67.7
1.04948,67.7
1.04950,-15.2
1.04952,-70.4
1.04954,-125.7
1.04956,-125.7
1.04958,-125.7
1.04960,-125.7
1.04962,-125.7
1.04964,-125.7
1.04966,-180.9
1.04968,-236.2
1.04970,-236.2
1.04972,-263.8
1.04974,-263.8
1.04976,-236.2
1.04978,-236.2
1.04980,-236.2
1.04982,-236.2
1.04984,-153.3
1.04986,-125.7
1.04988,-125.7
1.04990,-42.8
1.04992,-15.2
1.04994,12.4
1.04996,67.7
1.04998,95.3
1.05000,95.3
1.05002,178.2
1.05004,178.2
1.05006,205.8
1.05008,261.0
1.05010,316.3
1.05012,316.3
1.05014,399.1
1.05016,426.8
1.05018,509.6
1.05020,537.2
1.05022,537.2
1.05024,537.2
1.05026,537.2
1.05028,620.1
1.05030,647.7
1.05032,647.7
1.05034,647.7
1.05036,675.4
1.05038,730.6
1.05040,730.6
1.05042,730.6
1.05044,730.6
1.05046,758.2
1.05048,730.6
1.05050,703.0
1.05052,647.7
1.05054,647.7
1.05056,620.1
1.05058,620.1
1.05060,620.1
1.05062,537.2
1.05064,509.6
1.05066,537.2
1.05068,509.6
1.05070,509.6
1.05072,509.6
1.05074,426.8
1.05076,399.1
1.05078,399.1
1.05080,316.3
1.05082,288.6
1.05084,205.8
1.05086,205.8
1.05088,205.8
1.05090,95.3
1.05092,122.9
1.05094,178.2
1.05096,95.3
1.05098,67.7
1.05100,95.3
1.05102,178.2
1.05104,95.3
1.05106,150.5
1.05108,178.2
1.05110,178.2
1.05112,178.2
1.05114,95.3
1.05116,95.3
1.05118,178.2
1.05120,95.3
1.05122,95.3
1.05124,95.3
1.05126,178.2
1.05128,178.2
1.05130,178.2
1.05132,205.8
1.05134,233.4
1.05136,288.6
1.05138,288.6
1.05140,288.6
1.05142,288.6
1.05144,288.6
1.05146,288.6
1.05148,261.0
1.05150,288.6
1.05152,288.6
1.05154,288.6
1.05156,316.3
1.05158,316.3
1.05160,316.3
1.05162,316.3
1.05164,316.3
1.05166,316.3
1.05168,316.3
1.05170,288.6
1.05172,316.3
1.05174,288.6
1.05176,261.0
1.05178,288.6
1.05180,288.6
1.05182,288.6
1.05184,288.6
1.05186,288.6
1.05188,288.6
1.05190,261.0
1.05192,288.6
1.05194,205.8
1.05196,205.8
1.05198,178.2
1.05200,205.8
