# Whack-O-Meter CSV Manager v2
# Original samples: 628
# Samples/sec: 50000
# Prefix trimmed: 1.44602 - 1.44624 sec
# Suffix trimmed: 1.44698 - 1.45856 sec
# Event start: 1.44624 sec
# Event end: 1.44698 sec
# Baseline (N): -29.3
# Weapon type: Regenyei Standard Feder
# Category: Regenyei_Standard_Federschwert
# Nickname: Regenyei · 24 04 19 00001 2 · 6.0kN peak · fast decay
Loadstar Sensors LV-1000HS-10K - Log File
Sensor:,Whackometer 2-0
Samples/Sec:,50000
Test started at (approx):,4/19/2024 3:53 PM
Peak(N):,6047.5
Low(N):,-5691.8
Time (sec),Reading (N) (Whackometer 2-0)
1.44624,53.6
1.44626,-5691.8
1.44628,-5249.8
1.44630,-498.9
1.44632,-388.4
1.44634,-333.1
1.44636,-29.3
1.44638,302.2
1.44640,744.1
1.44642,1517.5
1.44644,1959.5
1.44646,2263.3
1.44648,2539.6
1.44650,2815.8
1.44652,3174.9
1.44654,3285.4
1.44656,3064.4
1.44658,2815.8
1.44660,2484.3
1.44662,2070.0
1.44664,1904.3
1.44666,2180.5
1.44668,2705.3
1.44670,3257.7
1.44672,3478.7
1.44674,3810.2
1.44676,4694.1
1.44678,4970.3
1.44680,5384.6
1.44682,5909.4
1.44684,6019.9
1.44686,6047.5
1.44688,5826.6
1.44690,5467.5
1.44692,5274.1
1.44694,5080.8
1.44696,4721.7
1.44698,4279.7
