# Whack-O-Meter CSV Manager v2
# Original samples: 100000
# Samples/sec: 50000
# Prefix trimmed: 0.00000 - 1.23440 sec
# Suffix trimmed: 1.26528 - 1.99998 sec
# Event start: 1.23440 sec
# Event end: 1.26528 sec
# Baseline (N): 49.7
# Weapon type: Steel Test Ball Drop
# Category: Regenyei_Standard_Federschwert
# Nickname: 24 04 19 00001 2 · 7.5kN peak · slow decay
Loadstar Sensors LV-1000HS-10K - Log File
Sensor:,Whackometer 2-0
Samples/Sec:,50000
Test started at (approx):,4/19/2024 4:15 PM
Peak(N):,7452.4
Low(N):,-3016.3
Time (sec),Reading (N) (Whackometer 2-0)
1.23440,49.7
1.23442,49.7
1.23444,49.7
1.23446,49.7
1.23448,22.1
1.23450,49.7
1.23452,49.7
1.23454,49.7
1.23456,49.7
1.23458,49.7
1.23460,49.7
1.23462,22.1
1.23464,49.7
1.23466,49.7
1.23468,49.7
1.23470,49.7
1.23472,49.7
1.23474,49.7
1.23476,49.7
1.23478,22.1
1.23480,49.7
1.23482,49.7
1.23484,49.7
1.23486,49.7
1.23488,49.7
1.23490,49.7
1.23492,49.7
1.23494,49.7
1.23496,49.7
1.23498,-1248.5
1.23500,187.8
1.23502,160.2
1.23504,77.3
1.23506,77.3
1.23508,77.3
1.23510,77.3
1.23512,77.3
1.23514,160.2
1.23516,187.8
1.23518,298.3
1.23520,436.4
1.23522,602.2
1.23524,712.6
1.23526,850.8
1.23528,1154.6
1.23530,1596.5
1.23532,2066.1
1.23534,2508.1
1.23536,3060.5
1.23538,3364.3
1.23540,3585.3
1.23542,3916.8
1.23544,4275.9
1.23546,4690.2
1.23548,5049.3
1.23550,5380.7
1.23552,5601.7
1.23554,5905.6
1.23556,6043.7
1.23558,6154.2
1.23560,6347.5
1.23562,6513.2
1.23564,6706.6
1.23566,6927.6
1.23568,7231.4
1.23570,7341.9
1.23572,7452.4
1.23574,7452.4
1.23576,7286.7
1.23578,7010.4
1.23580,6706.6
1.23582,6347.5
1.23584,6016.1
1.23586,5601.7
1.23588,5353.1
1.23590,5049.3
1.23592,4717.8
1.23594,4358.7
1.23596,4027.3
1.23598,3695.8
1.23600,3392.0
1.23602,2950.0
1.23604,2646.2
1.23606,2370.0
1.23608,2038.5
1.23610,1707.0
1.23612,1403.2
1.23614,1265.1
1.23616,1071.7
1.23618,767.9
1.23620,491.7
1.23622,187.8
1.23624,77.3
1.23626,49.7
1.23628,-33.1
1.23630,-143.6
1.23632,-281.7
1.23634,-502.7
1.23636,-806.6
1.23638,-1027.5
1.23640,-1165.6
1.23642,-1165.6
1.23644,-1027.5
1.23646,-834.2
1.23648,-613.2
1.23650,-585.6
1.23652,-696.1
1.23654,-696.1
1.23656,-613.2
1.23658,-696.1
1.23660,-723.7
1.23662,-778.9
1.23664,-806.6
1.23666,-806.6
1.23668,-723.7
1.23670,-696.1
1.23672,-585.6
1.23674,-392.2
1.23676,-254.1
1.23678,-60.8
1.23680,49.7
1.23682,160.2
1.23684,270.7
1.23686,381.2
1.23688,408.8
1.23690,408.8
1.23692,381.2
1.23694,408.8
1.23696,519.3
1.23698,629.8
1.23700,629.8
1.23702,629.8
1.23704,712.6
1.23706,740.3
1.23708,823.1
1.23710,850.8
1.23712,961.2
1.23714,1154.6
1.23716,1182.2
1.23718,1265.1
1.23720,1403.2
1.23722,1624.2
1.23724,1955.6
1.23726,2370.0
1.23728,2729.0
1.23730,3060.5
1.23732,3364.3
1.23734,3695.8
1.23736,4054.9
1.23738,4275.9
1.23740,4579.7
1.23742,4800.7
1.23744,4938.8
1.23746,5049.3
1.23748,5076.9
1.23750,5159.8
1.23752,5270.3
1.23754,5242.6
1.23756,5242.6
1.23758,5159.8
1.23760,5049.3
1.23762,4938.8
1.23764,4690.2
1.23766,4386.4
1.23768,4054.9
1.23770,3833.9
1.23772,3502.5
1.23774,3143.4
1.23776,2618.6
1.23778,2176.6
1.23780,1734.7
1.23782,1265.1
1.23784,850.8
1.23786,491.7
1.23788,77.3
1.23790,-364.6
1.23792,-723.7
1.23794,-1138.0
1.23796,-1497.1
1.23798,-1911.4
1.23800,-2160.0
1.23802,-2381.0
1.23804,-2657.2
1.23806,-2795.3
1.23808,-2905.8
1.23810,-3016.3
1.23812,-3016.3
1.23814,-3016.3
1.23816,-2905.8
1.23818,-2684.8
1.23820,-2408.6
1.23822,-2132.4
1.23824,-1828.6
1.23826,-1607.6
1.23828,-1248.5
1.23830,-917.0
1.23832,-585.6
1.23834,-60.8
1.23836,491.7
1.23838,1071.7
1.23840,1596.5
1.23842,2038.5
1.23844,2480.4
1.23846,2811.9
1.23848,3088.1
1.23850,3392.0
1.23852,3695.8
1.23854,4027.3
1.23856,4275.9
1.23858,4496.8
1.23860,4800.7
1.23862,4938.8
1.23864,5021.7
1.23866,5049.3
1.23868,5132.2
1.23870,5132.2
1.23872,4938.8
1.23874,4717.8
1.23876,4496.8
1.23878,4165.4
1.23880,3833.9
1.23882,3474.8
1.23884,3143.4
1.23886,2811.9
1.23888,2480.4
1.23890,2176.6
1.23892,1845.1
1.23894,1513.7
1.23896,1154.6
1.23898,823.1
1.23900,491.7
1.23902,77.3
1.23904,-309.4
1.23906,-585.6
1.23908,-834.2
1.23910,-1138.0
1.23912,-1469.5
1.23914,-1607.6
1.23916,-1800.9
1.23918,-1911.4
1.23920,-1939.1
1.23922,-2021.9
1.23924,-2021.9
1.23926,-1911.4
1.23928,-1800.9
1.23930,-1690.5
1.23932,-1607.6
1.23934,-1524.7
1.23936,-1276.1
1.23938,-1138.0
1.23940,-917.0
1.23942,-696.1
1.23944,-475.1
1.23946,-254.1
1.23948,-88.4
1.23950,77.3
1.23952,270.7
1.23954,408.8
1.23956,519.3
1.23958,740.3
1.23960,933.6
1.23962,1071.7
1.23964,1182.2
1.23966,1375.6
1.23968,1513.7
1.23970,1624.2
1.23972,1734.7
1.23974,1845.1
1.23976,1928.0
1.23978,1955.6
1.23980,1955.6
1.23982,1928.0
1.23984,1817.5
1.23986,1707.0
1.23988,1624.2
1.23990,1541.3
1.23992,1403.2
1.23994,1403.2
1.23996,1403.2
1.23998,1375.6
1.24000,1292.7
1.24002,1265.1
1.24004,1154.6
1.24006,1071.7
1.24008,1044.1
1.24010,933.6
1.24012,740.3
1.24014,629.8
1.24016,519.3
1.24018,381.2
1.24020,187.8
1.24022,49.7
1.24024,49.7
1.24026,-33.1
1.24028,-60.8
1.24030,-143.6
1.24032,-143.6
1.24034,-171.3
1.24036,-254.1
1.24038,-281.7
1.24040,-281.7
1.24042,-281.7
1.24044,-364.6
1.24046,-337.0
1.24048,-281.7
1.24050,-281.7
1.24052,-364.6
1.24054,-364.6
1.24056,-364.6
1.24058,-281.7
1.24060,-309.4
1.24062,-281.7
1.24064,-254.1
1.24066,-254.1
1.24068,-254.1
1.24070,-281.7
1.24072,-254.1
1.24074,-198.9
1.24076,-60.8
1.24078,-33.1
1.24080,77.3
1.24082,187.8
1.24084,187.8
1.24086,187.8
1.24088,298.3
1.24090,298.3
1.24092,381.2
1.24094,381.2
1.24096,408.8
1.24098,491.7
1.24100,491.7
1.24102,491.7
1.24104,546.9
1.24106,712.6
1.24108,740.3
1.24110,823.1
1.24112,933.6
1.24114,1044.1
1.24116,1044.1
1.24118,1016.5
1.24120,961.2
1.24122,1044.1
1.24124,961.2
1.24126,961.2
1.24128,961.2
1.24130,961.2
1.24132,1016.5
1.24134,1044.1
1.24136,1044.1
1.24138,1071.7
1.24140,1071.7
1.24142,1044.1
1.24144,1044.1
1.24146,988.9
1.24148,961.2
1.24150,850.8
1.24152,740.3
1.24154,712.6
1.24156,629.8
1.24158,602.2
1.24160,546.9
1.24162,519.3
1.24164,519.3
1.24166,491.7
1.24168,381.2
1.24170,298.3
1.24172,187.8
1.24174,160.2
1.24176,49.7
1.24178,49.7
1.24180,-33.1
1.24182,-143.6
1.24184,-143.6
1.24186,-171.3
1.24188,-171.3
1.24190,-171.3
1.24192,-171.3
1.24194,-143.6
1.24196,-143.6
1.24198,-143.6
1.24200,-171.3
1.24202,-254.1
1.24204,-254.1
1.24206,-254.1
1.24208,-254.1
1.24210,-171.3
1.24212,-143.6
1.24214,-33.1
1.24216,77.3
1.24218,132.6
1.24220,270.7
1.24222,298.3
1.24224,381.2
1.24226,408.8
1.24228,408.8
1.24230,491.7
1.24232,464.0
1.24234,519.3
1.24236,519.3
1.24238,602.2
1.24240,629.8
1.24242,712.6
1.24244,740.3
1.24246,795.5
1.24248,850.8
1.24250,850.8
1.24252,850.8
