# Whack-O-Meter CSV Manager v2
# Original samples: 100000
# Samples/sec: 50000
# Prefix trimmed: 0.00000 - 1.11204 sec
# Suffix trimmed: 1.12018 - 1.99998 sec
# Event start: 1.11204 sec
# Event end: 1.12018 sec
# Baseline (N): 20.7
# Weapon type: Steel Test Ball Drop
# Category: Regenyei_Standard_Federschwert
# Nickname: 24 04 19 00001 2 · 7.1kN peak · fast decay
Loadstar Sensors LV-1000HS-10K - Log File
Sensor:,Whackometer 2-0
Samples/Sec:,50000
Test started at (approx):,4/19/2024 4:17 PM
Peak(N):,7091.9
Low(N):,-614.6
Time (sec),Reading (N) (Whackometer 2-0)
1.11204,-62.1
1.11206,-62.1
1.11208,20.7
1.11210,48.3
1.11212,131.2
1.11214,214.1
1.11216,352.2
1.11218,490.3
1.11220,821.8
1.11222,1153.2
1.11224,1567.5
1.11226,1926.6
1.11228,2313.3
1.11230,2672.4
1.11232,2782.9
1.11234,2893.4
1.11236,3224.9
1.11238,3445.8
1.11240,3583.9
1.11242,3943.0
1.11244,4357.4
1.11246,4578.3
1.11248,4909.8
1.11250,5462.2
1.11252,5904.2
1.11254,6125.2
1.11256,6594.7
1.11258,7009.1
1.11260,7091.9
1.11262,6898.6
1.11264,6760.5
1.11266,6567.1
1.11268,6208.0
1.11270,5848.9
1.11272,5572.7
1.11274,5241.3
1.11276,4882.2
1.11278,4467.8
1.11280,4136.4
1.11282,3887.8
1.11284,3473.5
1.11286,3252.5
1.11288,3142.0
1.11290,3003.9
1.11292,2810.5
1.11294,2589.6
1.11296,2479.1
1.11298,2230.5
1.11300,1788.5
1.11302,1374.2
1.11304,1042.7
1.11306,683.6
1.11308,462.7
1.11310,352.2
1.11312,158.8
1.11314,131.2
1.11316,131.2
1.11318,20.7
1.11320,20.7
1.11322,20.7
1.11324,-172.6
1.11326,-200.3
1.11328,-310.7
1.11330,-338.4
1.11332,-421.2
1.11334,-504.1
1.11336,-393.6
1.11338,-283.1
1.11340,-283.1
1.11342,-172.6
1.11344,-172.6
1.11346,-283.1
1.11348,-310.7
1.11350,-504.1
1.11352,-614.6
1.11354,-614.6
1.11356,-504.1
1.11358,-338.4
1.11360,-200.3
1.11362,-172.6
1.11364,48.3
1.11366,241.7
1.11368,379.8
1.11370,573.2
1.11372,683.6
1.11374,683.6
