# Whack-O-Meter CSV Manager v2
# Original samples: 100000
# Samples/sec: 50000
# Prefix trimmed: 0.00000 - 0.35224 sec
# Suffix trimmed: 1.99998 - 1.99998 sec
# Event start: 0.35224 sec
# Event end: 1.99998 sec
# Baseline (N): -26.0
# Weapon type: Steel Test Ball Drop
# Category: Regenyei_Standard_Federschwert
# Nickname: 24 04 19 00001 2 · 4.4kN peak · slow decay
Loadstar Sensors LV-1000HS-10K - Log File
Sensor:,Whackometer 2-0
Samples/Sec:,50000
Test started at (approx):,4/19/2024 4:18 PM
Peak(N):,4393.5
Low(N):,-1020.4
Time (sec),Reading (N) (Whackometer 2-0)
0.35224,-26.0
0.35226,-26.0
0.35228,-26.0
0.35230,-26.0
0.35232,-26.0
0.35234,-26.0
0.35236,-26.0
0.35238,-26.0
0.35240,-26.0
0.35242,-26.0
0.35244,-26.0
0.35246,-26.0
0.35248,-26.0
0.35250,-26.0
0.35252,-26.0
0.35254,-26.0
0.35256,-26.0
0.35258,-26.0
0.35260,-26.0
0.35262,-26.0
0.35264,-26.0
0.35266,-26.0
0.35268,-26.0
0.35270,-26.0
0.35272,-26.0
0.35274,-26.0
0.35276,-26.0
0.35278,-26.0
0.35280,-26.0
0.35282,-26.0
0.35284,-26.0
0.35286,-26.0
0.35288,-26.0
0.35290,-26.0
0.35292,-26.0
0.35294,-26.0
0.35296,-26.0
0.35298,-26.0
0.35300,-26.0
0.35302,-26.0
0.35304,-53.6
0.35306,-26.0
0.35308,-26.0
0.35310,-26.0
0.35312,-26.0
0.35314,-26.0
0.35316,-26.0
0.35318,-26.0
0.35320,1.7
0.35322,-26.0
0.35324,-26.0
0.35326,-26.0
0.35328,-26.0
0.35330,-26.0
0.35332,-53.6
0.35334,-26.0
0.35336,-26.0
0.35338,-26.0
0.35340,-26.0
0.35342,-26.0
0.35344,-26.0
0.35346,-26.0
0.35348,-26.0
0.35350,-26.0
0.35352,-26.0
0.35354,-26.0
0.35356,-26.0
0.35358,-26.0
0.35360,-26.0
0.35362,-26.0
0.35364,-26.0
0.35366,-26.0
0.35368,-26.0
0.35370,-26.0
0.35372,-26.0
0.35374,-26.0
0.35376,-26.0
0.35378,-26.0
0.35380,-26.0
0.35382,-26.0
0.35384,-26.0
0.35386,56.9
0.35388,-26.0
0.35390,-26.0
0.35392,1.7
0.35394,56.9
0.35396,-26.0
0.35398,-26.0
0.35400,-26.0
0.35402,-26.0
0.35404,-26.0
0.35406,-26.0
0.35408,1.7
0.35410,-26.0
0.35412,-26.0
0.35414,-26.0
0.35416,-26.0
0.35418,56.9
0.35420,-26.0
0.35422,-26.0
0.35424,-26.0
0.35426,-26.0
0.35428,56.9
0.35430,-26.0
0.35432,-26.0
0.35434,-26.0
0.35436,-26.0
0.35438,-26.0
0.35440,-26.0
0.35442,-26.0
0.35444,-26.0
0.35446,-26.0
0.35448,-26.0
0.35450,1.7
0.35452,-26.0
0.35454,-26.0
0.35456,-26.0
0.35458,-26.0
0.35460,-26.0
0.35462,-26.0
0.35464,-26.0
0.35466,-26.0
0.35468,-26.0
0.35470,-26.0
0.35472,-26.0
0.35474,-26.0
0.35476,-26.0
0.35478,1.7
0.35480,-26.0
0.35482,-26.0
0.35484,56.9
0.35486,-26.0
0.35488,-26.0
