# Whack-O-Meter CSV Manager v2
# Original samples: 100000
# Samples/sec: 50000
# Prefix trimmed: 0.00000 - 0.00000 sec
# Suffix trimmed: 1.99998 - 1.99998 sec
# Event start: 0.00000 sec
# Event end: 1.99998 sec
# Baseline (N): 110.5
# Weapon type: Regenyei Standard Feder
# Category: Regenyei_Standard_Federschwert
# Nickname: Regenyei · 24 04 19 00001 2 · 166N peak · slow decay
Loadstar Sensors LV-1000HS-10K - Log File
Sensor:,Whackometer 2-0
Samples/Sec:,50000
Test started at (approx):,4/19/2024 5:05 PM
Peak(N):,165.7
Low(N):,27.6
Time (sec),Reading (N) (Whackometer 2-0)
0.00000,110.5
0.00002,110.5
0.00004,110.5
0.00006,110.5
0.00008,82.9
0.00010,110.5
0.00012,110.5
0.00014,110.5
0.00016,110.5
0.00018,110.5
0.00020,110.5
0.00022,110.5
0.00024,82.9
0.00026,110.5
0.00028,110.5
0.00030,110.5
0.00032,110.5
0.00034,110.5
0.00036,110.5
0.00038,110.5
0.00040,82.9
0.00042,110.5
0.00044,110.5
0.00046,110.5
0.00048,110.5
0.00050,110.5
0.00052,110.5
0.00054,110.5
0.00056,82.9
0.00058,110.5
0.00060,110.5
0.00062,110.5
0.00064,110.5
0.00066,110.5
0.00068,110.5
0.00070,110.5
0.00072,110.5
0.00074,110.5
0.00076,110.5
0.00078,110.5
0.00080,110.5
0.00082,110.5
0.00084,110.5
0.00086,110.5
0.00088,110.5
0.00090,110.5
0.00092,110.5
0.00094,110.5
0.00096,110.5
0.00098,110.5
0.00100,110.5
0.00102,110.5
0.00104,82.9
0.00106,110.5
0.00108,110.5
0.00110,110.5
0.00112,110.5
0.00114,110.5
0.00116,110.5
0.00118,110.5
0.00120,82.9
0.00122,110.5
0.00124,110.5
0.00126,110.5
0.00128,110.5
0.00130,110.5
0.00132,110.5
0.00134,110.5
0.00136,82.9
0.00138,110.5
0.00140,110.5
0.00142,110.5
0.00144,110.5
0.00146,110.5
0.00148,110.5
0.00150,110.5
0.00152,110.5
0.00154,110.5
0.00156,110.5
0.00158,110.5
0.00160,110.5
0.00162,110.5
0.00164,110.5
0.00166,82.9
0.00168,110.5
0.00170,110.5
0.00172,110.5
0.00174,110.5
0.00176,110.5
0.00178,110.5
0.00180,110.5
0.00182,82.9
0.00184,110.5
0.00186,110.5
0.00188,110.5
0.00190,110.5
0.00192,110.5
0.00194,110.5
0.00196,110.5
0.00198,82.9
0.00200,110.5
0.00202,110.5
0.00204,110.5
0.00206,110.5
0.00208,110.5
0.00210,110.5
0.00212,110.5
0.00214,110.5
0.00216,110.5
0.00218,110.5
0.00220,110.5
0.00222,110.5
0.00224,110.5
0.00226,110.5
0.00228,110.5
0.00230,110.5
0.00232,110.5
0.00234,110.5
0.00236,110.5
0.00238,110.5
0.00240,110.5
0.00242,110.5
0.00244,110.5
0.00246,82.9
0.00248,110.5
0.00250,110.5
0.00252,110.5
0.00254,110.5
0.00256,110.5
0.00258,110.5
0.00260,82.9
0.00262,110.5
0.00264,110.5
0.00266,110.5
0.00268,110.5
0.00270,110.5
0.00272,110.5
0.00274,110.5
0.00276,82.9
0.00278,110.5
0.00280,110.5
0.00282,110.5
0.00284,110.5
0.00286,110.5
0.00288,110.5
0.00290,110.5
0.00292,110.5
0.00294,110.5
0.00296,110.5
0.00298,110.5
0.00300,110.5
0.00302,110.5
0.00304,110.5
0.00306,110.5
0.00308,82.9
0.00310,110.5
0.00312,110.5
0.00314,110.5
0.00316,110.5
0.00318,110.5
0.00320,110.5
0.00322,110.5
0.00324,82.9
0.00326,110.5
0.00328,110.5
0.00330,110.5
0.00332,110.5
0.00334,110.5
0.00336,110.5
0.00338,110.5
0.00340,82.9
0.00342,110.5
0.00344,110.5
0.00346,110.5
0.00348,110.5
0.00350,110.5
0.00352,110.5
0.00354,110.5
0.00356,110.5
0.00358,110.5
0.00360,110.5
0.00362,110.5
0.00364,110.5
0.00366,110.5
0.00368,110.5
0.00370,82.9
0.00372,110.5
0.00374,110.5
0.00376,110.5
0.00378,110.5
0.00380,110.5
0.00382,110.5
0.00384,110.5
0.00386,82.9
0.00388,110.5
0.00390,110.5
0.00392,110.5
0.00394,110.5
0.00396,110.5
0.00398,110.5
0.00400,110.5
0.00402,82.9
0.00404,110.5
0.00406,110.5
0.00408,110.5
0.00410,110.5
0.00412,110.5
0.00414,110.5
0.00416,110.5
0.00418,82.9
0.00420,110.5
0.00422,110.5
0.00424,110.5
0.00426,110.5
0.00428,110.5
0.00430,110.5
0.00432,110.5
0.00434,110.5
0.00436,110.5
0.00438,110.5
0.00440,110.5
0.00442,110.5
0.00444,110.5
0.00446,110.5
0.00448,82.9
0.00450,110.5
0.00452,110.5
0.00454,110.5
0.00456,110.5
0.00458,110.5
0.00460,110.5
0.00462,110.5
0.00464,82.9
0.00466,110.5
0.00468,110.5
0.00470,110.5
0.00472,110.5
0.00474,110.5
0.00476,110.5
0.00478,110.5
0.00480,82.9
0.00482,110.5
0.00484,110.5
0.00486,110.5
0.00488,110.5
0.00490,110.5
0.00492,110.5
0.00494,110.5
0.00496,110.5
0.00498,110.5
0.00500,110.5
0.00502,110.5
0.00504,110.5
0.00506,110.5
0.00508,110.5
0.00510,82.9
0.00512,110.5
0.00514,110.5
0.00516,110.5
0.00518,110.5
0.00520,110.5
0.00522,110.5
0.00524,110.5
0.00526,82.9
0.00528,110.5
0.00530,110.5
0.00532,110.5
0.00534,110.5
0.00536,110.5
0.00538,110.5
0.00540,110.5
0.00542,82.9
0.00544,110.5
0.00546,110.5
0.00548,110.5
0.00550,110.5
0.00552,110.5
0.00554,110.5
0.00556,110.5
0.00558,82.9
0.00560,110.5
0.00562,110.5
0.00564,110.5
0.00566,110.5
0.00568,110.5
