# Whack-O-Meter CSV Manager v2
# Original samples: 423
# Samples/sec: 50000
# Prefix trimmed: 1.25568 - 1.25616 sec
# Suffix trimmed: 1.25672 - 1.26412 sec
# Event start: 1.25616 sec
# Event end: 1.25672 sec
# Baseline (N): 577.6
# Weapon type: Regenyei Standard Feder
# Category: Regenyei_Standard_Federschwert
# Nickname: Regenyei · 24 04 19 00001 thrust broke feder · 9.3kN peak · fast decay
Loadstar Sensors LV-1000HS-10K - Log File
Sensor:,Whackometer 2-0
Samples/Sec:,50000
Test started at (approx):,4/19/2024 5:16 PM
Peak(N):,9292.3
Low(N):,-3110.0
Time (sec),Reading (N) (Whackometer 2-0)
1.25616,5287.1
1.25618,5756.7
1.25620,6309.1
1.25622,6861.6
1.25624,7496.9
1.25626,8159.8
1.25628,8822.7
1.25630,9209.4
1.25632,9264.7
1.25634,9292.3
1.25636,9264.7
1.25638,8822.7
1.25640,8159.8
1.25642,7414.0
1.25644,6861.6
1.25646,6281.5
1.25648,5701.4
1.25650,5204.2
1.25652,5204.2
1.25654,5287.1
1.25656,5397.6
1.25658,5729.1
1.25660,5977.7
1.25662,6171.0
1.25664,6226.3
1.25666,6171.0
1.25668,6088.1
1.25670,5729.1
1.25672,5204.2
