# Whack-O-Meter CSV Manager v2
# Original samples: 799
# Samples/sec: 50000
# Prefix trimmed: 1.44810 - 1.44876 sec
# Suffix trimmed: 1.44888 - 1.46406 sec
# Event start: 1.44876 sec
# Event end: 1.44888 sec
# Baseline (N): -213.8
# Weapon type: Regenyei Standard Feder
# Category: Regenyei_Standard_Federschwert
# Nickname: Regenyei · 24 04 19 00001 messing around · 8.4kN peak · fast decay
Loadstar Sensors LV-1000HS-10K - Log File
Sensor:,Whackometer 2-0
Samples/Sec:,50000
Test started at (approx):,4/19/2024 5:14 PM
Peak(N):,8404.2
Low(N):,-5296.2
Time (sec),Reading (N) (Whackometer 2-0)
1.44876,7630.8
1.44878,8100.4
1.44880,8404.2
1.44882,8404.2
1.44884,8376.6
1.44886,8045.2
1.44888,7603.2
