# Whack-O-Meter CSV Manager v2
# Original samples: 100000
# Samples/sec: 50000
# Prefix trimmed: 0.00000 - 1.11156 sec
# Suffix trimmed: 1.16958 - 1.99998 sec
# Event start: 1.11156 sec
# Event end: 1.16958 sec
# Baseline (N): -12.7
# Weapon type: Steel Test Ball Drop
# Category: Regenyei_Standard_Federschwert
# Nickname: 24 04 19 00001 messing around · 6.9kN peak · slow decay
Loadstar Sensors LV-1000HS-10K - Log File
Sensor:,Whackometer 2-0
Samples/Sec:,50000
Test started at (approx):,4/19/2024 5:32 PM
Peak(N):,6948.0
Low(N):,-4653.2
Time (sec),Reading (N) (Whackometer 2-0)
1.11156,-12.7
1.11158,-12.7
1.11160,-12.7
1.11162,42.5
1.11164,-12.7
1.11166,-12.7
1.11168,-12.7
1.11170,-12.7
1.11172,-12.7
1.11174,-12.7
1.11176,-12.7
1.11178,-12.7
1.11180,-12.7
1.11182,-12.7
1.11184,-12.7
1.11186,-12.7
1.11188,-12.7
1.11190,-12.7
1.11192,-12.7
1.11194,-12.7
1.11196,14.9
1.11198,-12.7
1.11200,-12.7
1.11202,-12.7
1.11204,-12.7
1.11206,-12.7
1.11208,-12.7
1.11210,-12.7
1.11212,42.5
1.11214,-12.7
1.11216,-12.7
1.11218,-12.7
1.11220,-12.7
1.11222,-12.7
1.11224,-12.7
1.11226,-12.7
1.11228,-12.7
1.11230,14.9
1.11232,-12.7
1.11234,-12.7
1.11236,-12.7
1.11238,-12.7
1.11240,-12.7
1.11242,-12.7
1.11244,-12.7
1.11246,14.9
1.11248,-12.7
1.11250,-12.7
1.11252,-12.7
1.11254,-12.7
1.11256,-12.7
1.11258,-12.7
1.11260,70.2
1.11262,70.2
1.11264,42.5
1.11266,-4653.2
1.11268,512.1
1.11270,512.1
1.11272,429.2
1.11274,401.6
1.11276,401.6
1.11278,401.6
1.11280,429.2
1.11282,429.2
1.11284,512.1
1.11286,622.6
1.11288,733.1
1.11290,843.6
1.11292,954.1
1.11294,1092.2
1.11296,1202.7
1.11298,1340.8
1.11300,1506.5
1.11302,1644.6
1.11304,1755.1
1.11306,1976.1
1.11308,2169.4
1.11310,2418.0
1.11312,2639.0
1.11314,2915.2
1.11316,3080.9
1.11318,3412.4
1.11320,3716.3
1.11322,4047.7
1.11324,4296.3
1.11326,4600.2
1.11328,4848.8
1.11330,5180.2
1.11332,5401.2
1.11334,5594.5
1.11336,5732.7
1.11338,5953.6
1.11340,6064.1
1.11342,6174.6
1.11344,6368.0
1.11346,6395.6
1.11348,6506.1
1.11350,6616.6
1.11352,6699.4
1.11354,6809.9
1.11356,6837.5
1.11358,6920.4
1.11360,6948.0
1.11362,6920.4
1.11364,6809.9
1.11366,6671.8
1.11368,6506.1
1.11370,6285.1
1.11372,6036.5
1.11374,5815.5
1.11376,5511.7
1.11378,5290.7
1.11380,5042.1
1.11382,4765.9
1.11384,4406.8
1.11386,4185.8
1.11388,3964.8
1.11390,3716.3
1.11392,3495.3
1.11394,3191.4
1.11396,2942.8
1.11398,2639.0
1.11400,2362.8
1.11402,2058.9
1.11404,1727.5
1.11406,1423.6
1.11408,1175.0
1.11410,871.2
1.11412,622.6
1.11414,291.1
1.11416,14.9
1.11418,-150.8
1.11420,-371.8
1.11422,-565.1
1.11424,-675.6
1.11426,-813.7
1.11428,-896.6
1.11430,-924.2
1.11432,-1007.1
1.11434,-1062.3
1.11436,-1145.2
1.11438,-1228.1
1.11440,-1228.1
1.11442,-1255.7
1.11444,-1338.6
1.11446,-1366.2
1.11448,-1366.2
1.11450,-1366.2
1.11452,-1338.6
1.11454,-1255.7
1.11456,-1145.2
1.11458,-1034.7
1.11460,-896.6
1.11462,-703.3
1.11464,-565.1
1.11466,-454.7
1.11468,-233.7
1.11470,-40.3
1.11472,70.2
1.11474,180.6
1.11476,318.8
1.11478,429.2
1.11480,539.7
1.11482,622.6
1.11484,733.1
1.11486,760.7
1.11488,871.2
1.11490,981.7
1.11492,1092.2
1.11494,1175.0
1.11496,1202.7
1.11498,1313.1
1.11500,1313.1
1.11502,1396.0
1.11504,1396.0
1.11506,1396.0
1.11508,1396.0
1.11510,1313.1
1.11512,1285.5
1.11514,1175.0
1.11516,1064.5
1.11518,926.4
1.11520,760.7
1.11522,650.2
1.11524,512.1
1.11526,401.6
1.11528,291.1
1.11530,180.6
1.11532,70.2
1.11534,-40.3
1.11536,-150.8
1.11538,-233.7
1.11540,-371.8
1.11542,-482.3
1.11544,-592.8
1.11546,-703.3
1.11548,-813.7
1.11550,-924.2
1.11552,-1062.3
1.11554,-1145.2
1.11556,-1228.1
1.11558,-1338.6
1.11560,-1338.6
1.11562,-1338.6
1.11564,-1338.6
1.11566,-1338.6
1.11568,-1255.7
1.11570,-1228.1
1.11572,-1117.6
1.11574,-1034.7
1.11576,-924.2
1.11578,-896.6
1.11580,-786.1
1.11582,-703.3
1.11584,-675.6
1.11586,-592.8
1.11588,-482.3
1.11590,-371.8
1.11592,-344.2
1.11594,-233.7
1.11596,-123.2
1.11598,-12.7
1.11600,97.8
1.11602,208.3
1.11604,291.1
1.11606,429.2
1.11608,539.7
1.11610,650.2
1.11612,733.1
1.11614,760.7
1.11616,843.6
1.11618,843.6
1.11620,871.2
1.11622,843.6
1.11624,843.6
1.11626,843.6
1.11628,843.6
1.11630,760.7
1.11632,760.7
1.11634,733.1
1.11636,650.2
1.11638,677.8
1.11640,622.6
1.11642,622.6
1.11644,539.7
1.11646,512.1
1.11648,512.1
1.11650,429.2
1.11652,318.8
1.11654,208.3
1.11656,125.4
1.11658,-12.7
1.11660,-123.2
1.11662,-150.8
1.11664,-261.3
1.11666,-371.8
1.11668,-371.8
1.11670,-454.7
1.11672,-482.3
1.11674,-565.1
1.11676,-565.1
1.11678,-565.1
1.11680,-565.1
1.11682,-565.1
1.11684,-592.8
1.11686,-675.6
1.11688,-675.6
1.11690,-648.0
1.11692,-675.6
1.11694,-675.6
1.11696,-675.6
1.11698,-675.6
1.11700,-592.8
1.11702,-565.1
1.11704,-482.3
1.11706,-454.7
1.11708,-371.8
1.11710,-261.3
1.11712,-233.7
1.11714,-123.2
1.11716,-12.7
1.11718,97.8
1.11720,180.6
1.11722,208.3
1.11724,318.8
1.11726,401.6
1.11728,429.2
1.11730,512.1
1.11732,539.7
1.11734,622.6
1.11736,650.2
1.11738,733.1
1.11740,760.7
1.11742,843.6
1.11744,871.2
1.11746,954.1
1.11748,954.1
1.11750,981.7
1.11752,981.7
1.11754,981.7
1.11756,981.7
1.11758,954.1
1.11760,926.4
1.11762,871.2
1.11764,843.6
1.11766,733.1
1.11768,650.2
1.11770,622.6
1.11772,539.7
1.11774,512.1
1.11776,401.6
1.11778,318.8
1.11780,291.1
1.11782,208.3
1.11784,97.8
1.11786,70.2
1.11788,-12.7
1.11790,-40.3
1.11792,-123.2
1.11794,-261.3
1.11796,-344.2
1.11798,-371.8
1.11800,-454.7
1.11802,-482.3
1.11804,-592.8
1.11806,-592.8
1.11808,-675.6
1.11810,-675.6
1.11812,-703.3
1.11814,-703.3
1.11816,-675.6
1.11818,-675.6
1.11820,-675.6
1.11822,-592.8
1.11824,-565.1
1.11826,-565.1
1.11828,-509.9
1.11830,-454.7
1.11832,-454.7
1.11834,-371.8
1.11836,-261.3
1.11838,-233.7
1.11840,-150.8
1.11842,-123.2
