Loadstar Sensors LV-1000HS-10K - Log File
Sensor:,Whackometer 2-0
Samples/Sec:,50000
Test started at (approx):,4/19/2024 5:50 PM
Peak(N):,3699.7
Low(N):,-747.4
Time (sec),Reading (N) (Whackometer 2-0)
0.00000,26.0
0.00002,53.6
0.00004,53.6
0.00006,53.6
0.00008,26.0
0.00010,26.0
0.00012,26.0
0.00014,26.0
0.00016,26.0
0.00018,26.0
0.00020,53.6
0.00022,53.6
0.00024,26.0
0.00026,26.0
0.00028,26.0
0.00030,-1.7
0.00032,53.6
0.00034,26.0
0.00036,53.6
0.00038,26.0
0.00040,53.6
0.00042,53.6
0.00044,26.0
0.00046,26.0
0.00048,26.0
0.00050,26.0
0.00052,53.6
0.00054,26.0
0.00056,26.0
0.00058,26.0
0.00060,26.0
0.00062,53.6
0.00064,53.6
0.00066,53.6
0.00068,26.0
0.00070,26.0
0.00072,53.6
0.00074,26.0
0.00076,26.0
0.00078,26.0
0.00080,26.0
0.00082,53.6
0.00084,26.0
0.00086,26.0
0.00088,26.0
0.00090,53.6
0.00092,53.6
0.00094,26.0
0.00096,26.0
0.00098,26.0
0.00100,26.0
0.00102,26.0
0.00104,53.6
0.00106,26.0
0.00108,26.0
0.00110,53.6
0.00112,53.6
0.00114,26.0
0.00116,26.0
0.00118,26.0
0.00120,26.0
0.00122,26.0
0.00124,26.0
0.00126,26.0
0.00128,26.0
0.00130,26.0
0.00132,26.0
0.00134,26.0
0.00136,53.6
0.00138,26.0
0.00140,26.0
0.00142,26.0
0.00144,26.0
0.00146,26.0
0.00148,26.0
0.00150,26.0
0.00152,53.6
0.00154,26.0
0.00156,26.0
0.00158,26.0
0.00160,26.0
0.00162,53.6
0.00164,26.0
0.00166,26.0
0.00168,26.0
0.00170,26.0
0.00172,26.0
0.00174,53.6
0.00176,26.0
0.00178,26.0
0.00180,26.0
0.00182,53.6
0.00184,26.0
0.00186,53.6
0.00188,26.0
0.00190,26.0
0.00192,53.6
0.00194,26.0
0.00196,26.0
0.00198,26.0
0.00200,53.6
0.00202,26.0
0.00204,26.0
0.00206,53.6
0.00208,26.0
0.00210,26.0
0.00212,53.6
0.00214,26.0
0.00216,26.0
0.00218,26.0
0.00220,53.6
0.00222,53.6
0.00224,26.0
0.00226,26.0
0.00228,26.0
0.00230,26.0
0.00232,53.6
0.00234,26.0
0.00236,26.0
0.00238,26.0
0.00240,53.6
0.00242,53.6
0.00244,26.0
0.00246,26.0
0.00248,26.0
0.00250,26.0
0.00252,26.0
0.00254,26.0
0.00256,26.0
0.00258,26.0
0.00260,53.6
0.00262,53.6
0.00264,26.0
0.00266,26.0
0.00268,26.0
0.00270,26.0
0.00272,26.0
0.00274,26.0
0.00276,26.0
0.00278,26.0
0.00280,26.0
0.00282,53.6
0.00284,26.0
0.00286,26.0
0.00288,26.0
0.00290,26.0
0.00292,26.0
0.00294,26.0
0.00296,26.0
0.00298,26.0
0.00300,26.0
0.00302,26.0
0.00304,26.0
0.00306,26.0
0.00308,26.0
0.00310,26.0
0.00312,26.0
0.00314,26.0
0.00316,26.0
0.00318,26.0
0.00320,26.0
0.00322,26.0
0.00324,26.0
0.00326,26.0
0.00328,26.0
0.00330,26.0
0.00332,26.0
0.00334,26.0
0.00336,26.0
0.00338,26.0
0.00340,53.6
0.00342,53.6
0.00344,26.0
0.00346,26.0
0.00348,26.0
0.00350,26.0
0.00352,26.0
0.00354,26.0
0.00356,26.0
0.00358,26.0
0.00360,53.6
0.00362,53.6
0.00364,26.0
0.00366,26.0
0.00368,26.0
0.00370,53.6
0.00372,26.0
0.00374,26.0
0.00376,26.0
0.00378,26.0
0.00380,26.0
0.00382,53.6
0.00384,26.0
0.00386,26.0
0.00388,26.0
0.00390,53.6
0.00392,26.0
0.00394,53.6
0.00396,26.0
0.00398,26.0
0.00400,26.0
0.00402,26.0
0.00404,26.0
0.00406,26.0
0.00408,26.0
0.00410,53.6
0.00412,26.0
0.00414,26.0
0.00416,26.0
0.00418,26.0
0.00420,26.0
0.00422,26.0
0.00424,26.0
0.00426,26.0
0.00428,26.0
0.00430,26.0
0.00432,53.6
0.00434,26.0
0.00436,26.0
0.00438,26.0
0.00440,26.0
0.00442,53.6
0.00444,26.0
0.00446,26.0
0.00448,26.0
0.00450,26.0
0.00452,53.6
0.00454,26.0
0.00456,53.6
0.00458,26.0
0.00460,26.0
0.00462,53.6
0.00464,53.6
0.00466,26.0
0.00468,26.0
0.00470,53.6
0.00472,53.6
0.00474,26.0
0.00476,26.0
0.00478,26.0
0.00480,-1.7
0.00482,53.6
0.00484,26.0
0.00486,26.0
0.00488,26.0
0.00490,26.0
0.00492,53.6
0.00494,26.0
0.00496,26.0
0.00498,26.0
0.00500,26.0
0.00502,26.0
0.00504,26.0
0.00506,26.0
0.00508,26.0
0.00510,26.0
0.00512,26.0
0.00514,26.0
0.00516,26.0
0.00518,-1.7
0.00520,53.6
0.00522,53.6
0.00524,26.0
0.00526,26.0
0.00528,26.0
0.00530,26.0
0.00532,26.0
0.00534,26.0
0.00536,26.0
0.00538,26.0
0.00540,26.0
0.00542,26.0
0.00544,26.0
0.00546,26.0
0.00548,26.0
0.00550,26.0
0.00552,26.0
0.00554,-1.7
0.00556,26.0
0.00558,26.0
0.00560,26.0
0.00562,26.0
0.00564,26.0
0.00566,26.0
0.00568,26.0
0.00570,26.0
0.00572,26.0
0.00574,26.0
0.00576,26.0
0.00578,26.0
0.00580,26.0
0.00582,26.0
0.00584,26.0
0.00586,26.0
0.00588,26.0
0.00590,26.0
0.00592,53.6
0.00594,26.0
0.00596,26.0
0.00598,26.0
0.00600,26.0
0.00602,26.0
0.00604,26.0
0.00606,26.0
0.00608,26.0
0.00610,26.0
0.00612,26.0
0.00614,26.0
0.00616,26.0
0.00618,26.0
0.00620,53.6
0.00622,53.6
0.00624,53.6
0.00626,26.0
0.00628,26.0
0.00630,26.0
0.00632,26.0
0.00634,26.0
0.00636,26.0
0.00638,26.0
0.00640,53.6
0.00642,53.6
0.00644,26.0
0.00646,26.0
0.00648,26.0
0.00650,53.6
0.00652,26.0
0.00654,26.0
0.00656,26.0
0.00658,26.0
0.00660,26.0
0.00662,53.6
0.00664,26.0
0.00666,26.0
0.00668,26.0
0.00670,26.0
