# Whack-O-Meter CSV Manager v2
# Original samples: 52676
# Samples/sec: 50000
# Prefix trimmed: 0.61610 - 1.59114 sec
# Suffix trimmed: 1.60558 - 1.66960 sec
# Event start: 1.59114 sec
# Event end: 1.60558 sec
# Baseline (N): 46.4
# Weapon type: Regenyei Standard Feder
# Category: Regenyei_Standard_Federschwert
# Nickname: Regenyei · 24 04 19 00001 messing around · 4.7kN peak · slow decay
Loadstar Sensors LV-1000HS-10K - Log File
Sensor:,Whackometer 2-0
Samples/Sec:,50000
Test started at (approx):,4/19/2024 5:50 PM
Peak(N):,4714.5
Low(N):,-1500.4
Time (sec),Reading (N) (Whackometer 2-0)
1.59114,46.4
1.59116,46.4
1.59118,46.4
1.59120,74.0
1.59122,46.4
1.59124,74.0
1.59126,18.8
1.59128,-36.5
1.59130,-64.1
1.59132,-146.9
1.59134,-64.1
1.59136,74.0
1.59138,295.0
1.59140,516.0
1.59142,737.0
1.59144,957.9
1.59146,1178.9
1.59148,1399.9
1.59150,1841.8
1.59152,2366.6
1.59154,2725.7
1.59156,3140.1
1.59158,3499.1
1.59160,3803.0
1.59162,4024.0
1.59164,4162.1
1.59166,4217.3
1.59168,4272.6
1.59170,4383.0
1.59172,4576.4
1.59174,4604.0
1.59176,4714.5
1.59178,4714.5
1.59180,4714.5
1.59182,4686.9
1.59184,4631.6
1.59186,4686.9
1.59188,4714.5
1.59190,4714.5
1.59192,4686.9
1.59194,4383.0
1.59196,4051.6
1.59198,3692.5
1.59200,3278.2
1.59202,2919.1
1.59204,2615.2
1.59206,2173.3
1.59208,1841.8
1.59210,1510.4
1.59212,1289.4
1.59214,1068.4
1.59216,847.4
1.59218,737.0
1.59220,626.5
1.59222,488.4
1.59224,377.9
1.59226,184.5
1.59228,-36.5
1.59230,-174.6
1.59232,-367.9
1.59234,-506.0
1.59236,-699.4
1.59238,-837.5
1.59240,-1058.5
1.59242,-1196.6
1.59244,-1362.3
1.59246,-1472.8
1.59248,-1472.8
1.59250,-1362.3
1.59252,-1251.8
1.59254,-1058.5
1.59256,-920.4
1.59258,-699.4
1.59260,-478.4
1.59262,-146.9
1.59264,156.9
1.59266,405.5
1.59268,737.0
1.59270,1040.8
1.59272,1261.8
1.59274,1289.4
1.59276,1289.4
1.59278,1372.3
1.59280,1344.6
1.59282,1372.3
1.59284,1372.3
1.59286,1399.9
1.59288,1510.4
1.59290,1703.7
1.59292,1814.2
1.59294,1841.8
1.59296,1952.3
1.59298,2145.7
1.59300,2256.2
1.59302,2366.6
1.59304,2366.6
1.59306,2366.6
1.59308,2283.8
1.59310,2173.3
1.59312,2062.8
1.59314,1952.3
1.59316,1952.3
1.59318,1952.3
1.59320,2062.8
1.59322,2173.3
1.59324,2394.3
1.59326,2587.6
1.59328,2615.2
1.59330,2698.1
1.59332,2808.6
1.59334,2836.2
1.59336,2836.2
1.59338,2725.7
1.59340,2587.6
1.59342,2394.3
1.59344,2145.7
1.59346,1841.8
1.59348,1510.4
1.59350,1289.4
1.59352,1151.3
1.59354,957.9
1.59356,737.0
1.59358,571.2
1.59360,377.9
1.59362,156.9
1.59364,46.4
1.59366,-64.1
1.59368,-174.6
1.59370,-257.4
1.59372,-367.9
1.59374,-395.5
1.59376,-616.5
1.59378,-837.5
1.59380,-975.6
1.59382,-1141.3
1.59384,-1251.8
1.59386,-1362.3
1.59388,-1389.9
1.59390,-1389.9
1.59392,-1472.8
1.59394,-1500.4
1.59396,-1500.4
1.59398,-1389.9
1.59400,-1169.0
1.59402,-920.4
1.59404,-727.0
1.59406,-506.0
1.59408,-367.9
1.59410,-174.6
1.59412,-146.9
1.59414,-64.1
1.59416,-36.5
1.59418,74.0
1.59420,156.9
1.59422,267.4
1.59424,295.0
1.59426,405.5
1.59428,516.0
1.59430,626.5
1.59432,819.8
1.59434,1040.8
1.59436,1261.8
1.59438,1427.5
1.59440,1510.4
1.59442,1593.2
1.59444,1593.2
1.59446,1510.4
1.59448,1399.9
1.59450,1372.3
1.59452,1372.3
1.59454,1289.4
1.59456,1261.8
1.59458,1178.9
1.59460,1178.9
1.59462,1151.3
1.59464,1068.4
1.59466,1040.8
1.59468,1040.8
1.59470,1068.4
1.59472,1068.4
1.59474,1151.3
1.59476,1178.9
1.59478,1261.8
1.59480,1261.8
1.59482,1261.8
1.59484,1178.9
1.59486,1151.3
1.59488,1151.3
1.59490,1151.3
1.59492,1068.4
1.59494,957.9
1.59496,847.4
1.59498,626.5
1.59500,516.0
1.59502,405.5
1.59504,267.4
1.59506,156.9
1.59508,156.9
1.59510,74.0
1.59512,-36.5
1.59514,-146.9
1.59516,-146.9
1.59518,-146.9
1.59520,-146.9
1.59522,-36.5
1.59524,156.9
1.59526,295.0
1.59528,488.4
1.59530,626.5
1.59532,847.4
1.59534,957.9
1.59536,1151.3
1.59538,1372.3
1.59540,1510.4
1.59542,1731.3
1.59544,2035.2
1.59546,2145.7
1.59548,2256.2
1.59550,2366.6
1.59552,2477.1
1.59554,2394.3
1.59556,2394.3
1.59558,2504.8
1.59560,2477.1
1.59562,2504.8
1.59564,2477.1
1.59566,2394.3
1.59568,2366.6
1.59570,2256.2
1.59572,2173.3
1.59574,2118.0
1.59576,1952.3
1.59578,1814.2
1.59580,1620.9
1.59582,1510.4
1.59584,1289.4
1.59586,1040.8
1.59588,819.8
1.59590,598.8
1.59592,405.5
1.59594,184.5
1.59596,-36.5
1.59598,-257.4
1.59600,-395.5
1.59602,-588.9
1.59604,-699.4
1.59606,-727.0
1.59608,-727.0
1.59610,-699.4
1.59612,-533.7
1.59614,-395.5
1.59616,-367.9
1.59618,-257.4
1.59620,-174.6
1.59622,-64.1
1.59624,-36.5
1.59626,-36.5
1.59628,-36.5
1.59630,46.4
1.59632,74.0
1.59634,74.0
1.59636,156.9
1.59638,184.5
1.59640,295.0
1.59642,405.5
1.59644,598.8
1.59646,737.0
1.59648,930.3
1.59650,1040.8
1.59652,1206.5
1.59654,1289.4
1.59656,1399.9
1.59658,1399.9
1.59660,1372.3
1.59662,1399.9
1.59664,1372.3
1.59666,1261.8
1.59668,1151.3
1.59670,1068.4
1.59672,1040.8
1.59674,930.3
1.59676,847.4
1.59678,847.4
1.59680,847.4
1.59682,847.4
1.59684,847.4
1.59686,930.3
