# Whack-O-Meter CSV Manager v1
# Original samples: 50000
# Samples/sec: 50000
# Prefix trimmed: 0.00000 - 0.68108 sec
# Suffix trimmed: 0.80650 - 0.99998 sec
# Event start: 0.68108 sec
# Event end: 0.80650 sec
# Baseline (N): 2.5
# Nickname: control bare plate · 9.4kN peak · slow decay
Loadstar Sensors LV-1000HS-10K - Log File
Sensor:,Whackometer 2-0
Samples/Sec:,50000
Test started at (approx):,5/1/2024 6:56 PM
Peak(N):,9421.6
Low(N):,-3284.5
Time (sec),Reading (N) (Whackometer 2-0)
0.68108,2.5
0.68110,2.5
0.68112,2.5
0.68114,2.5
0.68116,2.5
0.68118,2.5
0.68120,2.5
0.68122,2.5
0.68124,-25.1
0.68126,30.1
0.68128,2.5
0.68130,2.5
0.68132,2.5
0.68134,2.5
0.68136,2.5
0.68138,2.5
0.68140,2.5
0.68142,2.5
0.68144,2.5
0.68146,2.5
0.68148,2.5
0.68150,30.1
0.68152,2.5
0.68154,2.5
0.68156,2.5
0.68158,2.5
0.68160,2.5
0.68162,2.5
0.68164,2.5
0.68166,2.5
0.68168,2.5
0.68170,2.5
0.68172,2.5
0.68174,2.5
0.68176,2.5
0.68178,2.5
0.68180,2.5
0.68182,2.5
0.68184,2.5
0.68186,2.5
0.68188,2.5
0.68190,2.5
0.68192,2.5
0.68194,2.5
0.68196,2.5
0.68198,2.5
0.68200,2.5
0.68202,2.5
0.68204,2.5
0.68206,2.5
0.68208,2.5
0.68210,2.5
0.68212,2.5
0.68214,2.5
0.68216,2.5
0.68218,2.5
0.68220,2.5
0.68222,2.5
0.68224,2.5
0.68226,2.5
0.68228,2.5
0.68230,2.5
0.68232,2.5
0.68234,2.5
0.68236,2.5
0.68238,2.5
0.68240,2.5
0.68242,2.5
0.68244,2.5
0.68246,2.5
0.68248,2.5
0.68250,2.5
0.68252,2.5
0.68254,2.5
0.68256,2.5
0.68258,2.5
0.68260,2.5
0.68262,2.5
0.68264,2.5
0.68266,2.5
0.68268,2.5
0.68270,2.5
0.68272,2.5
0.68274,2.5
0.68276,2.5
0.68278,2.5
0.68280,2.5
0.68282,30.1
0.68284,30.1
