# Whack-O-Meter CSV Manager v1
# Original samples: 50000
# Samples/sec: 50000
# Prefix trimmed: 0.00000 - 0.72504 sec
# Suffix trimmed: 0.85934 - 0.99998 sec
# Event start: 0.72504 sec
# Event end: 0.85934 sec
# Baseline (N): 2.8
# Nickname: control bare plate · 9.4kN peak · slow decay · run 3
Loadstar Sensors LV-1000HS-10K - Log File
Sensor:,Whackometer 2-0
Samples/Sec:,50000
Test started at (approx):,5/1/2024 6:58 PM
Peak(N):,9421.8
Low(N):,-3974.8
Time (sec),Reading (N) (Whackometer 2-0)
0.72504,2.8
0.72506,2.8
0.72508,2.8
0.72510,2.8
0.72512,2.8
0.72514,2.8
0.72516,2.8
0.72518,2.8
0.72520,2.8
0.72522,2.8
0.72524,2.8
0.72526,2.8
0.72528,2.8
0.72530,30.4
0.72532,2.8
0.72534,2.8
0.72536,2.8
0.72538,2.8
0.72540,30.4
0.72542,30.4
0.72544,2.8
0.72546,2.8
0.72548,2.8
0.72550,30.4
0.72552,2.8
0.72554,2.8
0.72556,2.8
0.72558,2.8
0.72560,2.8
0.72562,2.8
0.72564,2.8
0.72566,2.8
0.72568,2.8
0.72570,2.8
0.72572,2.8
0.72574,2.8
0.72576,2.8
0.72578,2.8
0.72580,2.8
0.72582,30.4
0.72584,2.8
0.72586,2.8
0.72588,2.8
0.72590,2.8
0.72592,2.8
0.72594,2.8
0.72596,2.8
0.72598,2.8
0.72600,2.8
0.72602,2.8
0.72604,2.8
0.72606,2.8
0.72608,2.8
0.72610,2.8
0.72612,2.8
0.72614,2.8
0.72616,2.8
0.72618,2.8
0.72620,30.4
0.72622,2.8
0.72624,2.8
0.72626,30.4
0.72628,30.4
0.72630,2.8
0.72632,2.8
0.72634,2.8
0.72636,2.8
0.72638,2.8
0.72640,2.8
0.72642,2.8
0.72644,2.8
0.72646,2.8
0.72648,2.8
0.72650,2.8
0.72652,2.8
0.72654,2.8
0.72656,2.8
0.72658,2.8
0.72660,30.4
0.72662,2.8
0.72664,2.8
0.72666,2.8
0.72668,2.8
0.72670,30.4
0.72672,2.8
0.72674,2.8
0.72676,2.8
0.72678,2.8
0.72680,2.8
0.72682,2.8
0.72684,2.8
0.72686,2.8
0.72688,2.8
0.72690,30.4
0.72692,2.8
0.72694,2.8
0.72696,2.8
0.72698,2.8
0.72700,2.8
0.72702,2.8
0.72704,2.8
0.72706,2.8
0.72708,30.4
0.72710,30.4
0.72712,30.4
0.72714,30.4
0.72716,30.4
0.72718,30.4
0.72720,30.4
0.72722,30.4
0.72724,30.4
0.72726,30.4
0.72728,30.4
0.72730,30.4
0.72732,30.4
0.72734,30.4
0.72736,30.4
0.72738,30.4
0.72740,113.2
0.72742,30.4
0.72744,30.4
0.72746,113.2
0.72748,113.2
0.72750,113.2
0.72752,140.9
0.72754,196.1
0.72756,251.4
0.72758,334.2
0.72760,472.3
0.72762,693.3
0.72764,914.3
0.72766,1328.6
0.72768,1770.6
0.72770,2323.0
0.72772,2792.6
0.72774,3345.0
0.72776,3869.8
0.72778,4228.9
0.72780,4560.4
0.72782,4864.2
0.72784,5085.2
0.72786,5306.2
0.72788,5527.1
0.72790,5775.7
0.72792,6107.2
0.72794,6521.5
0.72796,6963.5
0.72798,7433.1
0.72800,7875.0
0.72802,8317.0
0.72804,8758.9
0.72806,9090.4
0.72808,9311.3
0.72810,9421.8
0.72812,9394.2
0.72814,9283.7
0.72816,8979.9
0.72818,8593.2
0.72820,8096.0
0.72822,7626.4
0.72824,7101.6
0.72826,6742.5
0.72828,6300.6
0.72830,5969.1
0.72832,5637.6
0.72834,5306.2
0.72836,4974.7
0.72838,4670.9
0.72840,4422.3
0.72842,4118.4
0.72844,3787.0
0.72846,3538.4
0.72848,3206.9
0.72850,2903.1
0.72852,2544.0
0.72854,2212.5
0.72856,1908.7
0.72858,1687.7
0.72860,1577.2
0.72862,1549.6
0.72864,1439.1
0.72866,1356.2
0.72868,1328.6
0.72870,1328.6
0.72872,1245.7
0.72874,1328.6
0.72876,1466.7
0.72878,1660.1
0.72880,1825.8
0.72882,1991.5
0.72884,2102.0
0.72886,2129.6
0.72888,2129.6
0.72890,2102.0
0.72892,1991.5
0.72894,1991.5
0.72896,1991.5
0.72898,2019.2
0.72900,2102.0
0.72902,2129.6
0.72904,2323.0
0.72906,2544.0
0.72908,2792.6
0.72910,3124.0
0.72912,3455.5
0.72914,3787.0
0.72916,4118.4
0.72918,4422.3
0.72920,4532.8
0.72922,4532.8
0.72924,4339.4
0.72926,4201.3
0.72928,3869.8
0.72930,3455.5
0.72932,3124.0
0.72934,2792.6
0.72936,2544.0
0.72938,2240.1
0.72940,2129.6
0.72942,2046.8
0.72944,1991.5
0.72946,1798.2
0.72948,1687.7
0.72950,1577.2
0.72952,1439.1
0.72954,1218.1
0.72956,1024.8
0.72958,776.2
0.72960,555.2
0.72962,251.4
0.72964,113.2
0.72966,2.8
0.72968,-80.1
0.72970,-218.2
0.72972,-411.6
0.72974,-549.7
0.72976,-770.7
0.72978,-991.6
0.72980,-1185.0
0.72982,-1406.0
0.72984,-1626.9
0.72986,-1765.0
0.72988,-1847.9
0.72990,-1847.9
0.72992,-1875.5
0.72994,-1986.0
0.72996,-2068.9
0.72998,-2207.0
0.73000,-2428.0
0.73002,-2621.3
0.73004,-2814.7
0.73006,-2980.4
0.73008,-3173.8
0.73010,-3284.2
0.73012,-3311.9
0.73014,-3394.7
0.73016,-3394.7
0.73018,-3311.9
0.73020,-3311.9
0.73022,-3201.4
0.73024,-3063.3
0.73026,-2869.9
0.73028,-2759.4
0.73030,-2621.3
0.73032,-2510.8
0.73034,-2428.0
0.73036,-2428.0
0.73038,-2510.8
0.73040,-2510.8
0.73042,-2510.8
0.73044,-2538.5
0.73046,-2428.0
0.73048,-2317.5
0.73050,-2207.0
0.73052,-1986.0
0.73054,-1765.0
0.73056,-1433.6
0.73058,-1074.5
0.73060,-632.5
0.73062,-190.6
0.73064,334.2
0.73066,803.8
0.73068,1245.7
0.73070,1687.7
0.73072,2019.2
0.73074,2240.1
0.73076,2433.5
0.73078,2544.0
0.73080,2544.0
0.73082,2571.6
0.73084,2682.1
0.73086,2792.6
0.73088,2985.9
0.73090,3124.0
0.73092,3427.9
0.73094,3648.9
0.73096,3787.0
0.73098,3897.5
0.73100,4007.9
0.73102,3980.3
0.73104,3897.5
0.73106,3787.0
0.73108,3566.0
0.73110,3345.0
0.73112,3013.6
0.73114,2654.5
0.73116,2240.1
0.73118,1881.1
0.73120,1439.1
0.73122,997.2
0.73124,582.8
