# Whack-O-Meter CSV Manager v1
# Original samples: 50000
# Samples/sec: 50000
# Prefix trimmed: 0.00000 - 0.88112 sec
# Suffix trimmed: 0.96742 - 0.99998 sec
# Event start: 0.88112 sec
# Event end: 0.96742 sec
# Baseline (N): -18.0
# Nickname: control bare plate · 8.7kN peak · slow decay · run 2
Loadstar Sensors LV-1000HS-10K - Log File
Sensor:,Whackometer 2-0
Samples/Sec:,50000
Test started at (approx):,5/1/2024 6:59 PM
Peak(N):,8682.9
Low(N):,-3139.2
Time (sec),Reading (N) (Whackometer 2-0)
0.88112,-18.0
0.88114,-18.0
0.88116,-18.0
0.88118,-18.0
0.88120,-18.0
0.88122,-18.0
0.88124,-18.0
0.88126,-18.0
0.88128,-18.0
0.88130,-18.0
0.88132,-18.0
0.88134,-18.0
0.88136,-18.0
0.88138,64.9
0.88140,-18.0
0.88142,-18.0
0.88144,-18.0
0.88146,64.9
0.88148,-18.0
0.88150,37.3
0.88152,-18.0
0.88154,-18.0
0.88156,-18.0
0.88158,-18.0
0.88160,-18.0
0.88162,-18.0
0.88164,-18.0
0.88166,-18.0
0.88168,-18.0
0.88170,-18.0
0.88172,-18.0
0.88174,-18.0
0.88176,64.9
0.88178,64.9
0.88180,-18.0
0.88182,64.9
0.88184,64.9
0.88186,64.9
0.88188,64.9
0.88190,64.9
0.88192,64.9
0.88194,64.9
0.88196,64.9
0.88198,64.9
0.88200,92.5
0.88202,64.9
0.88204,64.9
0.88206,92.5
0.88208,64.9
0.88210,92.5
0.88212,64.9
0.88214,92.5
0.88216,92.5
0.88218,92.5
0.88220,175.4
0.88222,175.4
0.88224,175.4
0.88226,175.4
0.88228,175.4
0.88230,203.0
0.88232,203.0
0.88234,203.0
0.88236,285.9
0.88238,285.9
0.88240,285.9
0.88242,313.5
0.88244,313.5
0.88246,313.5
0.88248,396.4
0.88250,396.4
0.88252,424.0
0.88254,424.0
0.88256,424.0
0.88258,506.9
0.88260,506.9
0.88262,506.9
0.88264,534.5
0.88266,617.3
0.88268,645.0
0.88270,645.0
0.88272,645.0
0.88274,727.8
0.88276,755.5
0.88278,838.3
0.88280,948.8
0.88282,1086.9
0.88284,1307.9
0.88286,1528.9
0.88288,1832.7
0.88290,2274.7
0.88292,2633.7
0.88294,3158.6
0.88296,3600.5
0.88298,4070.1
0.88300,4512.0
0.88302,4926.4
0.88304,5285.5
0.88306,5616.9
0.88308,5920.8
0.88310,6169.4
0.88312,6500.8
0.88314,6804.7
0.88316,7136.1
0.88318,7384.7
0.88320,7716.2
0.88322,8020.0
0.88324,8268.6
0.88326,8489.6
0.88328,8600.1
0.88330,8682.9
0.88332,8600.1
0.88334,8489.6
0.88336,8268.6
0.88338,7937.2
0.88340,7578.1
0.88342,7136.1
0.88344,6694.2
0.88346,6169.4
0.88348,5727.4
0.88350,5285.5
0.88352,4926.4
0.88354,4594.9
0.88356,4235.8
0.88358,3959.6
0.88360,3711.0
0.88362,3490.0
0.88364,3296.7
0.88366,3186.2
0.88368,3048.1
0.88370,2827.1
0.88372,2606.1
0.88374,2385.2
0.88376,2164.2
0.88378,1943.2
0.88380,1749.8
0.88382,1639.4
0.88384,1639.4
0.88386,1639.4
0.88388,1722.2
0.88390,1832.7
0.88392,1943.2
0.88394,2081.3
0.88396,2274.7
0.88398,2495.6
0.88400,2633.7
0.88402,2827.1
0.88404,2965.2
0.88406,3048.1
0.88408,3103.3
0.88410,3075.7
0.88412,3075.7
0.88414,3075.7
0.88416,3048.1
0.88418,2965.2
0.88420,2937.6
0.88422,2854.7
0.88424,2854.7
0.88426,2827.1
0.88428,2744.2
0.88430,2633.7
